4:1|I turned again to look at all the oppression under the sun.\nLook at the tears of the oppressed—\nno one comforts them.\nPower lies with their oppressors,\nand no one comforts them.|Repeat absent comfort and locate power with oppressors.
4:2|So I called the dead, who have already died,\nmore fortunate than the living, who are still alive.|Keep Qohelet’s disturbing comparative judgment in his voice.
4:3|Better off than either is the one not yet born,\nwho has not seen the evil done under the sun.|Retain unborn alternative and evil’s visibility.
4:4|I saw that all hard work and every skillful achievement\nspring from rivalry between neighbors.\nThis too is breath, herding the wind.|Render envy as rivalry while keeping sweeping observation.
4:5|The fool folds his hands\nand eats away his own flesh.|Keep bodily image of self-consuming idleness.
4:6|Better a single handful with rest\nthan two full hands of hard work and herding the wind.|Preserve one/two hand contrast and recurring wind image.
4:7|Again I turned and saw breath under the sun:|Introduce the isolated worker as another hevel observation.
4:8|a man alone, with no companion,\nwithout son or brother.\nThere is no end to his work,\nyet his eye is never satisfied with wealth.\n“For whom am I working, denying myself enjoyment?”\nThis too is breath—a miserable task.|Retain male kin terms, singular eye read form, and self-question.
4:9|Two are better off than one,\nbecause their work brings them a good return.|Link advantage to shared labor’s return.
4:10|If they fall, one can lift the other up.\nBut how miserable to fall alone,\nwith no one to help you up!|Keep conditional fall and solitary counterpart.
4:11|And if two lie down together, they keep warm.\nHow can one person keep warm alone?|Retain physical warmth without narrowing relationship.
4:12|Someone may overpower one person,\nbut two can stand against the attacker.\nA cord of three strands does not quickly break.|Keep numerical movement from one to two to three.
4:13|Better a poor, wise youth\nthan an old, foolish king who no longer takes advice.|Retain age, poverty, wisdom, and refusal to heed warning.
4:14|The youth may come out of prison to reign,\neven though he was born poor in that kingdom.|Clarify youth as subject while preserving prison and low birth.
4:15|I saw all the living who walk under the sun\nside with the second youth, who would take his place.|Keep second youth and succession without inventing identities.
4:16|There was no end to all the people he led.\nYet those who come later will not delight in him either.\nThis too is breath, a pursuit of wind.|Retain changing popular favor and distinct wind noun.
4:17|Watch your step when you go to God’s house. Draw near to listen, rather than offer the sacrifice of fools, who do not know they are doing wrong.|Preserve repository4:17 label; hearing contrasts with foolish sacrifice.
5:1|Do not let your mouth rush ahead, or your heart hurry to speak before God. God is in heaven, and you are on earth, so keep your words few.|Keep mouth/heart distinction and heaven/earth rationale.
5:2|Dreams come with much preoccupation;\na fool’s voice comes with many words.|Preserve parallel abundance of business and speech.
5:3|When you make a vow to God, do not delay paying it. He takes no pleasure in fools. Pay what you vow.|Keep obligation and repeated pay/vow language.
5:4|Better not to vow\nthan to vow and leave it unpaid.|Preserve simple negative comparison.
5:5|Do not let your mouth lead your body into sin. Do not tell the messenger, “It was a mistake.” Why make God angry at your voice and let him destroy the work of your hands?|Keep body, messenger ambiguity, and concrete consequences.
5:6|With many dreams come much breath and many words. Fear God instead.|Render compressed accumulation with hevel retained.
5:7|If you see the poor oppressed and justice and righteousness stolen in a province, do not be astonished: one high official watches another, with still higher officials above them.|Preserve layered officials without declaring their oversight benevolent.
5:8|The land’s yield benefits everyone; even a king depends on cultivated fields.|Give readable agricultural relation, documenting difficult syntax.
