6:1|Then Solomon said, “The LORD said he would dwell in thick darkness.|Retain the cloud-darkness image introducing Solomon’s response.
6:2|I have built you a lofty house,\na settled place for you to dwell forever.”|Keep the paired dwelling lines and permanent claim as poetry.
6:3|The king turned toward the whole assembly of Israel and blessed them. Everyone remained standing.|Clarify the king’s turn toward the assembled people.
6:4|He said, “Blessed be the LORD, Israel’s God! With his own hands he has fulfilled what his own mouth promised my father David:|Preserve mouth and hands linking promise and fulfillment.
6:5|‘From the day I brought my people out of Egypt, I chose no city among all Israel’s tribes for a house where my name would dwell, and I chose no one to lead my people Israel.|Retain both negative choices before their positive counterparts.
6:6|But I chose Jerusalem for my name to dwell there, and I chose David to lead my people Israel.’|Repeat chose and name to carry the contrast.
6:7|“My father David had it in his heart to build a house for the name of the LORD, Israel’s God.|Keep heart and name central to the building intention.
6:8|But the LORD told my father David, ‘You did well to have it in your heart to build a house for my name.|Distinguish approval of intention from permission to build.
6:9|Even so, you will not build the house. Your son, born from your own body, will build the house for my name.’|Clarify bodily descent while retaining the prohibition.
6:10|“The LORD has fulfilled his promise. I have succeeded my father David and taken Israel’s throne, just as the LORD said, and I have built the house for the name of the LORD, Israel’s God.|Connect succession and construction with the fulfilled promise.
6:11|I have placed the ark there. In it is the LORD’s covenant, which he made with the Israelites.”|Preserve covenant as the ark’s contents without inserting tablets.
6:12|Solomon stood before the LORD’s altar, facing the whole assembly of Israel, and spread out his hands.|Name Solomon at the return to narration.
6:13|He had made a bronze platform five cubits long, five cubits wide, and three cubits high and set it in the middle of the courtyard. He stood on it, then knelt before the whole assembly of Israel and spread his hands toward heaven.|Keep every dimension and the change from standing to kneeling.
6:14|He prayed, “LORD, Israel’s God, there is no God like you in heaven or on earth. You keep covenant and faithful love with your servants who walk before you with all their heart.|Retain covenant, faithful love and wholehearted walking.
6:15|You have kept the promise you made to your servant David my father. What you spoke with your mouth you have fulfilled with your hand, as we see today.|Repeat the embodied promise-and-fulfillment language.
6:16|Now, LORD, Israel’s God, keep this promise you made to your servant David my father: ‘You will never lack a man to sit before me on Israel’s throne, provided your sons watch their ways and walk in my instruction as you have walked before me.’|Make the condition audible without weakening the royal promise.
6:17|Now, LORD, Israel’s God, let the word you spoke to your servant David prove true.|Maintain the request that the promise be confirmed.
6:18|“But will God really dwell with human beings on earth? Heaven, even the highest heavens, cannot contain you! How much less this house I have built!|Retain the question and its escalating contrast.
6:19|Yet attend to your servant’s prayer and plea, LORD my God. Listen to the cry and the prayer your servant offers before you.|Carry the appeal from transcendence to attentive hearing.
6:20|May your eyes be open toward this house day and night, toward the place where you said you would put your name. Hear the prayer your servant offers toward this place.|Preserve eyes, name and directional prayer.
6:21|Hear the pleas your servant and your people Israel offer toward this place. Hear from heaven, your dwelling place. Hear, and forgive.|Retain the repeated hearing and short climactic petition.
6:22|“When someone wrongs a neighbor and is required to swear an oath, and the oath is brought before your altar in this house,|Leave the oath’s courtroom function without inventing an ordeal.
6:23|hear from heaven and act. Judge between your servants: repay the guilty by bringing their conduct down on their own heads, and vindicate the righteous by treating them according to their righteousness.|Preserve judicial contrast and the head image with generic referents.
6:24|“When your people Israel are defeated by an enemy because they have sinned against you, and they turn back, acknowledge your name, and pray and plead before you in this house,|Retain the stated cause and the successive acts of return.
6:25|hear from heaven. Forgive the sin of your people Israel and bring them back to the ground you gave them and their ancestors.|Keep forgiveness and return to ancestral ground together.
6:26|“When the heavens are shut and no rain falls because they have sinned against you, and they pray toward this place, acknowledge your name, and turn from their sin because you have afflicted them,|Preserve the shut-heaven image and the attribution of affliction.
6:27|hear from heaven. Forgive the sin of your servants, your people Israel, as you teach them the good way to walk. Send rain on the land you gave your people as their inheritance.|Retain instruction, walking and inherited land.
6:28|“When famine strikes the land, or plague, blight, mildew, locusts or devouring locusts; when enemies besiege them in the land at their gates; whatever the affliction or disease,|Keep the full disaster list and siege setting.
6:29|whatever prayer or plea any person or all your people Israel offer, each knowing their own affliction and pain and spreading their hands toward this house,|Keep personal pain within the communal petition.
6:30|hear from heaven, your settled dwelling place, and forgive. Deal with each according to all their ways, for you know their heart—you alone know the hearts of human beings—|Preserve the exclusive knowledge of hearts and individual response.
6:31|so that they may fear you and walk in your ways all the days they live on the ground you gave our ancestors.|Connect reverence and conduct to the preceding request.
6:32|“As for foreigners who do not belong to your people Israel but come from a distant land because of your great name, your strong hand, and your outstretched arm: when they come and pray toward this house,|Use inclusive foreigners while retaining the distinct non-Israelite referent.
6:33|hear from heaven, your settled dwelling place. Do all the foreigner calls on you to do, so that all earth’s peoples may know your name and fear you as your people Israel do, and know that this house I have built bears your name.|Preserve the expansive request and the repeated name motif.
6:34|“When your people go to war against their enemies by whatever route you send them, and pray to you toward this city you have chosen and the house I have built for your name,|Keep the stated divine sending and direction of prayer.
6:35|hear their prayer and plea from heaven, and uphold their cause.|Retain the legal sense of doing their justice.
6:36|“When they sin against you—for there is no one who does not sin—and you are angry with them and hand them over to an enemy, so that their captors take them to a land far away or nearby,|Preserve universal sin and the concrete captivity sequence.
6:37|if they take it to heart in the land where they are captives, turn back, and plead with you there, saying, ‘We have sinned, done wrong, and acted wickedly,’|Keep the threefold confession and return of heart.
6:38|if they return to you with all their heart and all their being in the land of their captivity, where they have been taken, and pray toward the land you gave their ancestors, the city you chose, and the house I built for your name,|Retain the repeated captivity and threefold orientation of prayer.
6:39|hear their prayer and pleas from heaven, your settled dwelling place. Uphold their cause, and forgive your people who have sinned against you.|Preserve justice and forgiveness as separate requests.
6:40|“Now, my God, please open your eyes and let your ears attend to the prayer offered in this place.|Keep eyes and ears as the closing appeal begins.
6:41|Now rise, LORD God, to your resting place,\nyou and the ark of your strength.\nMay your priests, LORD God, be clothed with salvation;\nmay your faithful ones rejoice in goodness.|Preserve all four poetic movements and salvation as clothing.
6:42|LORD God, do not turn away your anointed one.\nRemember the faithful love shown to David your servant.”|Choose love shown to David while noting the alternative direction.
7:1|When Solomon finished praying, fire came down from heaven and consumed the burnt offering and sacrifices. The LORD’s glory filled the house.|Keep the separate fire and glory actions.
7:2|The priests could not enter the LORD’s house because the LORD’s glory had filled it.|Retain the impediment caused by the glory.
7:3|All the Israelites saw the fire descend and the LORD’s glory over the house. They knelt with their faces to the ground on the pavement, bowed in worship, and thanked the LORD: “For he is good; his faithful love lasts forever.”|Keep bodily worship and the recurring thanksgiving refrain.
7:4|The king and all the people offered sacrifices before the LORD.|Retain the common action of king and people.
7:5|King Solomon sacrificed twenty-two thousand cattle and a hundred twenty thousand sheep and goats. In this way the king and all the people dedicated God’s house.|Preserve both large counts and the collective dedication.
7:6|The priests stood at their posts. The Levites had the musical instruments for the LORD that King David had made for giving thanks to the LORD—“His faithful love lasts forever”—as David offered praise through them. Opposite them the priests sounded trumpets, and all Israel stood.|Keep David’s mediated praise and the two groups’ arrangement.
