1:1|The words of Jeremiah son of Hilkiah, one of the priests at Anathoth in the territory of Benjamin.|Preserves priestly origin and location without identifying Hilkiah with another figure.
1:2|The **LORD**’s word came to him in the days of Josiah son of Amon, king of Judah, in the thirteenth year of his reign.|Keeps exact regnal year and parentage.
1:3|It also came in the days of Jehoiakim son of Josiah, king of Judah, until the end of the eleventh year of Zedekiah son of Josiah, king of Judah, when Jerusalem went into exile in the fifth month.|Retains full chronological span and fifth month.
1:4|The **LORD**’s word came to me:|Keeps transition from third-person heading to first-person testimony.
1:5|“Before I formed you in the womb, I knew you;\nbefore you came out at birth, I set you apart.\nI appointed you a prophet to the nations.”|Preserves prenatal vocation and nations scope without expanding into general doctrine.
1:6|I said, “Ah, Lord **GOD**! I do not know how to speak. I am only a youth.”|Retains protest and youth without assigning exact age.
1:7|But the **LORD** said to me, “Do not say, ‘I am only a youth.’ Go to everyone I send you to, and speak everything I command you.|Preserves repeated objection answered by comprehensive commission.
1:8|Do not fear them, for I am with you to rescue you,” declares the **LORD**.|Keeps promised rescue amid opposition rather than absence of danger.
1:9|Then the **LORD** reached out his hand and touched my mouth. The **LORD** said to me, “Look, I have put my words in your mouth.|Preserves physical prophetic commissioning.
1:10|See, today I appoint you over nations and kingdoms,\nto uproot and tear down,\nto destroy and overthrow,\nto build and plant.”|Retains all six programmatic verbs and unequal four/two grouping.
1:11|The **LORD**’s word came to me: “What do you see, Jeremiah?” I answered, “I see an almond branch.”|Keeps named addressee and concrete vision item.
1:12|The **LORD** said to me, “You have seen well, for I am watching over my word to carry it out.”|Preserves almond/watching connection with explanatory note rather than invented English pun.
1:13|The **LORD**’s word came to me a second time: “What do you see?” I answered, “I see a boiling pot, tilted away from the north.”|Keeps directional wording of pot opening.
1:14|Then the **LORD** said to me, “From the north disaster will be unleashed on everyone living in the land.|Preserves north origin and comprehensive threatened population.
1:15|Look, I am summoning all the clans of the northern kingdoms,” declares the **LORD**. “They will come, and each will set his throne at the entrance to Jerusalem’s gates, against all her surrounding walls and against all Judah’s cities.|Retains thrones at gates and all cities beyond capital.
1:16|I will pronounce my judgments against them for all their wickedness: they abandoned me, burned offerings to other gods, and bowed down to what their own hands made.|Keeps three charges and handmade objects.
1:17|But you, tie up your robe, stand up, and tell them everything I command you. Do not be shattered by fear of them, or I will shatter you before them.|Retains readiness idiom and disturbing divine threat with repeated shatter.
1:18|Look, today I make you a fortified city, an iron pillar and bronze walls against the whole land—against Judah’s kings, officials, priests and people of the land.|Preserves three defenses and four opposing constituencies.
1:19|They will fight you, but they will not overcome you, for I am with you,” declares the **LORD**, “to rescue you.”|Repeats rescue promise while explicitly retaining conflict.
2:1|The **LORD**’s word came to me:|Keeps introduction formula.
2:2|“Go and proclaim within Jerusalem’s hearing: This is what the **LORD** says:\n‘I remember the faithful love of your youth,\nthe love of your bridal days,\nhow you followed me through the wilderness,\nthrough a land never sown.|Retains female city-marriage image and unsown land.
2:3|Israel was holy to the **LORD**,\nthe firstfruits of his harvest.\nAll who devoured him incurred guilt;\ndisaster came upon them,’ declares the **LORD**.”|Keeps sacred firstfruits and devouring consequences.
2:4|Hear the **LORD**’s word, house of Jacob,\nand all the clans of the house of Israel.|Preserves both ancestral names and clans.
2:5|This is what the **LORD** says:\n“What wrong did your ancestors find in me\nthat they went so far from me,\nfollowed emptiness and became empty themselves?|Keeps accusation as question and hevel word-root repetition.
2:6|They did not ask, ‘Where is the **LORD**,\nwho brought us up from Egypt,\nwho led us through the wilderness,\na land of deserts and pits,\na land of drought and deep darkness,\na land no one crossed and no one inhabited?’|Retains cumulative wilderness hazards and absence of inquiry.
2:7|I brought you into a fruitful land\nto eat its fruit and goodness.\nBut you came and defiled my land;\nyou made my inheritance offensive.|Keeps gift then defilement and divine ownership.
2:8|The priests did not ask, ‘Where is the **LORD**?’\nThose who handle instruction did not know me.\nThe shepherds rebelled against me;\nthe prophets prophesied by Baal\nand followed things that cannot help.|Retains all leadership groups and named Baal.
2:9|So I will still bring a case against you,” declares the **LORD**,\n“and against your children’s children.|Preserves continuing legal contention and generations.
2:10|Cross to Kittim’s coastlands and look;\nsend to Kedar and examine carefully.\nSee whether anything like this has happened:|Keeps west/east named comparison without replacing geography.
2:11|Has a nation exchanged its gods,\neven though they are not gods?\nYet my people have exchanged their Glory\nfor what cannot help.|Preserves ironic contrast and Glory as divine reference.
2:12|Be appalled at this, heavens!\nShudder; be utterly desolate!” declares the **LORD**.|Keeps cosmic audience and three commands.
2:13|“For my people have done two evils:\nthey abandoned me, the spring of living water,\nand dug themselves cisterns,\ncracked cisterns that cannot hold water.|Preserves fresh flowing water versus failed storage metaphor.
2:14|Is Israel a slave,\na slave born in the household?\nWhy then has he become plunder?|Keeps actual enslaved status analogy.
2:15|Young lions roared against him;\nthey raised their voices\nand made his land a waste.\nHis cities are burned, without inhabitants.|Follows read plural burned and retains lion imagery.
2:16|Even the people of Memphis and Tahpanhes\nhave grazed the crown of your head.|Preserves difficult grazing/shaving image and read city name.
2:17|Have you not brought this on yourself\nby abandoning the **LORD** your God\nwhile he led you along the way?|Keeps accusation and simultaneous guidance.
2:18|Now why take the road to Egypt\nto drink Shihor’s waters?\nWhy take the road to Assyria\nto drink the River’s waters?|Retains water metaphor for foreign reliance and named waterways.
2:19|Your own wickedness will discipline you;\nyour turning away will rebuke you.\nKnow and see how evil and bitter it is\nto abandon the **LORD** your God\nand have no fear of me,”\ndeclares the Lord **GOD** of hosts.|Keeps self-punishing conduct and full divine title.
2:20|“Long ago I broke your yoke\nand tore apart your bonds.\nBut you said, ‘I will not serve!’\nOn every high hill and under every green tree\nyou sprawled as a prostitute.|Retains written not-serve and pinned first-person broke; contrasting read transgress noted.
2:21|I planted you as a choice vine,\nentirely sound stock.\nHow did you turn into\na degenerate foreign vine before me?|Preserves cultivated-vine identity reversal.
2:22|Though you wash with soda\nand use soap in abundance,\nthe stain of your guilt remains before me,”\ndeclares the Lord **GOD**.|Keeps material cleansing agents and indelible guilt.
2:23|“How can you say, ‘I am not defiled;\nI have not followed the Baals’?\nLook at your path in the valley;\nknow what you have done,\nyou swift young she-camel zigzagging on her paths,|Retains female camel image and plural Baals.
2:24|wild donkey accustomed to the wilderness,\nsniffing the wind in her desire!\nWho can turn her back in heat?\nNone who seek her need weary themselves;\nin her month they will find her.|Follows read feminine desire and retains sexual animal metaphor.
2:25|Keep your feet from going bare\nand your throat from thirst.\nBut you said, ‘It is hopeless! No!\nI love strangers, and I will follow them.’|Keeps failed warning and emphatic refusal.
2:26|As a thief is ashamed when caught,\nso the house of Israel is ashamed—\nthey, their kings, officials, priests and prophets.|Retains full group enumeration and caught-thief simile.
2:27|They say to wood, ‘You are my father,’\nand to stone, ‘You gave birth to us.’\nThey turn their backs to me, not their faces,\nbut in trouble they say, ‘Rise and save us!’|Follows read us and preserves male wood/female stone parentage.
2:28|Where are the gods you made for yourself?\nLet them rise, if they can save you in trouble!\nFor your gods are as numerous as your cities, Judah.|Keeps challenge and city-god comparison.
2:29|Why bring a case against me?\nAll of you have rebelled against me,” declares the **LORD**.|Preserves reversal of courtroom accusation.
2:30|“I struck your children for nothing;\nthey accepted no discipline.\nYour sword devoured your prophets\nlike a destructive lion.|Keeps divine striking and community violence against prophets distinct.
2:31|You of this generation, consider the **LORD**’s word!\nHave I been a wilderness to Israel,\na land of thick darkness?\nWhy do my people say, ‘We roam freely;\nwe will come to you no more’?|Preserves rhetorical wilderness reversal and uncertain roam-free verb.
2:32|Does a young woman forget her jewelry,\na bride her wedding sash?\nYet my people have forgotten me\nfor days beyond counting.|Keeps bridal possessions and uncountable neglect.
2:33|How well you arrange your way to seek love!\nYou have even taught wicked women your ways.|Follows read feminine taught and preserves ironic skill.
2:34|Even on your skirts is found\nthe lifeblood of the innocent poor.\nYou did not find them breaking in.\nYet despite all this,|Reads the archaic second-person feminine found (XML HVqp2fs), preserving the absence of a break-in defense for killing the poor.
2:35|you say, ‘I am innocent;\nsurely his anger has turned away from me.’\nLook, I am bringing you to judgment\nfor saying, ‘I have not sinned.’|Keeps false innocence and reason for judgment.
2:36|Why do you rush about so much,\nchanging your way?\nEgypt will put you to shame\njust as Assyria did.|Preserves foreign alliance switching and paired nations.
