24:1|Jesus was leaving the temple when his disciples came over to show him its buildings.|Connects the participial departure to the disciples’ approach in one natural sentence.
24:2|He replied, “Do you see all this? I tell you the truth: not one stone here will remain on another. Every one will be torn down.”|Retains the emphatic total destruction without stacking English negatives.
24:3|As he sat on the Mount of Olives, the disciples came to him privately. “Tell us,” they said, “when will this happen? What will be the sign of your coming and the end of the age?”|Separates the approach from two questions while retaining coming and age language.
24:4|Jesus answered, “Be careful that no one leads you astray.|Makes the warning idiomatic without narrowing deception to one group.
24:5|Many will come in my name, claiming, ‘I am the Christ,’ and will lead many astray.|Retains the repeated many and the messianic claim.
24:6|You will hear of wars and rumors of wars. Do not be alarmed. These things must happen, but the end has not yet come.|Makes the warning audible in short sentences and retains the not-yet qualification.
24:7|Nation will rise against nation, and kingdom against kingdom. There will be famines and earthquakes in various places.|Preserves parallel conflicts while separating the list of disasters.
24:8|All this is the beginning of birth pains.|Retains the childbirth metaphor without interpreting its timetable.
24:9|“Then they will hand you over to suffering and kill you. All nations will hate you because of my name.|Replaces the unnatural hand-over-to-distress phrase while preserving persecution and motive.
24:10|At that time many will fall away, hand one another over, and hate one another.|Preserves the three linked actions and reciprocal betrayal.
24:11|Many false prophets will arise and lead many astray.|Retains clear wording and the repeated many.
24:12|As lawlessness increases, the love of many will grow cold.|Expresses the causal development while retaining the cold-love image.
24:13|But whoever endures to the end will be saved.|Retains endurance and salvation without specifying an unstated mechanism.
24:14|This good news of the kingdom will be proclaimed throughout the inhabited world as a testimony to all nations. Then the end will come.|Preserves world and nations as distinct expressions and separates the final consequence.
24:15|“So when you see the abomination of desolation spoken of through the prophet Daniel standing in the holy place—let the reader understand—|Retains the scriptural expression and narrator’s reader-directed aside.
24:16|those in Judea must flee to the mountains.|Connects the command naturally to the preceding when-clause.
24:17|Anyone on the roof must not go down to collect things from the house.|Keeps the rooftop setting and urgent prohibition in ordinary English.
24:18|Anyone in the field must not turn back for a cloak.|Retains the specific garment and urgency without extra explanation.
24:19|How terrible those days will be for pregnant women and nursing mothers!|Expresses the lament as compassion for the specified women.
24:20|Pray that you will not have to flee in winter or on a Sabbath.|Makes flight verbal while preserving Matthew’s Sabbath detail.
24:21|For then there will be great suffering, unlike anything since the world began, and never to be repeated.|Preserves the unmatched distress and both temporal limits.
24:22|If those days were not cut short, no one would survive. But for the sake of the chosen, those days will be cut short.|Renders no-flesh-saved naturally in the threat to survival; retains chosen language.
24:23|“If anyone then tells you, ‘Look, here is the Christ!’ or ‘There he is!’ do not believe it.|Preserves both competing location claims and the prohibition.
24:24|False christs and false prophets will arise and perform great signs and wonders to lead astray, if possible, even the chosen.|Keeps the if-possible qualification without resolving its implications.
24:25|Remember, I have warned you beforehand.|Renders the attention marker as a reminder of the advance warning.
24:26|So if they tell you, ‘Look, he is in the wilderness,’ do not go out. If they say, ‘Look, he is in the inner rooms,’ do not believe it.|Separates the two conditional warnings for listening clarity.
24:27|For as lightning flashes from east to west, so will the coming of the Son of Man be.|Preserves the visible lightning comparison and established title.
24:28|Wherever the corpse is, the vultures will gather.|Retains the unexplained proverb and corpse rather than interpreting it.
24:29|“Immediately after the suffering of those days,\n‘the sun will be darkened,\nand the moon will give no light;\nthe stars will fall from heaven,\nand the powers of the heavens will be shaken.’|Lineates the scriptural cosmic imagery without turning it into a modern explanation.
24:30|Then the sign of the Son of Man will appear in heaven, and all the tribes of the earth will mourn. They will see the Son of Man coming on the clouds of heaven with power and great glory.|Retains the ambiguous sign phrase, tribal mourning, and cloud imagery.
24:31|He will send his angels with a mighty trumpet, and they will gather his chosen from the four winds, from one end of heaven to the other.|Keeps angels, trumpet, and four winds rather than replacing them with explanations.
24:32|“Learn this lesson from the fig tree: when its branches grow tender and put out leaves, you know summer is near.|Makes the lesson introduction idiomatic while retaining the seasonal observation.
24:33|In the same way, when you see all these things, know that it is near, right at the door.|Keeps it/he ambiguity in a note rather than specifying an event in the text.
24:34|I tell you the truth: this generation will not pass away until all these things happen.|Retains this generation without changing it to a future generation or people.
24:35|Heaven and earth will pass away, but my words will never pass away.|Carries the emphatic negation through never while retaining the parallel.
24:36|“But no one knows that day or hour—not the angels in heaven, nor the Son, but only the Father.|Preserves nor the Son in the pinned Greek without theological adjustment.
24:37|As it was in the days of Noah, so it will be at the coming of the Son of Man.|Clarifies the comparison’s English syntax while retaining the title.
24:38|In the days before the flood, people were eating and drinking, marrying and being given in marriage, until the day Noah entered the ark.|Retains both marriage actions and ordinary activities without moralizing them.
24:39|They knew nothing until the flood came and swept them all away. So it will be at the coming of the Son of Man.|Preserves ignorance and sudden removal without assigning roles to later taken/left sayings.
24:40|Then two people will be in the field; one will be taken and the other left.|Supplies people for natural English without specifying their fate.
24:41|Two women will be grinding at the mill; one will be taken and the other left.|Retains the explicitly female workers and parallel taken/left wording.
24:42|So stay awake, because you do not know what day your Lord will come.|Keeps the watchfulness image and day language.
24:43|Understand this: if the homeowner had known what time of night the thief was coming, he would have stayed awake and would not have let his house be broken into.|Renders night-watch timing naturally; preserves the hypothetical householder.
24:44|You too must be ready, because the Son of Man will come at an hour you do not expect.|Retains unexpected timing without supplying a date or sequence.
24:45|“Who, then, is the faithful and wise servant whom the master has put in charge of his household to give them food at the proper time?|Makes the household responsibility explicit while preserving servant status in vocabulary.
24:46|Blessed is that servant if his master finds him doing this when he returns.|Clarifies the antecedent of doing so and the master’s return.
24:47|I tell you the truth: he will put that servant in charge of everything he owns.|Makes the promised responsibility idiomatic.
24:48|But suppose that wicked servant says to himself, ‘My master is taking a long time,’|Renders speech in the heart as internal speech and delay idiomatically.
24:49|and begins beating his fellow servants and eating and drinking with drunkards.|Preserves abuse of fellow servants and the second pattern of conduct.
24:50|That servant’s master will come on a day he does not expect and at an hour he does not know.|Removes a nested possessive while retaining both time expressions.
24:51|He will cut him in two and give him a place with the hypocrites. There will be weeping and grinding of teeth.|Retains the violent judgment and recurring final image without softening it.
25:1|“Then the kingdom of heaven will be like ten bridesmaids who took their lamps and went out to meet the bridegroom.|Retains the wedding setting and kingdom comparison; virgins identified in vocabulary.
25:2|Five were foolish and five were wise.|Retains the balanced division in a concise sentence.
25:3|The foolish ones brought their lamps but no oil with them.|Makes the contrast compact without inserting extra oil into the main text.
25:4|The wise ones brought jars of oil along with their lamps.|Renders containers concretely while preserving the additional supply.
25:5|The bridegroom was delayed, and they all grew drowsy and fell asleep.|Retains all ten sleeping; does not turn foolishness into sleep alone.
25:6|At midnight a shout rang out: ‘Here is the bridegroom! Come out to meet him!’|Makes the sudden midnight cry natural without adding the absent comes verb.
25:7|Then all the bridesmaids got up and put their lamps in order.|Renders preparation broadly rather than specifying wick-trimming as certain.
25:8|The foolish ones said to the wise, ‘Give us some of your oil; our lamps are going out.’|Keeps the request and immediate reason together.
25:9|But the wise ones answered, ‘There may not be enough for all of us. Go to the sellers and buy some for yourselves.’|Preserves the concern about sufficiency and direct instruction without adding a moral verdict.
25:10|While they were away buying oil, the bridegroom arrived. Those who were ready went in with him to the wedding banquet, and the door was shut.|Clarifies the simultaneous action and retains the shut door.
25:11|Later the other bridesmaids came too. ‘Lord, lord,’ they said, ‘open the door for us!’|Gives the repeated address audible dialogue without changing it to the narrator’s endorsement.
25:12|But he replied, ‘I tell you the truth: I do not know you.’|Preserves the denial of recognition and solemn introductory formula.
25:13|“So stay awake, because you know neither the day nor the hour.|Marks the return from parable dialogue to Jesus’ warning without adding a source-absent clause.
25:14|“It is also like a man about to travel. He called his servants and entrusted his property to them.|Divides the journey setup from the entrusted responsibility without redefining the comparison.
25:15|He gave one five talents, another two, and another one, each according to his ability. Then he left. At once,|Keeps the large monetary unit and the source position of immediately, continuing into the next verse.
25:16|the servant who received five talents went to work with them and gained five more.|Joins at-once to the servant’s action across the verse boundary.
25:17|In the same way, the servant with two gained two more.|Retains the parallel gain and relative amounts.
25:18|But the servant who received one went off, dug a hole, and hid his master’s money in the ground.|Makes the sequence concrete and keeps money rather than innate talent.
25:19|After a long time, the servants’ master returned and settled accounts with them.|Retains the lengthy delay and financial reckoning.
