1:1|The word of the LORD came to Jonah son of Amittai:|Keeps the standard commissioning opening and full parentage.
1:2|“Get up and go to Nineveh, the great city, and proclaim against it, because their evil has come up before me.”|Preserves great city and evil rising into divine presence rather than supplying the proclamation's later content.
1:3|Jonah got up to flee to Tarshish, away from the LORD’s presence. He went down to Joppa, found a ship bound for Tarshish, paid its fare, and went down aboard to travel with them to Tarshish, away from the LORD’s presence.|Keeps all three Tarshish mentions, both presence clauses, and repeated downward motion central to the narrative.
1:4|But the LORD hurled a great wind onto the sea. A great storm rose on the sea, and the ship was on the point of breaking apart.|Uses hurled to connect divine wind with sailors' later hurling; retains doubled great.
1:5|The sailors were afraid, and each cried out to his god. They hurled the cargo into the sea to lighten the ship. Meanwhile Jonah had gone down into the hold, lain down, and fallen fast asleep.|Preserves each sailor's god, cargo disposal, Jonah's further descent, and sleep contrast.
1:6|The captain came to him and said, “What are you doing asleep? Get up and call on your god! Perhaps the god will take notice of us, and we will not perish.”|Repeats get up/call from the commission and preserves the captain's perhaps.
1:7|The sailors said to one another, “Come, let us cast lots to find out who has brought this disaster on us.” They cast lots, and the lot fell on Jonah.|Keeps repeated casting and result without endorsing the procedure as generally reliable.
1:8|They asked him, “Tell us, please, who is responsible for this disaster? What is your work? Where do you come from? What is your country? What people do you belong to?”|Preserves all five urgent questions rather than condensing the interrogation.
1:9|He answered, “I am a Hebrew. I fear the LORD, the God of heaven, who made the sea and the dry land.”|Retains fear as recurring motif and the irony of confessing the maker of the sea while fleeing across it.
1:10|The men became terribly afraid and asked, “What have you done?” They knew he was fleeing from the LORD’s presence, because he had told them.|Keeps intensified fear and the narrator's explanation of their knowledge.
1:11|They asked, “What should we do with you so the sea will calm down for us?” The sea was growing more and more stormy.|Retains the practical question and progressive storm intensity.
1:12|He told them, “Pick me up and hurl me into the sea. Then the sea will calm down for you. I know this great storm has come upon you because of me.”|Preserves Jonah's own proposed remedy and responsibility claim without inventing his motive.
1:13|Instead, the men rowed hard to get back to dry land, but they could not. The sea kept growing stormier against them.|Makes their attempted alternative clear and repeats worsening sea and dry land.
1:14|Then they called to the LORD: “Please, LORD, do not let us perish for this man’s life, and do not charge us with innocent blood. For you, LORD, have done as you pleased.”|Retains all three divine names and the sailors' explicit fear of bloodguilt.
1:15|They picked Jonah up and hurled him into the sea, and the sea stopped raging.|Repeats the commanded action and immediate cessation without extra miraculous commentary.
1:16|Then the men feared the LORD greatly. They offered a sacrifice to the LORD and made vows.|Preserves fear's new object and both worship acts without relocating them to shore.
1:17|The LORD appointed a great fish to swallow Jonah, and Jonah was inside the fish for three days and three nights.|Keeps fish unspecified, appointed as recurring verb, and exact duration; maps Hebrew2:1 to public1:17.
2:1|From inside the fish, Jonah prayed to the LORD his God.|Preserves setting and personal divine relationship without claiming a different fish from grammatical gender.
2:2|He said:\n“In my distress I called to the LORD, and he answered me.\nFrom the belly of Sheol I cried for help,\nand you heard my voice.|Keeps past-tense thanksgiving and shift from he to you, with Sheol distinct from fish belly.
2:3|You cast me into the depths, into the heart of the seas.\nThe current surrounded me;\nall your breakers and waves swept over me.|Preserves Jonah's attribution to God and possessive your waves.
2:4|I said, ‘I have been driven out of your sight,\nyet I will look again toward your holy temple.’|Chooses yet-affirmation while noting possible question; retains temple orientation.
2:5|Water closed over me to the throat;\nthe deep surrounded me.\nSeaweed was wrapped around my head.|Uses throat for nephesh in drowning context and keeps tangible weed detail.
2:6|I went down to the roots of the mountains;\nthe earth’s bars closed behind me forever.\nBut you brought my life up from the pit,\nLORD my God.|Preserves downward/upward reversal and ancient underworld gates without modernizing cosmology.
2:7|As my life was ebbing away, I remembered the LORD.\nMy prayer came to you, into your holy temple.|Keeps remembered divine name then direct address and repeated temple.
2:8|Those who cling to worthless vanities\nabandon their faithful love.|Retains ambiguous their hesed rather than deciding only grace offered them or loyalty owed.
2:9|But I will sacrifice to you with a voice of thanksgiving.\nWhat I have vowed, I will fulfill.\nDeliverance belongs to the LORD!”|Keeps vow/sacrifice parallels to sailors and climactic divine ownership of rescue.
2:10|The LORD spoke to the fish, and it vomited Jonah onto dry land.|Preserves the deliberately physical verb and dry-land motif without euphemism.
3:1|The word of the LORD came to Jonah a second time:|Repeats the commission opening with explicit second chance.
3:2|“Get up and go to Nineveh, the great city, and proclaim to it the message I give you.”|Preserves the changed to-it wording and message dependence.
