1:1|The word of the LORD came to Zephaniah son of Cushi, son of Gedaliah, son of Amariah, son of Hezekiah, in the days of Josiah son of Amon, king of Judah.|Retains all four ancestral generations and the exact royal setting.
1:2|“I will sweep everything away\nfrom the face of the ground,” declares the LORD.|Preserves the sweeping totality and ground image.
1:3|“I will sweep away humans and animals;\nI will sweep away the birds of heaven and the fish of the sea,\nthe stumbling blocks along with the wicked.\nI will cut humanity off from the face of the ground,”\ndeclares the LORD.|Retains all creature categories and the difficult stumbling-blocks phrase without deleting it.
1:4|“I will stretch out my hand against Judah\nand everyone who lives in Jerusalem.\nFrom this place I will cut off what remains of Baal,\nthe name of the idol-priests along with the priests,|Keeps the two priest terms distinguishable and the continuing list open.
1:5|those who bow on the rooftops to heaven’s army,\nthose who bow and swear allegiance to the LORD\nwhile also swearing by their king,|Follows the pointed their-king reading and notes the Milcom alternative.
1:6|those who turn away from following the LORD,\nwho neither seek the LORD nor inquire of him.”|Preserves both repeated divine names and the paired failures to seek.
1:7|Be silent before the Lord GOD,\nfor the day of the LORD is near!\nThe LORD has prepared a sacrifice\nand consecrated his invited guests.|Retains the unsettling sacrifice/guest image without assigning each participant.
1:8|“On the day of the LORD’s sacrifice\nI will punish the officials, the king’s sons,\nand everyone dressed in foreign clothing.|Keeps royal sons and clothing as stated rather than interpreting their precise offense.
1:9|On that day I will punish everyone who leaps over the threshold,\nwho fills their master’s house with violence and deceit.|Retains the obscure threshold practice, with context left to a note.
1:10|On that day,” declares the LORD,\n“a cry will rise from the Fish Gate,\na wail from the Second Quarter,\nand a great crash from the hills.|Preserves Jerusalem locations and the sequence of sounds.
1:11|Wail, you who live in the Mortar!\nAll the merchant people are silenced;\nall who weigh out silver are cut off.|Chooses merchant for Canaan in the trade context and preserves the district’s literal name.
1:12|At that time I will search Jerusalem with lamps\nand punish the men settled on their dregs,\nwho say in their hearts,\n‘The LORD will do neither good nor harm.’|Keeps the wine-dregs image and the complacent claim in direct speech.
1:13|Their wealth will become plunder,\ntheir houses a desolation.\nThey will build houses but not live in them,\nplant vineyards but not drink their wine.”|Retains paired frustrated actions and concrete losses.
1:14|The great day of the LORD is near—\nnear and coming very quickly!\nListen to the day of the LORD:\nthere the warrior cries out bitterly.|Keeps near repeated and the sudden auditory summons.
1:15|That day is a day of fury,\na day of distress and anguish,\na day of ruin and devastation,\na day of darkness and gloom,\na day of clouds and thick darkness,|Retains the anaphoric day-of structure and paired terms.
1:16|a day of horn blast and battle cry\nagainst fortified cities\nand their high corner towers.|Completes the preceding day list and identifies the defensive corners naturally.
1:17|“I will bring distress upon humanity,\nand they will walk like the blind,\nbecause they have sinned against the LORD.\nTheir blood will be poured out like dust,\ntheir flesh like dung.”|Preserves the violent bodily images and the stated causal connection.
1:18|Neither their silver nor their gold can rescue them\non the day of the LORD’s fury.\nThe whole earth will be consumed\nby the fire of his jealousy,\nfor he will make a sudden, complete end\nof everyone who lives on the earth.|Keeps universal scope, jealousy, and the suddenness rather than reducing the warning to wealth alone.
2:1|Gather yourselves; gather together,\nunwanted nation,|Retains the repeated gathering call and chooses unwanted for the difficult participle, with alternative noted.
2:2|before the decree gives birth,\nbefore the day passes like chaff,\nbefore the LORD’s burning anger comes upon you,\nbefore the day of the LORD’s anger comes upon you.|Keeps the birthing decree and chaff images alongside the repeated before clauses.
2:3|Seek the LORD, all you humble people of the earth\nwho carry out his judgment.\nSeek righteousness; seek humility.\nPerhaps you will be hidden\non the day of the LORD’s anger.|Preserves all three seek commands and the consequential perhaps.
2:4|For Gaza will be abandoned,\nAshkelon left desolate.\nAshdod will be driven out at noon,\nand Ekron uprooted.|Retains each city, noon, and the uprooting verb that echoes its name.
2:5|Woe to those who live along the coast,\nthe nation of the Cherethites!\nThe word of the LORD is against you,\nCanaan, land of the Philistines:\n“I will destroy you until no inhabitant remains.”|Distinguishes the coast’s named people from the quoted threat.
2:6|The coast will become pastureland,\nshepherds’ shelters and pens for flocks.|Chooses shelters for the uncertain middle noun without inventing a geographic detail.
2:7|The coast will belong to the remnant of the house of Judah.\nThere they will graze,\nand in Ashkelon’s houses they will lie down at evening,\nfor the LORD their God will attend to them\nand restore their fortunes.|Retains shepherding imagery for the remnant and the restoration idiom.
2:8|“I have heard Moab’s taunts\nand the insults of the Ammonites,\nwho taunted my people\nand boasted against their territory.|Preserves the territorial aspect and repeated taunting.
