1:1|After Ahab’s death, Moab rebelled against Israel.|Retains the immediate political consequence.
1:2|Ahaziah fell through the lattice of his upper room in Samaria and was injured. He sent messengers with this command: “Go and consult Baal-zebub, the god of Ekron. Ask whether I will recover from this illness.”|Distinguishes the fall, illness, and requested oracle.
1:3|But the LORD’s angel told Elijah the Tishbite, “Go up to meet the king of Samaria’s messengers. Say to them, ‘Is there no God in Israel, that you are going to consult Baal-zebub, Ekron’s god?’|Keeps the rhetorical question and divine messenger.
1:4|Therefore the LORD says: ‘You will not come down from the bed you have climbed into. You will certainly die.’” So Elijah went.|Retains bed image and emphatic death sentence.
1:5|The messengers returned to Ahaziah. “Why have you come back?” he asked.|Identifies the king receiving the unexpected return.
1:6|They answered, “A man met us and told us, ‘Go back to the king who sent you. Tell him: The LORD says, Is there no God in Israel, that you send to consult Baal-zebub, Ekron’s god? Therefore you will not come down from the bed you have climbed into. You will certainly die.’”|Preserves the full repeated message rather than summarizing.
1:7|He asked them, “What did the man who met you and said this look like?”|Turns the appearance inquiry into natural dialogue.
1:8|“He was a hairy man,” they said, “with a leather belt around his waist.” “That is Elijah the Tishbite,” he replied.|Retains hairy description with clothing alternative reserved for notes.
1:9|The king sent a captain with his fifty men to Elijah. The captain went up and found him sitting on a hilltop. “Man of God,” he said, “the king commands you to come down.”|Keeps military scale and competing authority.
1:10|Elijah answered the captain, “If I am a man of God, let fire come down from heaven and consume you and your fifty men.” Fire came down from heaven and consumed them.|Preserves the lethal response and repeated descent.
1:11|The king sent another captain with fifty men. He said to Elijah, “Man of God, the king says, ‘Come down at once!’”|Keeps escalation in the second command.
1:12|Elijah answered, “If I am a man of God, let fire come down from heaven and consume you and your fifty men.” God’s fire came down from heaven and consumed them.|Retains explicit divine attribution of the second fire.
1:13|Again the king sent a third captain with fifty men. This captain went up, knelt before Elijah, and pleaded, “Man of God, please let my life and the lives of these fifty servants of yours be precious in your eyes.|Keeps the appeal for the soldiers’ lives.
1:14|Fire came down from heaven and consumed the first two captains, each with his fifty men. But now, please let my life be precious in your eyes.”|Retains fearful repetition rather than dismissing it.
1:15|The LORD’s angel told Elijah, “Go down with him. Do not be afraid of him.” Elijah got up and went with him to the king.|Keeps the instruction and reassurance distinct.
1:16|Elijah told him, “The LORD says: Because you sent messengers to consult Baal-zebub, Ekron’s god—is there no God in Israel whose word you can seek?—you will not come down from the bed you have climbed into. You will certainly die.”|Preserves the repeated accusation and interrupting question.
1:17|Ahaziah died according to the LORD’s word spoken by Elijah. Because he had no son, Jehoram became king in his place, in the second year of Jehoram son of Jehoshaphat, king of Judah.|Keeps two same-named kings and this passage’s date.
1:18|The rest of Ahaziah’s deeds—are they not written in the annals of the kings of Israel?|Maintains the recurring source notice.
2:1|When the LORD was about to take Elijah up to heaven in a whirlwind, Elijah and Elisha set out from Gilgal.|Introduces the departure without adding a vehicle.
2:2|Elijah said to Elisha, “Stay here, please. The LORD has sent me to Bethel.” Elisha answered, “As the LORD lives, and as you live, I will not leave you.” So they went down to Bethel.|Keeps the oath repeated through the journey.
2:3|The company of prophets at Bethel came out to Elisha. “Do you know the LORD is taking your master away from over you today?” they asked. “Yes, I know,” he said. “Be quiet.”|Preserves the over-you image and restrained reply.
2:4|Elijah said, “Elisha, stay here, please. The LORD has sent me to Jericho.” He answered, “As the LORD lives, and as you live, I will not leave you.” So they went to Jericho.|Retains deliberate repetition with changed destination.
2:5|The company of prophets at Jericho approached Elisha. “Do you know the LORD is taking your master away from over you today?” they asked. “Yes, I know,” he said. “Be quiet.”|Keeps the second prophetic exchange unchanged.
2:6|Elijah said, “Stay here, please. The LORD has sent me to the Jordan.” He answered, “As the LORD lives, and as you live, I will not leave you.” So the two went on.|Completes the threefold refusal to leave.
2:7|Fifty men from the company of prophets followed and stood some distance away, while the two stood beside the Jordan.|Preserves witnesses and distance.
2:8|Elijah took his cloak, rolled it up, and struck the water. It divided to either side, and the two crossed on dry ground.|Keeps material actions and dry-ground image.
2:9|After they crossed, Elijah said, “Ask what I can do for you before I am taken from you.” Elisha answered, “Please let me receive a double share of your spirit.”|Preserves inheritance-shaped request without quantifying power.
2:10|“You have asked a difficult thing,” Elijah said. “If you see me being taken from you, it will be yours. If not, it will not.”|Keeps condition and contrasting outcomes.
2:11|As they walked along talking, a chariot of fire and horses of fire separated them. Elijah went up to heaven in the whirlwind.|Distinguishes separating chariot from ascending whirlwind.
2:12|Elisha watched and cried, “My father, my father! Israel’s chariot and its horsemen!” When he could no longer see him, he grasped his clothes and tore them in two.|Retains filial cry and military image.
2:13|He picked up Elijah’s cloak, which had fallen from him, and returned to stand on the Jordan’s bank.|Keeps the cloak’s transfer concrete.
