13:1|As Jesus was leaving the temple, one of his disciples said to him, “Teacher, look! What magnificent stones and buildings!”|Preserves the exit from the temple, the unnamed disciple, and the two exclamatory objects of admiration.
13:2|Jesus said to him, “Do you see these great buildings? Not one stone will be left here on another; every one will be torn down.”|Keeps the direct question and emphatic double-negative prediction of total destruction.
13:3|As Jesus sat on the Mount of Olives opposite the temple, Peter, James, John, and Andrew asked him privately,|Retains the precise location, named four questioners, and private setting.
13:4|“Tell us, when will these things happen? What will be the sign that all these things are about to be completed?”|Preserves the paired questions and comprehensive all in the second.
13:5|Jesus began to tell them, “Watch out that no one leads you astray.|Keeps vigilance against deception as the discourse’s opening command.
13:6|Many will come in my name, saying, ‘I am he,’ and they will lead many astray.|Renders the contextually incomplete self-claim naturally while retaining the repetition of many and lead astray.
13:7|When you hear of wars and reports of wars, do not be alarmed. These things must happen, but the end is not yet.|Keeps wars and reports distinct, divine necessity unexpanded, and the explicit not-yet qualification.
13:8|For nation will rise against nation and kingdom against kingdom. There will be earthquakes in various places; there will be famines. These are the beginning of birth pains.|Preserves the paired conflicts, repeated there will be, and the birth-pain image without calling them the end.
13:9|But watch yourselves. They will hand you over to councils, and you will be beaten in synagogues. Because of me, you will stand before governors and kings as a testimony to them.|Keeps self-vigilance, both judicial settings, the stated cause, and the testimony’s audience.
13:10|And the good news must first be proclaimed to all nations.|Preserves first and must without turning the saying into a timetable.
13:11|When they lead you away and hand you over, do not worry beforehand about what to say. Say whatever is given to you in that hour, for it is not you speaking, but the Holy Spirit.|Retains the two coercive actions, prohibition on advance anxiety, promised gift, and Holy Spirit as speaker.
13:12|Brother will hand over brother to death, and a father his child. Children will rise against their parents and put them to death.|Preserves the escalating betrayal within families and the fatal outcome without euphemism.
13:13|Everyone will hate you because of my name. But the one who endures to the end will be saved.|Keeps the comprehensive hostility, reason, endurance, and passive salvation.
13:14|“When you see the abomination of desolation standing where it should not—let the reader understand—then those in Judea must flee to the mountains.|Retains the masculine participle’s standing, the deliberately indirect location, and Mark’s reader aside.
13:15|Anyone on the housetop must not go down or enter the house to take anything out,|Keeps both prohibited movements and the urgency that excludes retrieving possessions.
13:16|and anyone in the field must not turn back to get their cloak.|Preserves the field setting, backward movement, and specific garment.
13:17|How terrible those days will be for women who are pregnant and for those nursing infants!|Keeps the lament over specifically vulnerable women and nursing without sanitizing the danger.
13:18|Pray that it will not happen in winter,|Preserves the imperative and seasonal concern while carrying the sentence forward.
13:19|because those days will bring distress unlike any from the beginning of the creation God made until now—and never to be equaled again.|Keeps God as creator and the unparalleled past-and-future scope of the distress.
13:20|If the Lord had not shortened those days, no one would survive. But for the sake of the chosen, whom he chose, he shortened the days.|Renders all flesh idiomatically while preserving the emphatic chosen/choose repetition and divine shortening.
13:21|Then if anyone says to you, ‘Look, here is the Messiah!’ or, ‘Look, there he is!’ do not believe it.|Retains both deictic claims and the command not to believe them.
13:22|For false messiahs and false prophets will arise and perform signs and wonders to lead astray, if possible, the chosen.|Keeps both false roles, signs and wonders, deceptive purpose, and the conditional phrase.
13:23|But you, watch out! I have told you everything ahead of time.|Makes the emphatic you audible and retains the comprehensive forewarning.
13:24|“But in those days, after that distress,\n‘the sun will be darkened,\nand the moon will not give its light;|Preserves the temporal sequence and begins the cosmic scriptural imagery in poetic lines.
13:25|the stars will fall from heaven,\nand the powers in the heavens will be shaken.’|Keeps falling stars and shaken heavenly powers without explaining the imagery.
13:26|Then they will see the Son of Man coming in clouds with great power and glory.|Retains the public seeing, clouds, and paired power and glory.
13:27|Then he will send out the angels and gather his chosen from the four winds, from the farthest end of the earth to the farthest end of heaven.|Keeps angels rather than generic messengers and the full earth-to-heaven sweep of the gathering.
13:28|“Learn this parable from the fig tree: as soon as its branch becomes tender and puts out leaves, you know that summer is near.|Preserves the fig tree as teacher, the seasonal signs, and the inference to summer.
13:29|In the same way, when you see these things happening, you know that it is near—right at the doors.|Keeps the compressed unspecified subject as it and the plural doors image without forcing a single referent.
13:30|Truly I tell you, this generation will certainly not pass away until all these things happen.|Retains this generation and the emphatic denial without eschatological harmonization.
13:31|Heaven and earth will pass away, but my words will certainly never pass away.|Preserves the contrast and emphatic permanence of Jesus’ words.
13:32|“But no one knows about that day or hour—not the angels in heaven, nor the Son, but only the Father.|Retains every excluded knower, including the Son, without theological qualification.
13:33|Watch out! Stay alert, because you do not know when the appointed time will come.|Keeps both vigilance commands and kairos as the unknown appointed time.
13:34|It is like a man away on a journey who left his house, gave authority to his slaves, assigned each one their work, and ordered the doorkeeper to stay awake.|Preserves slave rather than weakening the social term, individual work, and the doorkeeper’s command.
