22:1|For three years there was no war between Aram and Israel.|Keeps the interval of peace.
22:2|In the third year, Jehoshaphat king of Judah went down to visit the king of Israel.|Identifies both kingdoms without inserting a motive.
22:3|Israel’s king said to his servants, “You know Ramoth-gilead belongs to us. Why are we doing nothing to take it back from the king of Aram?”|Makes the reproach audible within the royal claim.
22:4|He asked Jehoshaphat, “Will you join me in battle at Ramoth-gilead?” Jehoshaphat answered Israel’s king, “I am as you are, my people as your people, my horses as your horses.”|Retains the threefold pledge of solidarity.
22:5|But Jehoshaphat said to Israel’s king, “First, please seek the LORD’s word.”|Clarifies the requested order of action.
22:6|Israel’s king gathered about four hundred prophets and asked, “Should I go to war against Ramoth-gilead, or hold back?” “Go,” they said. “The Lord will give it into the king’s hand.”|Keeps approximate count and Adonai designation.
22:7|Jehoshaphat asked, “Is there no other prophet of the LORD here whom we can consult?”|Preserves another prophet rather than denying all prophetic status.
22:8|Israel’s king answered, “There is one more man through whom we can consult the LORD, Micaiah son of Imlah. But I hate him. He never prophesies good for me, only disaster.” Jehoshaphat said, “The king should not speak that way.”|Distinguishes Ahab’s complaint from the narrator’s judgment.
22:9|Then Israel’s king called a court official. “Bring Micaiah son of Imlah quickly,” he said.|Court role translated without settling bodily status.
22:10|Israel’s king and Jehoshaphat king of Judah sat on their thrones, dressed in their robes, at the threshing floor by Samaria’s gate. All the prophets were prophesying before them.|Makes the public setting clear.
22:11|Zedekiah son of Chenaanah made himself iron horns. He declared, “This is what the LORD says: With these you will gore Aram until you finish them off.”|Preserves enacted animal imagery and destruction.
22:12|All the prophets said the same: “Go up to Ramoth-gilead and succeed! The LORD will give it into the king’s hand.”|Retains their united prediction and divine name.
22:13|The messenger who went to summon Micaiah told him, “The prophets are speaking with one voice in the king’s favor. Please let your word agree with theirs. Speak favorably.”|Exposes pressure to conform without adding motive.
22:14|Micaiah answered, “As the LORD lives, I will speak whatever the LORD tells me.”|Keeps oath and stated prophetic obligation.
22:15|When he reached the king, the king asked, “Micaiah, should we go to war at Ramoth-gilead, or hold back?” He answered, “Go and succeed! The LORD will give it into the king’s hand.”|Leaves apparent irony to the following exchange.
22:16|The king replied, “How many times must I put you under oath to tell me only the truth in the LORD’s name?”|Keeps the king’s challenge and oath language.
