1:1|Paul, an apostle—not from human beings nor through a human being, but through Jesus Christ and God the Father, who raised him from the dead—|Preserves Paul's emphatic denial and divine commissioning.
1:2|and all the brothers and sisters with me, to the churches of Galatia:|Keeps the co-senders and multiple regional churches.
1:3|Grace to you and peace from God our Father and our Lord Jesus Christ,|Retains both gifts and their source.
1:4|who gave himself for our sins to rescue us from the present evil age, according to the will of our God and Father,|Preserves self-giving, rescue, temporal evil, and divine will.
1:5|to whom be glory forever and ever. Amen.|Keeps the doxology and emphatic duration.
1:6|I am astonished that you are so quickly deserting the one who called you by Christ's grace and turning to a different gospel—|Preserves surprise, personal desertion, grace, and interrupted clause.
1:7|not that there is another gospel. But some people are troubling you and want to distort the gospel of Christ.|Keeps the correction and identifies human agents.
1:8|But even if we or an angel from heaven should proclaim to you a gospel contrary to the one we proclaimed to you, let that one be accursed!|Preserves universal condition and severe curse.
1:9|As we have said before, so now I say again: if anyone proclaims to you a gospel contrary to what you received, let that one be accursed!|Keeps deliberate repetition and received message.
1:10|Am I now seeking human approval, or God's? Or am I trying to please people? If I were still pleasing people, I would not be Christ's servant.|Preserves rhetorical questions and servant allegiance.
1:11|For I want you to know, brothers and sisters, that the gospel proclaimed by me is not of human origin.|Keeps disclosure and source denial.
1:12|For I neither received it from a human being nor was I taught it; rather, I received it through a revelation of Jesus Christ.|Preserves both denials and revelation's possible source/content relation.
1:13|For you have heard about my former way of life in Judaism: I intensely persecuted God's church and tried to destroy it.|Names Paul's former religious setting and actual violence.
1:14|I advanced in Judaism beyond many contemporaries among my people, being far more zealous for my ancestral traditions.|Keeps comparison, kinship, and ancestral zeal.
1:15|But when God, who set me apart from my mother's womb and called me through his grace, was pleased|Preserves prophetic calling language and suspended sentence.
1:16|to reveal his Son in me so that I might proclaim him among the Gentiles, I did not immediately consult flesh and blood,|Keeps inward/through-me ambiguity and mission purpose.
1:17|nor did I go up to Jerusalem to those who were apostles before me. Instead, I went away to Arabia and then returned to Damascus.|Preserves chronology and all locations.
1:18|Then after three years I went up to Jerusalem to get acquainted with Cephas, and I stayed with him fifteen days.|Keeps source-form Cephas and exact durations.
1:19|I saw none of the other apostles except James, the Lord's brother.|Preserves the exception and specific relationship.
1:20|As for what I am writing to you—look, before God, I am not lying.|Keeps solemn direct assertion.
1:21|Then I went into the regions of Syria and Cilicia.|Preserves geographic movement.
1:22|I was still unknown by sight to the churches of Judea that are in Christ.|Keeps facial unfamiliarity and location.
1:23|They only kept hearing, “The man who once persecuted us is now proclaiming the faith he once tried to destroy.”|Preserves reported speech and reversal.
1:24|And they glorified God because of me.|Keeps God as object and Paul as occasion.
2:1|Then, after fourteen years, I went up again to Jerusalem with Barnabas, taking Titus along also.|Preserves exact time, destination, and companions.
2:2|I went up because of a revelation and set before them the gospel I proclaim among the Gentiles—but privately before those considered influential—so that I would not be running, or have run, in vain.|Keeps revelation, public mission, private consultation, and race image.
2:3|Yet even Titus, who was with me and was Greek, was not compelled to be circumcised.|Preserves ethnicity and absence of compulsion.
