1:1|The Song of Songs, which belongs to Solomon.|Retain superlative title and open Solomonic relation.
1:2|Let him kiss me with the kisses of his mouth!\nYour caresses are better than wine.|Retain sudden third-to-second-person shift and bodily desire.
1:3|Your oils give off a lovely fragrance;\nyour name is oil poured out.\nThat is why the young women love you.|Keep name/oil image and young women’s attraction.
1:4|Draw me after you—let us run!\nThe king has brought me into his rooms.\nWe will rejoice and delight in you;\nwe will celebrate your caresses more than wine.\nRightly do they love you.|Preserve singular/plural shifts without imposing one speaker scheme.
1:5|I am black and beautiful,\ndaughters of Jerusalem,\nlike the tents of Kedar,\nlike Solomon’s curtains.|Render conjunction affirmatively and retain named comparisons.
1:6|Do not stare at me because I am dark,\nbecause the sun has gazed on me.\nMy mother’s sons were angry with me;\nthey made me guard the vineyards.\nMy own vineyard I did not guard.|Keep sun’s gaze, brothers’ coercion, and vineyard ambiguity.
1:7|Tell me, you whom my whole being loves,\nwhere you graze your flock,\nwhere you make it rest at noon.\nWhy should I be like a veiled woman\nbeside your companions’ flocks?|Preserve shepherd setting and veiled reading with note.
1:8|If you do not know, most beautiful of women,\nfollow the tracks of the flock\nand graze your young goats\nbeside the shepherds’ tents.|Keep reply to female addressee and practical pastoral images.
1:9|My love, I compare you to my mare\namong Pharaoh’s chariots.|Retain surprising female horse and Pharaoh image.
1:10|Your cheeks are lovely with ornaments,\nyour neck with strings of beads.|Keep adornment of cheeks and neck.
1:11|We will make you ornaments of gold\nstudded with silver.|Preserve plural makers and two metals.
1:12|While the king was reclining at his table,\nmy nard released its fragrance.|Keep first-person fragrance and banquet setting.
1:13|My beloved is a pouch of myrrh to me,\nresting between my breasts.|Preserve intimate bodily perfume image.
1:14|My beloved is a cluster of henna blossoms to me\nin the vineyards of En-gedi.|Keep plant and specific place.
1:15|How beautiful you are, my love!\nHow beautiful!\nYour eyes are doves.|Preserve repeated praise and direct dove metaphor.
1:16|How handsome you are, my beloved,\nhow delightful!\nOur bed is green and flourishing.|Reflect masculine address and living bed image.
1:17|The beams of our houses are cedars;\nour rafters are cypresses.|Retain architectural tree imagery and read-form rafters.
2:1|I am a meadow flower of Sharon,\na lily of the valleys.|Avoid unsupported certainty of rose species; retain self-description.
2:2|Like a lily among thorns,\nso is my love among the young women.|Keep lover’s response and thorn contrast.
2:3|Like an apple tree among forest trees,\nso is my beloved among the young men.\nI delight to sit in his shade;\nhis fruit is sweet to my palate.|Preserve sensory tree metaphor and male comparison.
2:4|He brought me into the house of wine;\nhis banner over me was love.|Keep wine house and banner image with alternative noted.
2:5|Sustain me with raisin cakes;\nrefresh me with apples,\nfor I am sick with love.|Retain foods and lovesickness as bodily metaphor.
2:6|His left hand is beneath my head,\nand his right arm embraces me.|Preserve left/right and actual embrace.
2:7|I put you under oath, daughters of Jerusalem,\nby the gazelles or the does of the field:\ndo not stir up or awaken love\nuntil it wishes.|Keep animal oath, paired verbs, and love’s own timing.
2:8|The sound of my beloved!\nLook, he is coming,\nleaping over mountains,\nbounding over hills.|Retain exclamation and parallel motion.
2:9|My beloved is like a gazelle or a young stag.\nLook, he stands behind our wall,\nlooking through the windows,\npeering through the lattice.|Keep animal comparison and three spatial details.
2:10|My beloved speaks to me:\n“Rise, my love, my beautiful one,\nand come away.|Make quotation boundary audible without extra characterization.
2:11|Look, winter has passed;\nthe rain is over and gone.|Retain doubled departure of rainy season.
