1:1|Paul, an apostle of Christ Jesus by God's will, according to the promise of life in Christ Jesus,|Keeps divine commissioning and the promise as the apostolic message's horizon.
1:2|to Timothy, my beloved child: Grace, mercy and peace from God the Father and Christ Jesus our Lord.|Retains affection, kinship and threefold blessing.
1:3|I thank God, whom I serve as my ancestors did, with a clean conscience, as I constantly remember you in my prayers night and day.|Keeps ancestral continuity, conscience and unceasing remembrance.
1:4|Remembering your tears, I long to see you so that I may be filled with joy.|Preserves grief remembered and anticipated joy.
1:5|I am reminded of your sincere faith, which first lived in your grandmother Lois and your mother Eunice and, I am convinced, lives in you as well.|Keeps both women by name and the dwelling metaphor across generations.
1:6|For this reason I remind you to fan into flame God's gift that is in you through the laying on of my hands.|Retains rekindling image, gift and embodied commissioning.
1:7|For God did not give us a spirit of cowardice, but of power, love and self-control.|Preserves the contrast and all three positive qualities.
1:8|So do not be ashamed of the testimony about our Lord or of me, his prisoner. Instead, share in suffering for the good news, relying on God's power.|Keeps imprisonment, shared suffering and divine capacity.
1:9|He saved us and called us with a holy calling, not according to our works but according to his own purpose and grace, given to us in Christ Jesus before eternal times.|Preserves salvation/call, denial of works and pretemporal grace.
1:10|This grace has now been revealed through the appearing of our Savior Christ Jesus, who abolished death and brought life and immortality to light through the good news.|Keeps appearance, death's defeat and illumination of life.
1:11|For this good news I was appointed a herald, apostle and teacher.|Retains all three appointed roles.
1:12|That is why I suffer these things. But I am not ashamed, because I know the one I have trusted and am convinced that he is able to guard what I entrusted to him until that day.|Keeps suffering, personal trust and the deposit's direction as one plausible reading.
1:13|Hold to the pattern of sound words you heard from me, in the faith and love that are in Christ Jesus.|Preserves health metaphor, pattern and two Christ-located virtues.
1:14|Guard the good deposit through the Holy Spirit who lives in us.|Keeps entrusted treasure and indwelling divine help.
1:15|You know that everyone in Asia turned away from me, including Phygelus and Hermogenes.|Retains the sweeping regional claim and both named examples.
1:16|May the Lord grant mercy to the household of Onesiphorus, because he often refreshed me and was not ashamed of my chain.|Keeps household blessing, repeated aid and imprisonment.
1:17|Instead, when he was in Rome, he searched diligently for me and found me.|Preserves named city and persistent search.
1:18|May the Lord grant him mercy from the Lord on that day. And you know very well how much service he rendered in Ephesus.|Keeps the doubled Lord expression, future day and named place.
2:1|You then, my child, be strengthened by the grace that is in Christ Jesus.|Retains kinship and passive divine strengthening.
2:2|Entrust what you heard from me through many witnesses to faithful people who will be qualified to teach others also.|Keeps four generations of transmission and multiple witnesses.
2:3|Share in suffering as a good soldier of Christ Jesus.|Retains military identity and hardship.
2:4|No one serving as a soldier gets entangled in ordinary civilian affairs, so as to please the one who enlisted him.|Keeps entanglement and commanding officer imagery.
2:5|Likewise, an athlete is not crowned unless competing according to the rules.|Preserves competition, rule and crown.
2:6|The hardworking farmer should be the first to receive a share of the crops.|Keeps labor, priority and agricultural yield.
2:7|Think about what I am saying, for the Lord will give you understanding in everything.|Preserves human reflection and divine understanding together.
2:8|Remember Jesus Christ, raised from the dead and descended from David, according to my good news.|Keeps resurrection, Davidic ancestry and personal stewardship.
2:9|For it I suffer hardship, even chains like a criminal. But God's word is not chained.|Preserves real imprisonment and the pointed chain wordplay.
2:10|Therefore, I endure everything for the sake of the chosen, so that they too may obtain the salvation in Christ Jesus with eternal glory.|Keeps endurance, election and salvation's full goal.
2:11|This saying is trustworthy: If we died with him, we will also live with him;|Retains first parallel conditional promise.
2:12|if we endure, we will also reign with him; if we deny him, he will also deny us;|Keeps promise and warning in matching clauses.
2:13|if we are unfaithful, he remains faithful, for he cannot deny himself.|Preserves divine constancy and its self-related basis without making faithlessness harmless.
2:14|Remind them of these things, solemnly warning them before the Lord not to fight over words. Such arguments do no good and ruin those who listen.|Keeps formal warning and destructive effect.
2:15|Make every effort to present yourself to God as approved, a worker with no cause for shame who cuts the word of truth straight.|Retains tested laborer and difficult straight-cutting metaphor.
2:16|Avoid profane empty chatter, for those who engage in it will advance into greater ungodliness,|Keeps avoidance and ironic progress.
2:17|and their talk will spread like gangrene. Hymenaeus and Philetus are among them.|Preserves bodily disease image and both names.
2:18|They have missed the mark concerning the truth, saying the resurrection has already happened, and they overturn the faith of some.|Keeps target-missing, false timing and real damage.
2:19|Nevertheless, God's firm foundation stands, bearing this seal: “The Lord knows those who are his,” and, “Let everyone who names the Lord's name turn away from unrighteousness.”|Preserves foundation, seal and both quotations.
2:20|In a large house there are not only vessels of gold and silver, but also of wood and clay; some are for honorable use and some for dishonorable use.|Keeps material range and opposed purposes.
2:21|Therefore, if anyone cleanses themselves from these things, they will be a vessel for honorable use—made holy, useful to the master and prepared for every good work.|Preserves vessel metaphor, cleansing and three results.
2:22|Flee youthful desires and pursue righteousness, faith, love and peace, together with those who call on the Lord from a pure heart.|Keeps flight/pursuit and communal setting.
2:23|Reject foolish and ignorant controversies, knowing that they breed quarrels.|Retains intellectual evaluation and birth image.
2:24|The Lord's slave must not quarrel but must be gentle toward everyone, able to teach and patient when wronged,|Keeps slave status and three nonviolent teaching qualities.
2:25|correcting opponents with gentleness, in the hope that God may grant them repentance leading to knowledge of the truth|Preserves correction, humility and divine gift.
2:26|and that they may come to their senses and escape the devil's trap, having been captured alive by him to do his will.|Keeps sobriety, trapping and war-captive images.
3:1|Know this: difficult times will come in the last days.|Retains temporal frame and severity.
3:2|For people will be self-loving, money-loving, boastful, arrogant, abusive, disobedient to parents, ungrateful and unholy,|Keeps compound love terms and complete first list.
3:3|without natural affection, unwilling to reconcile, slanderous, without self-control, brutal and hating what is good,|Preserves every relational and moral descriptor.
3:4|treacherous, reckless, conceited, loving pleasure rather than loving God,|Keeps three traits and the love contrast.
3:5|holding an outward form of godliness but denying its power. Turn away from such people.|Preserves appearance/reality contrast and distancing command.
3:6|For among them are those who creep into households and capture vulnerable women burdened with sins and led by various desires,|Keeps predatory intrusion and the source's disparaging diminutive without obscuring victimization.
3:7|always learning yet never able to come to knowledge of the truth.|Retains the perpetual learning/never arriving contrast.
3:8|Just as Jannes and Jambres opposed Moses, so these people oppose the truth—people corrupted in mind and disqualified regarding the faith.|Keeps traditional names, Moses comparison and failed test.
3:9|But they will not advance much further, for their folly will be obvious to everyone, just as the folly of those two became obvious.|Preserves limit and public exposure.
