1:1|Long ago, God spoke to our ancestors through the prophets in many portions and in many ways.|Preserves the paired diversity of earlier revelation and ancestral audience.
1:2|In these last days, he has spoken to us through a Son, whom he appointed heir of all things and through whom he also made the ages.|Keeps the anarthrous Son expression, inheritance and creation of the ages.
1:3|The Son is the radiance of God's glory and the exact imprint of his being, sustaining all things by his powerful word. After making purification for sins, he sat down at the right hand of the Majesty on high.|Preserves radiance/imprint images, cosmic sustaining and enthronement after purification.
1:4|He became as much superior to the angels as the name he inherited is more excellent than theirs.|Keeps comparative logic and inherited name unnamed.
1:5|For to which of the angels did God ever say, “You are my Son; today I have fathered you”? Or again, “I will be his Father, and he will be my Son”?|Retains rhetorical question and both kinship quotations.
1:6|And again, when he brings the firstborn into the inhabited world, he says, “Let all God's angels worship him.”|Keeps firstborn title, world entrance and angelic worship.
1:7|About the angels he says, “He makes his angels winds, and his servants flames of fire.”|Preserves wind/spirit ambiguity as winds and the fire image.
1:8|But about the Son: “Your throne, O God, is forever and ever, and the scepter of uprightness is the scepter of your kingdom.|Keeps direct divine address and rule imagery.
1:9|You loved righteousness and hated lawlessness; therefore God, your God, anointed you with the oil of joy beyond your companions.”|Preserves doubled God language, anointing and comparison.
1:10|And, “In the beginning, Lord, you laid the earth's foundation, and the heavens are the works of your hands.|Keeps Lord address, foundation and handwork imagery.
1:11|They will perish, but you remain; they will all wear out like clothing.|Retains creation's impermanence and garment simile.
1:12|You will roll them up like a cloak; like clothing they will be changed. But you are the same, and your years will never end.”|Keeps rolling/changing imagery and divine constancy.
1:13|And to which of the angels has he ever said, “Sit at my right hand until I make your enemies a footstool for your feet”?|Preserves enthronement, enemies and subjugating footstool image.
1:14|Are they not all serving spirits sent out to minister for the sake of those who are about to inherit salvation?|Keeps rhetorical form, angelic service and future inheritance.
2:1|Therefore, we must pay much closer attention to what we have heard, so that we do not drift away.|Retains heightened attention and drifting image.
2:2|For if the message spoken through angels proved reliable, and every transgression and disobedience received just repayment,|Keeps angelic mediation, legal violations and deserved recompense.
2:3|how will we escape if we neglect so great a salvation? It was first spoken through the Lord and confirmed to us by those who heard him,|Preserves rhetorical warning and the transmission sequence.
2:4|while God also testified with signs, wonders, various miracles and distributions of the Holy Spirit according to his will.|Keeps all four divine attestations and sovereign distribution.
2:5|For it was not to angels that he subjected the coming inhabited world, about which we are speaking.|Retains future world and denial of angelic rule.
2:6|But someone has testified somewhere: “What is a human being that you remember him, or a son of man that you care for him?|Keeps the author's indefinite citation formula and gendered representative human.
2:7|You made him lower than the angels for a little while; you crowned him with glory and honor|Preserves temporal/spatial ambiguity of little and crowning.
2:8|and subjected everything beneath his feet.” By subjecting everything to him, God left nothing outside his control. Yet at present we do not see everything subjected to him.|Keeps universal subjection and the present empirical tension.
2:9|But we see Jesus, made lower than the angels for a little while, crowned with glory and honor because he suffered death, so that apart from God he might taste death for everyone.|Follows the pinned ‘apart from God’ reading rather than silently substituting ‘by grace.’
2:10|For it was fitting that God, for whom and through whom all things exist, in bringing many sons and daughters to glory, should perfect the pioneer of their salvation through sufferings.|Keeps divine purpose, filial image, pioneer title and suffering.
2:11|For the one who makes holy and those being made holy all come from one. That is why he is not ashamed to call them brothers and sisters,|Preserves shared origin and family naming.
2:12|saying, “I will proclaim your name to my brothers and sisters; in the midst of the assembly I will sing your praise.”|Keeps public proclamation and congregational song.
2:13|And again, “I will put my trust in him.” And again, “Here I am, with the children God gave me.”|Retains both quotations and child imagery.
2:14|Since the children share in blood and flesh, he too shared in the same things, so that through death he might render powerless the one who holds the power of death—that is, the devil—|Keeps human embodiment, death as means and named opponent.
2:15|and free those who were held in slavery all their lives by fear of death.|Preserves lifelong fear and slavery language.
2:16|For clearly he does not take hold of angels, but he takes hold of Abraham's offspring.|Keeps repeated grasping and Abrahamic lineage.
2:17|Therefore, he had to become like his brothers and sisters in every way, so that he might become a merciful and faithful high priest in matters relating to God, to make atonement for the people's sins.|Retains necessity, full likeness and priestly atonement.
2:18|Because he himself suffered when tested, he is able to help those being tested.|Keeps suffering, testing and aid grounded in experience.
3:1|Therefore, holy brothers and sisters, partners in a heavenly calling, consider Jesus, the apostle and high priest of our confession.|Preserves communal titles and both unusual roles of Jesus.
3:2|He was faithful to the one who appointed him, just as Moses was in all God's house.|Keeps appointment, Moses and house comparison.
3:3|For Jesus has been considered worthy of more glory than Moses, just as the builder of a house has more honor than the house itself.|Retains explicit comparison and builder analogy.
3:4|Every house is built by someone, but God is the builder of everything.|Keeps universal house logic and divine conclusion.
3:5|Moses was faithful as a servant in all God's house, testifying to what would be spoken later.|Preserves servant status and forward-looking witness.
3:6|But Christ is faithful as a Son over God's house. And we are his house, if we hold firmly to our confidence and the hope in which we boast.|Keeps Son/servant contrast, communal house and condition.
3:7|Therefore, as the Holy Spirit says, “Today, if you hear his voice,|Attributes the present scriptural voice to the Spirit and retains today.
3:8|do not harden your hearts as in the rebellion, on the day of testing in the wilderness,|Keeps heart-hardening, rebellion and wilderness.
3:9|where your ancestors tested and tried me and saw my works|Preserves ancestral testing and divine first-person speech.
3:10|for forty years. Therefore, I was angry with that generation and said, ‘They always wander in their hearts, and they have not known my ways.’|Keeps exact duration, anger and inward wandering.
3:11|So I swore in my anger, ‘They will never enter my rest.’”|Renders the oath idiom as emphatic exclusion while preserving anger and rest.
3:12|Watch out, brothers and sisters, that none of you has an evil, unbelieving heart that turns away from the living God.|Keeps corporate vigilance and apostasy movement.
3:13|Instead, encourage one another every day, as long as it is called “Today,” so that none of you may be hardened by sin's deception.|Retains daily reciprocity, repeated today and deceptive hardening.
3:14|For we have become partners of Christ, if we hold our original confidence firm to the end.|Keeps participation and persevering condition.
3:15|As it is said, “Today, if you hear his voice, do not harden your hearts as in the rebellion.”|Preserves repeated quotation as active warning.
3:16|For who heard and rebelled? Was it not all those who came out of Egypt under Moses?|Keeps rhetorical question, exodus and Moses.
3:17|And with whom was God angry for forty years? Was it not with those who sinned, whose bodies fell in the wilderness?|Retains exact duration and the stark image of corpses.
3:18|And to whom did he swear that they would not enter his rest, if not to those who disobeyed?|Keeps oath, rest and disobedience.
3:19|So we see that they could not enter because of unbelief.|Preserves the concluding cause.
4:1|Therefore, since the promise of entering his rest remains, let us fear that any one of you may appear to have fallen short.|Keeps continuing promise, communal fear and race-like shortfall.
4:2|For we too have received good news just as they did, but the message they heard did not benefit them because they were not united by faith with those who listened.|Follows the pinned united-with-hearers reading and preserves comparison.
4:3|For we who have believed enter the rest, just as he said, “So I swore in my anger, ‘They will never enter my rest,’” though his works were finished from the foundation of the world.|Keeps present entry, oath and creation completion.
