1:1|These are the words of Amos, who was among the sheep breeders of Tekoa—what he saw concerning Israel during the reigns of Uzziah king of Judah and Jeroboam son of Joash king of Israel, two years before the earthquake.|Preserves occupation, visionary description, both reigns, and earthquake interval without supplying an absolute date.
1:2|He said:\n“The LORD roars from Zion\nand raises his voice from Jerusalem.\nThe shepherds’ pastures mourn,\nand the summit of Carmel dries up.”|Keeps the roar, mournful pasture, and specific mountain; matches Joel's shared formula where clear.
1:3|This is what the LORD says:\n“For three rebellions of Damascus, and for four,\nI will not turn it back:\nthey threshed Gilead with iron threshing sledges.|Preserves the cumulative number formula and open it; retains the brutal agricultural image.
1:4|I will send fire into the house of Hazael,\nand it will consume Ben-hadad’s citadels.|Keeps dynasty names and the repeated fire/citadel formula.
1:5|I will break the gate bar of Damascus,\ncut off the inhabitant from the Valley of Aven\nand the scepter-holder from Beth-eden.\nThe people of Aram will go into exile to Kir,” says the LORD.|Retains all place-names and distinguishes inhabitant from ruler rather than silently equating both.
1:6|This is what the LORD says:\n“For three rebellions of Gaza, and for four,\nI will not turn it back:\nthey deported an entire community\nto hand them over to Edom.|Preserves total deportation and transfer destination without importing modern Gaza referents.
1:7|I will send fire into Gaza’s wall,\nand it will consume her citadels.|Repeats the judgment form while retaining the city's feminine personification.
1:8|I will cut off the inhabitant from Ashdod\nand the scepter-holder from Ashkelon.\nI will turn my hand against Ekron,\nand the remaining Philistines will perish,”\nsays the Lord GOD.|Keeps all three cities, remnant outcome, and adonai/YHWH title convention.
1:9|This is what the LORD says:\n“For three rebellions of Tyre, and for four,\nI will not turn it back:\nthey handed an entire community over to Edom\nand did not remember a covenant of brothers.|Preserves deportation and covenant breach as separate charges with kinship language intact.
1:10|I will send fire into Tyre’s wall,\nand it will consume her citadels.”|Retains the refrain without unnecessary variation.
1:11|This is what the LORD says:\n“For three rebellions of Edom, and for four,\nI will not turn it back:\nhe pursued his brother with a sword\nand destroyed his compassion.\nHis anger tore on and on;\nhe kept his fury forever.|Keeps fraternal violence and sustained personified anger rather than a generic hostility summary.
1:12|I will send fire into Teman,\nand it will consume Bozrah’s citadels.”|Preserves the two distinct Edomite place-names.
1:13|This is what the LORD says:\n“For three rebellions of the Ammonites, and for four,\nI will not turn it back:\nthey ripped open Gilead’s pregnant women\nto enlarge their territory.|Preserves the actual atrocity and explicitly territorial motive.
1:14|I will set fire to Rabbah’s wall,\nand it will consume her citadels,\namid shouts on the day of battle,\namid a whirlwind on the day of storm.|Keeps ignite distinct from send and both paired day clauses.
1:15|Their king will go into exile,\nhe and his rulers together,” says the LORD.|Follows pointed their king while noting the possible Milcom name reading.
2:1|This is what the LORD says:\n“For three rebellions of Moab, and for four,\nI will not turn it back:\nhe burned the bones of Edom’s king into lime.|Keeps the desecration of a foreign king's remains as the stated charge.
2:2|I will send fire into Moab,\nand it will consume Kerioth’s citadels.\nMoab will die amid uproar,\nwith battle cries and the sound of a ram’s horn.|Preserves the proper name and threefold battle soundscape.
2:3|I will cut off the judge from her midst\nand kill all her rulers with him,” says the LORD.|Keeps judge rather than replacing it with king and preserves all rulers.
2:4|This is what the LORD says:\n“For three rebellions of Judah, and for four,\nI will not turn it back:\nthey rejected the LORD’s instruction\nand did not keep his decrees.\nTheir lies led them astray,\nthe lies their ancestors followed.|Retains instruction/decrees and lies without silently substituting idols.
2:5|I will send fire into Judah,\nand it will consume Jerusalem’s citadels.”|Keeps the fire refrain equally applied to Judah.
2:6|This is what the LORD says:\n“For three rebellions of Israel, and for four,\nI will not turn it back:\nthey sell the innocent for silver\nand the needy for a pair of sandals.|Uses innocent in judicial context and retains the concrete low price rather than only saying exploitation.
2:7|They crave even the dust of the ground on the heads of the poor\nand twist the path of the afflicted.\nA man and his father go to the same young woman,\nprofaning my holy name.|Follows the difficult pant/crave wording rather than silently emending to trample; preserves sexual abuse context without calling the woman a prostitute.
2:8|They stretch out beside every altar\non clothes taken as pledges,\nand in the house of their God\nthey drink wine taken in fines.|Connects worship to seized collateral and fines while preserving the physical scene.
2:9|Yet I destroyed the Amorite before them,\ntall as cedars and strong as oaks.\nI destroyed his fruit above\nand his roots below.|Keeps tree similes and total above/below destruction with divine emphasis.
2:10|I brought you up from the land of Egypt\nand led you through the wilderness for forty years\nto take possession of the Amorite’s land.|Preserves forty years and the purpose of the journey.
2:11|I raised up some of your sons as prophets\nand some of your young men as Nazirites.\nIs this not so, people of Israel?” declares the LORD.|Retains male-specific groups and the Nazirite term rather than generalizing dedication.
2:12|“But you made the Nazirites drink wine\nand commanded the prophets, ‘Do not prophesy!’|Keeps the two direct violations and quoted prohibition.
2:13|Now I will press down beneath you\nas a cart loaded with sheaves presses down.|Preserves the difficult pressure image and notes alternate creaking interpretation.
2:14|The swift will have no escape;\nthe strong will find no strength;\nthe warrior will not save his life.|Keeps the three progressively defeated capacities and repeated escape theme.
2:15|The archer will not stand his ground;\nthe fleet-footed will not escape;\nthe horseman will not save his life.|Retains distinct military roles and matches the preceding survival refrain.
2:16|Even the bravest of warriors\nwill flee naked on that day,” declares the LORD.|Preserves naked flight and specified day without softening humiliation.
3:1|Hear this word that the LORD has spoken against you, people of Israel—against the whole family I brought up from the land of Egypt:|Retains the sudden first-person divine quotation inside the introductory address.
3:2|“You alone have I known\namong all the families of the earth.\nThat is why I will call you to account\nfor all your guilt.”|Preserves knowing as relationship and the surprising accountability consequence of election.
3:3|Do two people walk together\nunless they have arranged to meet?|Renders noadu as meeting rather than broad ideological agreement.
3:4|Does a lion roar in the forest when it has no prey?\nDoes a young lion cry from its den\nunless it has caught something?|Keeps both causally linked animal questions without explanatory answers.
3:5|Does a bird fall into a trap on the ground\nunless a snare is set for it?\nDoes a trap spring up from the ground\nwithout catching anything?|Retains two trap mechanisms as rhetorical cause/effect questions.
