2:1|As David’s death drew near, he gave his son Solomon these instructions:|Introduces the approaching death and direct charge without archaic timing.
2:2|“I am going the way of all the earth. Be strong. Show yourself a man.|Retains the death image and gendered exhortation rather than generalizing it.
2:3|Keep the charge of the LORD your God: walk in his ways and keep his statutes, commands, judgments, and testimonies, as written in the law of Moses. Then you may act wisely in everything you do and wherever you turn,|Unfolds the charge while retaining its four terms and wisdom/success connection.
2:4|and the LORD may fulfill what he promised me: ‘If your sons watch their ways and walk faithfully before me with all their heart and all their being, you will never lack a man on Israel’s throne.’|Keeps the dynastic promise conditional and the whole-person expression.
2:5|“You also know what Joab son of Zeruiah did to me—what he did to the two commanders of Israel’s armies, Abner son of Ner and Amasa son of Jether. He killed them, shedding the blood of war in peacetime and putting that blood on the belt around his waist and the sandals on his feet.|Retains David’s account of bloodguilt and its concrete clothing images.
2:6|Use your wisdom. Do not let his gray head go down to Sheol in peace.|Preserves the threatening wisdom charge and Sheol image.
2:7|But show steadfast love to the sons of Barzillai the Gileadite. Let them eat at your table, because they stood by me when I fled from your brother Absalom.|Makes the table obligation and past support audible.
2:8|“You also have with you Shimei son of Gera, the Benjaminite from Bahurim. He cursed me bitterly when I went to Mahanaim. But he came down to meet me at the Jordan, and I swore to him by the LORD, ‘I will not put you to death with the sword.’|Keeps David’s oath beside his recollection of the curse.
2:9|Now do not leave him unpunished. You are a wise man; you will know what to do with him. Bring his gray head down to Sheol in blood.”|Does not soften David’s command or explain away its tension with the oath.
2:10|David lay down with his ancestors and was buried in the City of David.|Retains the ancestral death idiom with the burial place.
2:11|He had ruled Israel for forty years: seven in Hebron and thirty-three in Jerusalem.|Preserves this passage’s counts without importing the extra months from Samuel.
2:12|Solomon took his seat on his father David’s throne, and his kingship became firmly established.|Retains throne succession and emphatic establishment.
2:13|Adonijah son of Haggith came to Bathsheba, Solomon’s mother. “Do you come in peace?” she asked. “In peace,” he replied.|Clarifies the speakers while retaining the peace repetition.
2:14|He said, “I have something to say to you.” “Speak,” she said.|Keeps the brief invitation as dialogue.
