1:1|Paul, Silvanus and Timothy, to the church of the Thessalonians in God our Father and the Lord Jesus Christ:|Keeps all senders and the community's twofold location.
1:2|Grace and peace to you from God the Father and the Lord Jesus Christ.|Preserves the paired gift and two named sources.
1:3|We ought always to thank God for you, brothers and sisters, as is right, because your faith is growing abundantly and the love each one of you has for one another is increasing.|Keeps obligation, abundant growth and every-member mutual love.
1:4|Therefore, we ourselves boast about you among God's churches because of your endurance and faith in all the persecutions and afflictions you bear.|Retains corporate boasting and the full scope of suffering.
1:5|This is evidence of God's righteous judgment, so that you may be considered worthy of God's kingdom, for which you also suffer.|Keeps suffering connected to the evaluative claim without calling suffering itself good.
1:6|Indeed, it is just for God to repay with affliction those who afflict you,|Preserves the letter's retributive claim and repeated affliction wording.
1:7|and to give relief to you who are afflicted, along with us, when the Lord Jesus is revealed from heaven with his powerful angels|Keeps relief, solidarity and the public heavenly revelation.
1:8|in flaming fire, bringing justice on those who do not know God and who do not obey the good news of our Lord Jesus.|Retains fire, vengeance/justice and both described groups.
1:9|They will pay the penalty of eternal destruction away from the Lord's presence and from the glory of his might,|Keeps punishment language and the debated away-from relation without softening duration.
1:10|when he comes on that day to be glorified among his saints and marveled at among all who have believed, because our testimony to you was believed.|Preserves the day's two purposes and the community's response.
1:11|With this in view, we always pray for you, that our God may consider you worthy of his calling and powerfully fulfill every desire for goodness and every work of faith,|Keeps worthiness, divine power and both good intention and action.
1:12|so that the name of our Lord Jesus may be glorified in you, and you in him, according to the grace of our God and the Lord Jesus Christ.|Retains reciprocal glorification and the dense final attribution.
2:1|Now concerning the coming of our Lord Jesus Christ and our gathering to him, we ask you, brothers and sisters,|Keeps the two linked future events and communal appeal.
2:2|not to be quickly shaken from your senses or alarmed, whether by a spirit, a spoken message or a letter supposedly from us, claiming that the day of the Lord has already arrived.|Preserves three alleged channels, false attribution and the pinned day title.
2:3|Do not let anyone deceive you in any way. That day will not come unless the rebellion comes first and the man of lawlessness is revealed, the son of destruction.|Retains the supplied future logic, rebellion and pinned lawlessness reading.
2:4|He opposes and exalts himself above every so-called god or object of worship, so that he seats himself in God's temple, presenting himself as God.|Keeps sweeping self-exaltation, temple action and blasphemous claim.
2:5|Do you not remember that I told you these things while I was still with you?|Preserves the corrective rhetorical question and prior oral teaching.
2:6|And now you know what restrains him, so that he may be revealed at his own time.|Keeps the restrainer unnamed and the timing purpose.
2:7|For the mystery of lawlessness is already at work; only the one now restraining it will continue until he is out of the way.|Retains the shift from neuter restraint to a personal restrainer without identifying either.
2:8|Then the lawless one will be revealed, whom the Lord Jesus will kill with the breath of his mouth and bring to nothing by the appearance of his coming.|Keeps lethal judgment, breath image and doubled manifestation language.
2:9|The lawless one's coming is in accordance with Satan's activity, with every kind of power, false signs and wonders,|Preserves the parallel coming and counterfeit power triad.
2:10|and with every wicked deception for those who are perishing, because they did not welcome the love of the truth so as to be saved.|Keeps culpable refusal and salvation purpose.
2:11|For this reason God sends them a powerful delusion, so that they believe the lie,|Retains divine agency in the difficult judgment claim.
2:12|so that all who did not believe the truth but delighted in unrighteousness may be judged.|Keeps both disbelief and moral delight as grounds.
2:13|But we ought always to thank God for you, brothers and sisters loved by the Lord, because God chose you as firstfruits for salvation through the Spirit's sanctifying work and faith in the truth.|Follows the pinned firstfruits reading and retains both means.
2:14|He called you to this through our good news, so that you may obtain the glory of our Lord Jesus Christ.|Keeps call, proclaimed means and glory as goal.
2:15|So then, brothers and sisters, stand firm and hold fast to the traditions you were taught, whether by our spoken word or by our letter.|Preserves stability, transmitted teaching and both media.
2:16|May our Lord Jesus Christ himself and God our Father, who loved us and by grace gave us eternal encouragement and good hope,|Keeps the compound subject and the two grace-gifts.
2:17|encourage your hearts and strengthen you in every good work and word.|Completes the blessing with inward encouragement and outward stability.
3:1|Finally, brothers and sisters, pray for us, that the Lord's word may run swiftly and be honored, just as it was among you,|Retains the running image and the Thessalonians as precedent.
3:2|and that we may be rescued from perverse and evil people, for not everyone has faith.|Keeps danger concrete and the explanatory wordplay on faithfulness/faith.
3:3|But the Lord is faithful; he will strengthen you and guard you from the evil one.|Preserves the contrast, stability and personal/impersonal ambiguity of evil.
3:4|We are confident in the Lord about you, that you are doing and will continue to do what we command.|Keeps present and future obedience under qualified confidence.
3:5|May the Lord direct your hearts into God's love and Christ's endurance.|Retains two ambiguous genitives rather than resolving whose love or endurance.
3:6|Now we command you, brothers and sisters, in the name of our Lord Jesus Christ, to keep away from every brother or sister who lives disorderly and not according to the tradition received from us.|Keeps strong authority, communal distance and the conduct standard.
3:7|For you yourselves know how you ought to imitate us: we were not disorderly among you,|Preserves appeal to example and repeated disorder language.
3:8|nor did we eat anyone's bread without paying. Instead, with labor and hardship we worked night and day so that we would not burden any of you.|Keeps payment, manual effort and reason.
3:9|It was not because we lack the right, but so that we might offer ourselves as an example for you to imitate.|Retains renounced authority and pedagogical purpose.
3:10|Even when we were with you, we gave you this command: “If anyone is unwilling to work, that person should not eat.”|Preserves unwillingness rather than inability and the quoted command.
3:11|For we hear that some among you live disorderly, not working at all but meddling in others' work.|Keeps the Greek wordplay between working and busy interference.
3:12|We command and urge such people in the Lord Jesus Christ to work quietly and eat their own bread.|Retains both authority and appeal, quiet labor and self-support.
3:13|But you, brothers and sisters, do not grow weary in doing good.|Keeps the contrasting communal encouragement.
3:14|If anyone does not obey our word in this letter, take note of that person and do not associate closely, so that the person may feel ashamed.|Preserves social discipline and its stated corrective aim.
3:15|Yet do not regard that person as an enemy, but warn them as a brother or sister.|Keeps the limit on discipline and familial identity.
3:16|Now may the Lord of peace himself give you peace at all times in every way. The Lord be with all of you.|Retains emphatic giver, exhaustive scope and inclusive presence.
3:17|I, Paul, write this greeting with my own hand. This is the sign in every letter; this is how I write.|Preserves autograph claim and authentication function.
3:18|The grace of our Lord Jesus Christ be with all of you.|Retains the final inclusive blessing.
