1:1|The beginning of the good news of Jesus Christ.|Follows the pinned opening without adding Son of God from the variant.
1:2|As it is written in Isaiah the prophet:\n“Look, I am sending my messenger ahead of you,\nwho will prepare your way.”|Preserves Isaiah attribution and the messenger’s preparatory role.
1:3|“A voice cries out in the wilderness:\n‘Prepare the Lord’s way;\nmake his paths straight.’”|Lineates the wilderness summons while keeping the road image.
1:4|John the baptizer appeared in the wilderness, proclaiming a baptism of repentance for the forgiveness of sins.|Preserves baptism, repentance, and forgiveness without making one relationship more explicit than the Greek.
1:5|People from all Judea and all Jerusalem went out to him. Confessing their sins, they were baptized by him in the Jordan River.|Keeps the sweeping geographical description and confession linked to baptism.
1:6|John wore camel-hair clothing with a leather belt around his waist, and he ate locusts and wild honey.|Preserves material, belt, and actual foods without symbolic substitution.
1:7|He proclaimed, “Someone stronger than I am is coming after me. I am not worthy to stoop down and untie his sandal straps.|Retains comparative strength and the lowly sandal action.
1:8|I have baptized you with water, but he will baptize you with the Holy Spirit.”|Preserves water/Spirit contrast without importing fire from other Gospels.
1:9|In those days Jesus came from Nazareth in Galilee and was baptized by John in the Jordan.|Retains origin, baptizer, and river.
1:10|As he came up out of the water, he immediately saw the heavens being torn open and the Spirit descending on him like a dove.|Preserves immediate perception, torn heavens, and simile rather than identifying the Spirit as a bird.
1:11|A voice came from heaven: “You are my beloved Son; I am well pleased with you.”|Keeps direct second-person address and divine delight.
1:12|At once the Spirit drove him into the wilderness.|Retains Mark’s forceful drove and urgency.
1:13|He was in the wilderness forty days, tempted by Satan. He was with the wild animals, and the angels served him.|Preserves duration, adversary, animals, and angelic service without adding three temptations.
1:14|After John was handed over, Jesus came into Galilee proclaiming God’s good news.|Keeps handed-over language and the pinned God’s-good-news form.
1:15|“The time is fulfilled,” he said. “The kingdom of God has drawn near. Repent and believe the good news.”|Preserves fulfilled time, nearness, and the two imperatives.
1:16|As he walked beside the Sea of Galilee, he saw Simon and Simon’s brother Andrew casting a net into the sea; they were fishermen.|Names the brothers clearly and retains their work as the setting.
1:17|Jesus said to them, “Come, follow me, and I will make you fishers of people.”|Preserves the occupational metaphor with an inclusive human referent.
1:18|At once they left their nets and followed him.|Retains the immediate response and abandoned equipment.
1:19|A little farther on, he saw James son of Zebedee and his brother John in their boat, putting their nets in order.|Renders net preparation without insisting on repair alone.
1:20|He called them at once. They left their father Zebedee in the boat with the hired workers and went after him.|Retains urgency and the hired workers who remain with the father.
1:21|They went into Capernaum. On the Sabbath he immediately began teaching in the synagogue.|Follows the pinned shorter reading without adding an entry verb absent here.
1:22|The people were astonished at his teaching, for he taught them with authority, unlike the scribes.|Preserves the explicit comparison without defining the scribes’ motives.
1:23|Just then a man with an unclean spirit was in their synagogue. He cried out,|Keeps the sudden interruption and the spirit’s description.
1:24|“What have you to do with us, Jesus of Nazareth? Have you come to destroy us? I know who you are—the Holy One of God!”|Preserves plural us, singular I, and the identifying title.
1:25|Jesus rebuked the spirit: “Be silent and come out of him!”|Keeps both commands and distinguishes the spirit from the man.
1:26|The unclean spirit convulsed the man and came out of him with a loud cry.|Preserves the physical convulsion and audible departure.
1:27|Everyone was amazed. They asked one another, “What is this? A new teaching with authority! He even commands unclean spirits, and they obey him.”|Connects authority to the crowd’s astonished interpretation.
1:28|News of him immediately spread everywhere throughout the surrounding region of Galilee.|Retains urgency and the geographical spread without enlarging it beyond the region.
1:29|As soon as they left the synagogue, they went to Simon and Andrew’s house with James and John.|Retains the plural departure in the pinned source and all named companions.
1:30|Simon’s mother-in-law was lying down with a fever. They told Jesus about her at once.|Clarifies the illness and recipient of the report.
1:31|He went to her, took her hand, and raised her up. The fever left her, and she began serving them.|Preserves touch, raising, healing, and her own subsequent action.
1:32|That evening, after sunset, they brought him everyone who was ill or afflicted by demons.|Retains both evening markers and distinguishes illness from demon affliction.
1:33|The whole town gathered at the door.|Preserves the narrator’s sweeping crowd description without a numerical gloss.
1:34|He healed many with various diseases and drove out many demons. He would not let the demons speak, because they knew him.|Retains many, varied illnesses, and the stated reason for silence.
1:35|Very early, while it was still dark, he got up and went out to a deserted place. There he prayed.|Preserves darkness, withdrawal, and prayer in clear sequence.
1:36|Simon and his companions went looking for him.|Keeps the active pursuit without adding hostility.
1:37|When they found him, they said, “Everyone is looking for you.”|Retains the disciples’ sweeping report as their speech.
1:38|He answered, “Let us go elsewhere, to the nearby towns, so I can proclaim the message there too. That is why I came out.”|Retains the purpose and ambiguous came-out expression rather than specifying a heavenly origin.
1:39|He went throughout Galilee, proclaiming the message in their synagogues and driving out demons.|Preserves the paired activities and regional scope.
1:40|A man with leprosy came to him, knelt, and pleaded, “If you are willing, you can make me clean.”|Keeps the appeal about willingness, not ability, and clean language.
1:41|Moved to anger, Jesus reached out his hand and touched him. “I am willing,” he said. “Be clean.”|Follows pinned anger without substituting the compassion variant or inventing an object for the anger.
1:42|At once the leprosy left him, and he was made clean.|Preserves immediate cleansing and the passive description.
1:43|Jesus sternly warned him and immediately sent him away.|Carries the force of the warning and dismissal without adding an emotional explanation.
1:44|“See that you tell no one anything,” he said. “Instead, go, show yourself to the priest, and offer what Moses commanded for your cleansing, as a testimony to them.”|Retains silence, priestly presentation, offering, and the open-ended testimony phrase.
1:45|But the man went out and began telling the news widely. As a result, Jesus could no longer enter a town openly. He stayed outside in deserted places, but people kept coming to him from everywhere.|Makes the cause and effect clear and distinguishes Jesus from the healed man.
2:1|A few days later, Jesus returned to Capernaum, and word spread that he was at home.|Renders the time interval and home idiom while recording the house alternative in a note.
2:2|So many gathered that there was no room left, not even at the door. He was speaking the message to them.|Preserves overcrowding and the continuing teaching.
2:3|Some people came bringing a paralyzed man, carried by four of them.|Retains four carriers without inventing friendship or their names.
2:4|Unable to bring him to Jesus because of the crowd, they opened the roof above him. They dug through it and lowered the mat on which the paralyzed man lay.|Preserves both roof opening and digging without imposing a modern roof structure.
2:5|Seeing their faith, Jesus said to the paralyzed man, “Child, your sins are forgiven.”|Retains their faith and the passive forgiveness declaration.
2:6|Some scribes were sitting there, reasoning within themselves,|Preserves the internal rather than spoken objection.
2:7|“Why does this man speak like this? He is blaspheming! Who can forgive sins but God alone?”|Keeps blasphemy as their charge and the question about authority.
2:8|Jesus immediately recognized in his spirit what they were thinking. He asked them, “Why are you reasoning like this in your hearts?|Preserves spirit and hearts rather than adding a theory of perception.
2:9|Which is easier: to tell the paralyzed man, ‘Your sins are forgiven,’ or to say, ‘Get up, take your mat, and walk’?|Keeps the contrast between two spoken commands rather than reframing which deed is easier.
2:10|But so that you may know the Son of Man has authority on earth to forgive sins”—he said to the paralyzed man,|Preserves the interrupted speech and the narrator’s change of addressee.
2:11|“I tell you, get up, take your mat, and go home.”|Retains the three commands and direct address.
2:12|He got up, immediately picked up his mat, and walked out in front of everyone. They were all amazed and glorified God, saying, “We have never seen anything like this!”|Preserves immediate visible response and communal praise.
2:13|Jesus went out beside the sea again. The whole crowd came to him, and he taught them.|Keeps the return to the shore and ongoing teaching.
2:14|As he passed by, he saw Levi son of Alphaeus sitting at the tax booth. “Follow me,” he said. Levi got up and followed him.|Names the responder without identifying him as Matthew from another Gospel.
2:15|As Jesus reclined at the table in Levi’s house, many tax collectors and sinners ate with him and his disciples, for many were following him.|Chooses Levi as the house’s owner with the pronoun ambiguity recorded in a note.
2:16|When the scribes of the Pharisees saw him eating with sinners and tax collectors, they asked his disciples, “Why does he eat with tax collectors and sinners?”|Follows scribes of the Pharisees rather than treating them as two separate groups.
2:17|Jesus heard this and said, “Healthy people do not need a doctor; sick people do. I did not come to call the righteous, but sinners.”|Preserves the doctor analogy and omits to-repentance absent from this source.
2:18|John’s disciples and the Pharisees were fasting. People came and asked Jesus, “Why do John’s disciples and the Pharisees’ disciples fast, but yours do not?”|Keeps the questioners unspecified and preserves the contrasted groups.
2:19|Jesus answered, “Can the wedding guests fast while the bridegroom is with them? As long as they have the bridegroom with them, they cannot fast.|Renders sons-of-the-wedding-chamber idiom naturally and retains the repetition.
2:20|But the days will come when the bridegroom is taken away from them. Then, on that day, they will fast.|Preserves taken-away passive and the shift from days to that day.
2:21|“No one sews a patch of unshrunk cloth onto an old garment. Otherwise the new patch pulls away from the old cloth, and the tear becomes worse.|Makes the contrasting materials and resulting damage clear without replacing the image with an application.
2:22|And no one puts new wine into old wineskins. Otherwise the wine bursts the skins, and both the wine and the skins are ruined. New wine belongs in fresh wineskins.”|Preserves both losses and supplies belongs for the final elliptical instruction.
2:23|One Sabbath Jesus was passing through grainfields. As his disciples made their way along, they began plucking heads of grain.|Preserves walking and plucking without adding an explicit eating verb absent here.
2:24|The Pharisees said to him, “Look! Why are they doing what is not lawful on the Sabbath?”|Keeps the legal accusation in the speakers’ question.
2:25|He answered, “Have you never read what David did when he and his companions were hungry and in need?|Retains the appeal to reading and the shared need.
2:26|He entered God’s house in the time of Abiathar the high priest and ate the bread of the Presence, which only priests may lawfully eat. He also gave some to those with him.”|Preserves Abiathar rather than silently reconciling the name with Samuel.
2:27|Then he told them, “The Sabbath was made for humanity, not humanity for the Sabbath.|Renders the generic human referent inclusively and retains the reversal.
2:28|So the Son of Man is lord even of the Sabbath.”|Preserves the title and even-Sabbath conclusion.
3:1|Jesus entered a synagogue again. A man with a withered hand was there.|Preserves the return and specific bodily condition.
3:2|They watched Jesus closely to see whether he would heal the man on the Sabbath, so they could accuse him.|Keeps the watchers unnamed here and makes their stated purpose clear.
3:3|He told the man with the withered hand, “Stand up here in the middle.”|Preserves the public placement before the challenge.
3:4|Then he asked them, “Is it lawful on the Sabbath to do good or to do harm, to save a life or to kill?” But they remained silent.|Retains both ethical contrasts and the silence.
3:5|He looked around at them in anger, grieved by their hardened hearts. He told the man, “Stretch out your hand.” He stretched it out, and his hand was restored.|Preserves anger and grief together, followed by command and restoration.
3:6|The Pharisees went out and immediately began plotting with the Herodians how to destroy him.|Retains urgency, alliance, and lethal intent.
3:7|Jesus withdrew to the sea with his disciples, and a large crowd from Galilee followed. People also came from Judea,|Keeps the first geographical group and allows the list to cross the verse boundary.
3:8|Jerusalem, Idumea, beyond the Jordan, and the area around Tyre and Sidon. Hearing all he was doing, a great crowd came to him.|Preserves all listed regions and the reason for coming.
3:9|Because of the crowd, he told his disciples to keep a small boat ready for him so that people would not crush him.|Makes the boat’s protective purpose explicit from the source.
3:10|He had healed many, so everyone with an affliction pressed toward him to touch him.|Preserves the crowd’s physical pressure and motive.
3:11|Whenever the unclean spirits saw him, they fell before him and cried out, “You are the Son of God!”|Preserves recurring recognition and the explicit title.
3:12|He sternly ordered them not to make him known.|Retains the strong prohibition without explaining its motive.
