27:1|Job continued his discourse:|Retains renewed discourse without assigning a different speaker.
27:2|“As God lives, who has denied me justice,\nand the Almighty, who has made my soul bitter,|Keeps the oath addressed through accusation, not softened piety.
27:3|as long as breath remains in me\nand God’s breath is in my nostrils,|Preserves paired breath images grounding the oath in life.
27:4|my lips will speak no injustice,\nand my tongue will utter no deceit.|Makes the oath’s negative force natural and direct.
27:5|I will never admit that you are right!\nUntil I die, I will not let go of my integrity.|Connects refusal to vindicate the friends with integrity.
27:6|I hold firmly to my righteousness and will not release it;\nmy heart reproaches me for none of my days.|Keeps conscience and lifetime claim within Job’s speech.
27:7|Let my enemy fare like the wicked,\nand anyone who rises against me like the unjust.|Preserves the wish against opponents, not a generic prediction.
27:8|What hope has the godless when he is cut off,\nwhen God takes away his life?|Selects cutting-off sense; gain alternative belongs in note.
27:9|Will God hear his cry\nwhen trouble comes upon him?|Keeps rhetorical question and impending distress.
27:10|Will he delight in the Almighty\nand call on God at all times?|Preserves delight alongside sustained appeal.
27:11|I will teach you about God’s hand;\nI will not conceal what is with the Almighty.|Retains hand image and Job’s claimed knowledge.
27:12|You have all seen this yourselves.\nWhy, then, do you keep talking such emptiness?|Makes emphatic empty speech intelligible without removing rebuke.
27:13|This is the wicked person’s portion from God,\nthe inheritance the ruthless receive from the Almighty:|Keeps received speaker and inheritance formula despite tension.
27:14|however many his children, they are destined for the sword;\nhis descendants will not have enough bread.|Preserves children’s violent fate and hunger as Job’s claim.
27:15|Those who survive him will be buried by death,\nand his widows will not weep.|Follows read plural survivors; retains personified death.
27:16|Though he heaps up silver like dust\nand piles up clothing like clay,|Keeps paired accumulated wealth and earth imagery.
27:17|he may pile it up, but the righteous will wear it;\nthe innocent will divide the silver.|Connects repeated piling with reversal of ownership.
27:18|He builds his house like a moth’s,\nlike a shelter a watchman makes.|Retains fragile moth house rather than substituting nest.
27:19|He lies down wealthy, but will not be gathered;\nhe opens his eyes, and it is gone.|Retains difficult gathered wording with alternative in note.
27:20|Terrors overtake him like a flood;\na storm carries him off in the night.|Unfolds water and night-storm images naturally.
27:21|The east wind lifts him away, and he is gone;\nit sweeps him out of his place.|Keeps east wind and forcible displacement.
27:22|It hurls itself at him without pity;\nhe struggles to flee its grasp.|Continues wind as subject; divine subject remains possible.
27:23|It claps its hands at him\nand whistles him out of his place.|Retains personification and dismissive hissing image.
28:1|There is a place where silver is mined,\nand a place where gold is refined.|Opens mining poem without adding a speaker change.
28:2|Iron is taken from the earth,\nand copper is smelted from stone.|Preserves distinct metals and extraction processes.
28:3|People put an end to darkness;\nthey search to the farthest depths\nfor stone in gloom and deep shadow.|Names human agents implicit in mining sequence.
28:4|They cut a shaft far from inhabited places;\nforgotten by passing feet,\nthey hang and sway far from other people.|Renders difficult mining scene with hanging workers intact.
28:5|The earth brings forth bread,\nbut beneath it things are overturned as by fire.|Keeps contrast of surface nourishment and underground disruption.
28:6|Its stones hold lapis lazuli,\nand its dust contains gold.|Uses conventional ancient blue-stone identification with uncertainty noted.
28:7|No bird of prey knows that path;\nthe falcon’s eye has never seen it.|Preserves exceptional human access beyond sharp avian sight.
28:8|Proud beasts have not trodden it;\nno lion has passed over it.|Retains paired beast images rather than explaining away.
28:9|People lay hands on flint\nand overturn mountains at their roots.|Makes miner’s agency audible while retaining vast image.
28:10|They cut channels through the rocks;\ntheir eyes discover every precious thing.|Retains cutting and seeing as linked mining actions.
28:11|They stop up streams at their sources\nand bring hidden things into the light.|Selects source/seepage sense of difficult weeping-stream phrase.
28:12|But where can wisdom be found?\nWhere is the home of understanding?|Introduces recurring question with accessible home image.
