7:1|The high priest asked, “Are these things true?”|Preserves the judicial speaker and direct question.
7:2|Stephen replied, “Brothers and fathers, listen. The God of glory appeared to our ancestor Abraham while he was in Mesopotamia, before he lived in Haran,|Names Stephen for clarity and keeps the ancestral address, divine title, location, and timing.
7:3|and said to him, ‘Leave your land and your relatives, and go to the land I will show you.’|Retains the twofold departure and the still-unknown destination.
7:4|Then Abraham left the land of the Chaldeans and lived in Haran. After his father died, God moved him from there to this land where you now live.|Makes God the clear subject of the move while preserving sequence and audience connection.
7:5|God gave him no inheritance in it—not even enough ground to set his foot on—but promised to give it to him as a possession and to his descendants after him, though Abraham had no child.|Keeps the vivid footprint idiom, promise, descendants, and childlessness.
7:6|God spoke of it this way: ‘His descendants will live as strangers in a foreign land, and its people will enslave and mistreat them for four hundred years.|Preserves foreign residence, enslavement, harm, and exact duration.
7:7|But I will judge the nation they serve,’ God said, ‘and afterward they will come out and worship me in this place.’|Keeps divine judgment, exodus, and worship destination.
7:8|Then God gave Abraham the covenant of circumcision. So Abraham fathered Isaac and circumcised him on the eighth day; Isaac fathered Jacob, and Jacob the twelve patriarchs.|Preserves covenant, genealogy, and eighth-day timing.
7:9|“The patriarchs were jealous of Joseph and sold him into Egypt. But God was with him|Keeps jealousy, sale, destination, and divine presence.
7:10|and rescued him from all his troubles. God gave him favor and wisdom before Pharaoh, king of Egypt, who appointed him ruler over Egypt and his whole household.|Retains rescue, favor, wisdom, royal title, and both spheres of rule.
7:11|Then a famine came over all Egypt and Canaan, bringing great suffering, and our ancestors could find no food.|Preserves geography, distress, and lack of sustenance.
7:12|When Jacob heard that there was grain in Egypt, he sent our ancestors there on their first visit.|Keeps the report, sender, destination, and first journey.
7:13|On their second visit, Joseph made himself known to his brothers, and Pharaoh learned about Joseph’s family.|Preserves recognition, kinship, and disclosure to Pharaoh.
7:14|Then Joseph sent for his father Jacob and his whole family, seventy-five people in all.|Retains the Greek total of seventy-five without harmonizing it.
7:15|So Jacob went down to Egypt, where he and our ancestors died.|Keeps the descent and deaths concise.
7:16|Their bodies were brought back to Shechem and placed in the tomb Abraham had bought for a sum of silver from the sons of Hamor in Shechem.|Preserves Stephen’s own compressed account without harmonizing narrative tensions.
7:17|“As the time approached for God to fulfill the promise he had made to Abraham, the people grew and multiplied in Egypt.|Makes fulfillment explicit while retaining growth and location.
7:18|Then another king rose to power over Egypt who knew nothing about Joseph.|Preserves the political transition and ignorance of Joseph.
7:19|He dealt treacherously with our people and mistreated our ancestors, forcing them to abandon their infants so they would not survive.|Names the coercion and lethal harm without softening it.
7:20|At that time Moses was born, and he was beautiful in God’s sight. For three months he was cared for in his father’s house.|Retains divine evaluation and exact period of family care.
7:21|When he was abandoned, Pharaoh’s daughter took him in and raised him as her own son.|Preserves exposure, rescue, and adoption.
7:22|Moses was educated in all the wisdom of the Egyptians and was powerful in his words and actions.|Keeps comprehensive education and paired speech and action.
7:23|When he was forty years old, it came into his heart to visit his own people, the Israelites.|Preserves exact age, inward resolve, kinship, and identity.
7:24|When he saw one of them being wronged, he defended the oppressed man and avenged him by striking down the Egyptian.|Retains injustice, defense, and killing plainly.
7:25|He thought his own people would understand that God was giving them deliverance through him, but they did not understand.|Keeps Moses’ expectation, divine agency, and failed recognition.
7:26|The next day he came upon two Israelites fighting and tried to reconcile them. He said, ‘Men, you are brothers. Why are you wronging each other?’|Clarifies the parties and preserves the appeal to kinship and peace.
7:27|But the man who was wronging his neighbor pushed Moses away and said, ‘Who made you a ruler and judge over us?|Keeps the aggressor, rejection, and challenge to authority.
7:28|Do you want to kill me as you killed the Egyptian yesterday?’|Preserves the explicit accusation and timing.
7:29|At this remark Moses fled and lived as a foreigner in the land of Midian, where he became the father of two sons.|Keeps causal flight, foreign residence, location, and sons.
7:30|“After forty years had passed, an angel appeared to him in the wilderness near Mount Sinai, in the flame of a burning bush.|Preserves exact duration, setting, angel, and fire image.
7:31|When Moses saw it, he marveled at the sight. As he approached for a closer look, the Lord’s voice came:|Keeps wonder, movement, purpose, and speaker.
7:32|‘I am the God of your ancestors—the God of Abraham, Isaac, and Jacob.’ Moses began to tremble and did not dare look.|Preserves ancestral identification, three names, fear, and restraint.
7:33|Then the Lord told him, ‘Take the sandals off your feet, because the place where you are standing is holy ground.|Keeps the command, embodied action, and holy-ground image.
7:34|I have surely seen the mistreatment of my people in Egypt. I have heard their groaning, and I have come down to rescue them. Now come—I will send you to Egypt.’|Retains divine seeing, hearing, descent, rescue, and commission.
7:35|“This Moses, whom they rejected by saying, ‘Who made you a ruler and judge?’ is the very one God sent as both ruler and redeemer through the angel who appeared to him in the bush.|Preserves the rejection-and-commission reversal and the title redeemer.
7:36|He led them out, performing wonders and signs in Egypt, at the Red Sea, and in the wilderness for forty years.|Keeps agent, three locations, miracles, and duration.
7:37|This is the Moses who told the Israelites, ‘God will raise up for you a prophet like me from among your own people.’|Retains speaker, audience, divine action, and kinship.
7:38|He is the one who was in the assembly in the wilderness with the angel who spoke to him at Mount Sinai and with our ancestors. He received living words to give to us.|Preserves assembly, angel, ancestors, Sinai, and living-oracles image.
7:39|But our ancestors refused to obey him. They rejected him and in their hearts turned back to Egypt.|Keeps refusal, rejection, and inward return.
7:40|They told Aaron, ‘Make gods for us who will go before us. As for this Moses who led us out of the land of Egypt, we do not know what has happened to him.’|Preserves demand, contemptuous reference, exodus, and uncertainty.
7:41|In those days they made a calf, offered sacrifice to the idol, and celebrated what their own hands had made.|Retains idol, sacrifice, and irony of handmade worship.
7:42|So God turned away and gave them over to worship the host of heaven, as it is written in the book of the prophets: ‘House of Israel, was it to me that you offered slaughtered animals and sacrifices for forty years in the wilderness?|Keeps divine response, celestial-army image, citation frame, question, and duration.
7:43|You carried the tent of Moloch and the star of your god Rephan, the images you made to worship. Therefore I will send you into exile beyond Babylon.’|Preserves divine names, manufactured images, worship, and exile.
7:44|“Our ancestors had the tent of testimony in the wilderness. It was made as God directed Moses, according to the pattern he had seen.|Keeps technical tent name, command, maker, and heavenly pattern.
