1:1|Happy is the person\nwho does not walk by the counsel of the wicked,\nstand in the path of sinners,\nor sit among scoffers,|Preserves walking-standing-sitting progression and inclusive human referent.
1:2|but delights in the LORD’s instruction\nand murmurs it over day and night.|Retains vocal meditation and recurring instruction term.
1:3|That person is like a tree planted beside streams of water,\nbearing fruit in season,\nits leaves never withering.\nWhatever that person does flourishes.|Keeps planted tree, seasons, and flourishing image.
1:4|The wicked are not like this;\nthey are chaff the wind drives away.|Preserves sharp contrast and weightless agricultural image.
1:5|So the wicked will not stand in judgment,\nnor sinners in the assembly of the righteous.|Keeps standing echo and communal judgment.
1:6|For the LORD knows the way of the righteous,\nbut the way of the wicked comes to ruin.|Retains relational knowing and two ways.
2:1|Why do the nations rage\nand the peoples plot emptiness?|Keeps turmoil and vain deliberation echoing meditation.
2:2|The kings of the earth take their stand;\nrulers gather together\nagainst the LORD and his anointed one:|Preserves royal opposition and anointed title.
2:3|“Let us tear apart their bonds\nand throw their cords off us!”|Marks rebellious rulers’ direct speech.
2:4|The one enthroned in heaven laughs;\nthe Lord holds them in derision.|Retains divine laughter and Adonai distinction.
2:5|Then he speaks to them in anger\nand terrifies them in his fury:|Keeps divine anger without softening.
2:6|“I myself have installed my king\non Zion, my holy mountain.”|Makes divine king-installing voice explicit.
2:7|I will declare the decree:\nthe LORD said to me, “You are my son;\ntoday I have begotten you.|Preserves royal speaker and begetting language.
2:8|Ask of me, and I will give you nations as your inheritance,\nthe ends of the earth as your possession.|Keeps expansive inheritance promise.
2:9|You will break them with an iron rod,\nshatter them like a potter’s vessel.”|Follows pointed break reading and violent pottery image.
2:10|Now, kings, be wise;\nrulers of the earth, accept correction.|Retains admonition to political rulers.
2:11|Serve the LORD with reverence;\nrejoice with trembling.|Keeps joy and fear together.
2:12|Kiss the son, lest he grow angry\nand you perish on the way,\nfor his anger can flare in a moment.\nHappy are all who take refuge in him.|Retains difficult kiss-son reading with alternatives in note.
3:1|A psalm of David, when he fled from his son Absalom.\nLORD, how many are my foes!\nSo many rise against me.|Binds separate Hebrew title and first prayer in public verse1.
3:2|So many say of me,\n“There is no rescue for him in God.” Selah|Preserves enemies’ denial and unexpanded Selah.
3:3|But you, LORD, are a shield around me,\nmy glory, the one who lifts my head.|Keeps protective shield and restored posture.
