1:1|This happened in the days of Ahasuerus, the Ahasuerus who ruled over 127 provinces, from India to Cush.|Retain the identification formula and the full territorial span and province count without silently replacing the royal name with Xerxes.
1:2|In those days, King Ahasuerus ruled from his royal throne in the citadel of Susa.|Distinguish the fortified royal center from the surrounding city while keeping the throne image.
1:3|In the third year of his reign, he held a banquet for all his officials and attendants. The army of Persia and Media, the nobles, and the provincial officials were there before him.|Unfold the assembled groups in readable clauses; the military establishment remains distinct from provincial officials.
1:4|For 180 days he displayed the riches of his glorious kingdom and the splendor of his great majesty.|Keep the extravagant duration and paired descriptions rather than reducing them to a generic royal celebration.
1:5|When those days were over, the king held a seven-day banquet in the garden courtyard of the royal palace for everyone present in the citadel of Susa, from the greatest to the least.|Distinguish the second banquet and its wider guests from the preceding display.
1:6|White cotton and blue-violet hangings were fastened with cords of fine linen and purple wool to silver rings and marble pillars. Gold and silver couches stood on a pavement of alabaster, marble, mother-of-pearl, and colored stone.|Render the sumptuous materials concretely, with a note qualifying the uncertain names of the paving materials.
1:7|Drinks were served in gold vessels, each different from the next. The royal wine flowed freely, as generously as only a king could provide.|Preserve differing vessels and royal abundance, recasting the idiom of the king's hand as provision.
1:8|The rule for drinking was that no one was to be compelled. The king had instructed every official of his household to let each man do as he wished.|Keep the explicit absence of compulsion in this particular rule, without extending it to the court's other practices.
1:9|Queen Vashti also held a banquet for the women in King Ahasuerus's royal palace.|Preserve the parallel banquet and separate group of guests.
1:10|On the seventh day, when the king was cheerful with wine, he gave an order to Mehuman, Biztha, Harbona, Bigtha, Abagtha, Zethar, and Carcas—the seven eunuchs who attended King Ahasuerus.|Name all seven attendants and retain wine's effect without specifying an unstated degree of intoxication.
1:11|They were to bring Queen Vashti before the king wearing her royal crown, to show the peoples and officials her beauty, for she was beautiful to look at.|Preserve the command and its objectifying purpose; do not add the unsupported claim that she was to appear naked.
1:12|But Queen Vashti refused to come at the king's command delivered by the eunuchs. The king became furious, and anger burned within him.|State her refusal without inventing her motive; retain the burning image for his response.
1:13|The king consulted the wise men who understood the times, for it was his practice to bring such matters before those who knew law and judgment.|Keep the experts' description open rather than narrowing it to astrology or modern legal practice.
1:14|Those closest to him were Carshena, Shethar, Admatha, Tarshish, Meres, Marsena, and Memucan. These seven officials of Persia and Media had access to the king and held the highest rank in the kingdom.|Explain seeing the king's face as access while preserving all seven names and their rank.
1:15|“According to the law, what should be done to Queen Vashti?” he asked. “She has not carried out King Ahasuerus's command delivered by the eunuchs.”|Make the question's speaker clear and retain the royal third-person self-reference within his speech.
1:16|Memucan answered in the presence of the king and the officials, “Queen Vashti has wronged more than the king. She has wronged all the officials and all the peoples throughout King Ahasuerus's provinces.|Keep the sweeping accusation explicitly in Memucan's voice rather than making it the narrator's judgment.
1:17|For the queen's conduct will become known to all the women, and they will look down on their husbands. They will say, ‘King Ahasuerus ordered Queen Vashti brought before him, but she did not come.’|Preserve the advisor's predicted chain of imitation and the quoted refusal.
1:18|This very day, the noblewomen of Persia and Media who have heard what the queen did will speak the same way to all the king's officials. There will be contempt and anger enough!|Retain the immediate alarm and emphatic sufficiency idiom without treating the prediction as established fact.
1:19|If it pleases the king, let him issue a royal decree, and let it be written into the laws of Persia and Media so that it cannot be revoked: Vashti must never again come before King Ahasuerus. Let the king give her royal position to another woman, someone better than she is.|Keep the proposed legal permanence, exclusion, and comparative judgment within the advisor's recommendation.
1:20|When the king's decree is heard throughout his vast kingdom, all the women will honor their husbands, from the greatest to the least.”|Preserve the empire-wide promise of domestic obedience as the conclusion of the speech.
1:21|The king and his officials liked this advice, and the king did as Memucan proposed.|Keep approval and implementation distinct but concise.
1:22|He sent letters to every royal province, to each province in its own script and to each people in its own language: every man was to rule his own household and speak the language of his own people.|Retain both script and language and the difficult final domestic-language clause; qualify its relation to the decree in a note.
2:1|Later, when King Ahasuerus's anger had subsided, he remembered Vashti, what she had done, and what had been decreed against her.|Avoid inventing regret or renewed affection where the source says remembered.
2:2|The king's young attendants said, “Let beautiful young virgins be sought for the king.|Preserve the court's specified category and passive recruitment proposal without calling it a voluntary contest.
2:3|Let the king appoint officers in every province of his kingdom to gather all the beautiful young virgins into the women's quarters in the citadel of Susa. Put them in the care of Hegai, the king's eunuch who guards the women, and give them beauty treatments.|Make the imposed gathering and custody clear, using the recurring reading name Hegai consistently.
2:4|Then let the young woman who pleases the king become queen in Vashti's place.” The king liked the proposal and acted on it.|Retain royal pleasure as the stated criterion rather than recasting selection as achievement.
2:5|There was a Jewish man in the citadel of Susa named Mordecai, son of Jair, son of Shimei, son of Kish, a Benjaminite,|Preserve the ancestry and leave the sentence connected to the following relative clause.
2:6|who had been taken into exile from Jerusalem with the captives deported with King Jeconiah of Judah, whom King Nebuchadnezzar of Babylon had taken into exile.|Keep the relative clause's consequential ambiguity about its antecedent; explain the issue in a note rather than choosing an unexpressed family subject.
