1:1|Paul, an apostle of Christ Jesus by God's will, to the saints who are [in Ephesus] and faithful in Christ Jesus:|Retains the bracketed place-name uncertainty in the pinned Greek.
1:2|Grace to you and peace from God our Father and the Lord Jesus Christ.|Keeps the paired greeting and both sources.
1:3|Blessed be the God and Father of our Lord Jesus Christ, who has blessed us in Christ with every spiritual blessing in the heavenly realms.|Preserves repeated blessing and heavenly location.
1:4|For he chose us in Christ before the foundation of the world to be holy and blameless before him in love.|Keeps divine choice, time, purpose, and love's possible attachment.
1:5|He predestined us for adoption as sons through Jesus Christ to himself, according to the good pleasure of his will,|Preserves divine purpose and gendered inheritance status.
1:6|to the praise of his glorious grace, which he freely bestowed on us in the Beloved.|Keeps praise, grace wordplay, and Christ's title.
1:7|In him we have redemption through his blood, the forgiveness of trespasses, according to the wealth of his grace|Preserves costly release, forgiveness, and abundance.
1:8|that he lavished on us, with all wisdom and understanding.|Keeps overflowing grace and its manner/context.
1:9|He made known to us the mystery of his will, according to his good pleasure that he purposed in Christ,|Preserves revealed purpose and mystery language.
1:10|for an administration at the fullness of the times: to bring together all things in Christ, things in the heavens and things on earth—in him.|Keeps timing, administrative image, and cosmic scope.
1:11|In him we also received an inheritance, having been predestined according to the purpose of the one who works all things according to the counsel of his will,|Preserves inheritance/passive-lot range and comprehensive purpose.
1:12|so that we, who were the first to hope in Christ, might live for the praise of his glory.|Keeps temporal priority and purpose.
1:13|In him you also, when you heard the word of truth, the gospel of your salvation, and believed in him, were sealed with the promised Holy Spirit.|Preserves hearing, believing, sealing, and the Spirit's title.
1:14|The Spirit is the down payment of our inheritance until the redemption of God's possession, to the praise of his glory.|Keeps pledge, inheritance, possession, and praise.
1:15|For this reason, because I have heard of your faith in the Lord Jesus and your love for all the saints,|Preserves report, faith, and variant-marked love.
1:16|I do not stop giving thanks for you as I remember you in my prayers.|Keeps continual thanksgiving and remembrance.
1:17|I pray that the God of our Lord Jesus Christ, the Father of glory, may give you a spirit of wisdom and revelation in knowing him.|Preserves divine titles and requested knowledge.
1:18|May the eyes of your heart be enlightened so that you may know the hope of his calling, the wealth of his glorious inheritance among the saints,|Keeps bodily metaphor, hope, wealth, and communal setting.
1:19|and the surpassing greatness of his power toward us who believe, according to the working of his mighty strength.|Preserves stacked power terms and believing recipients.
1:20|God exercised this power in Christ when he raised him from the dead and seated him at his right hand in the heavenly realms,|Keeps resurrection, enthronement, and location.
1:21|far above every ruler, authority, power, and dominion, and every name that is named, not only in this age but also in the age to come.|Preserves complete power list and both ages.
1:22|He subjected everything under Christ's feet and gave him as head over everything to the church,|Keeps subjection, body image, and gift to church.
1:23|which is his body, the fullness of the one who fills all things in every way.|Preserves dense fullness/filling wordplay.
2:1|And you were dead in your trespasses and sins,|Keeps the unfinished opening and death metaphor.
2:2|in which you once walked according to the age of this world, according to the ruler of the power of the air, the spirit now working in the children of disobedience.|Preserves former walk, cosmic ruler, air, and active spirit.
2:3|All of us also once lived among them in the desires of our flesh, doing what the flesh and our thoughts willed, and we were by nature children of wrath like the rest.|Keeps inclusive confession, desires, mind, and wrath idiom.
2:4|But God, being rich in mercy, because of the great love with which he loved us,|Preserves divine contrast and love repetition.
2:5|even when we were dead in trespasses, made us alive together with Christ—by grace you have been saved—|Keeps co-life, interruption, and completed salvation.
2:6|and raised us together and seated us together in the heavenly realms in Christ Jesus,|Preserves both co- verbs and location.
2:7|so that in the coming ages he might demonstrate the surpassing wealth of his grace in kindness toward us in Christ Jesus.|Keeps future display, abundance, and kindness.
2:8|For by grace you have been saved through faith, and this is not from yourselves; it is God's gift,|Preserves grace, faith, denial of self-source, and gift.
2:9|not from works, so that no one may boast.|Keeps the concise exclusion and purpose.
2:10|For we are his workmanship, created in Christ Jesus for good works, which God prepared beforehand so that we would walk in them.|Preserves creation, prepared works, and walking image.
2:11|Therefore remember that formerly you, Gentiles in the flesh—called “uncircumcision” by what is called “circumcision,” performed in the flesh by human hands—|Keeps ethnic/bodily labels and their human construction.
2:12|remember that at that time you were without Christ, alienated from the citizenship of Israel and strangers to the covenants of promise, having no hope and without God in the world.|Preserves the full fivefold estrangement.
2:13|But now in Christ Jesus, you who once were far away have been brought near by Christ's blood.|Keeps spatial reversal and costly means.
2:14|For he himself is our peace. He made the two one and in his flesh tore down the dividing wall, the hostility.|Preserves Christ as peace, two-to-one, wall, body, and hostility.
2:15|He nullified the law of commandments in decrees so that in himself he might create the two into one new humanity, making peace,|Keeps legal action, creation, two-to-one, and peace.
2:16|and reconcile both to God in one body through the cross, killing the hostility through it.|Preserves both groups, body, cross, and violent end of hostility.
2:17|He came and proclaimed peace to you who were far away and peace to those who were near,|Keeps repeated peace and distance groups.
2:18|because through him both groups have access in one Spirit to the Father.|Preserves mediation, both, unity, and destination.
2:19|So then, you are no longer strangers and resident foreigners, but fellow citizens with the saints and members of God's household.|Keeps political and household status reversal.
2:20|You have been built on the foundation of the apostles and prophets, Christ Jesus himself being the cornerstone.|Preserves construction and foundation roles.
2:21|In him the whole building, joined together, grows into a holy temple in the Lord.|Keeps organic growth and temple image.
2:22|And in him you also are being built together into a dwelling place for God in the Spirit.|Preserves ongoing communal construction and divine dwelling.
3:1|For this reason I, Paul, the prisoner of Christ Jesus for the sake of you Gentiles—|Keeps interrupted sentence and Paul's re-description of imprisonment.
3:2|surely you have heard about the stewardship of God's grace that was given to me for you,|Preserves conditional tone, entrusted administration, and recipients.
3:3|that by revelation the mystery was made known to me, as I wrote briefly before.|Keeps revelation, mystery, and prior writing.
3:4|When you read this, you can understand my insight into the mystery of Christ,|Preserves reader access and object of insight.
