18:1|After saying these things, Jesus went out with his disciples across the Kidron ravine, where there was a garden. He and his disciples entered it.|Preserves sequence, companions, crossing, named ravine, garden, and shared entry.
18:2|Judas, who was betraying him, also knew the place, because Jesus had often gathered there with his disciples.|Keeps Judas’s role, knowledge, and reason.
18:3|So Judas brought a cohort of soldiers and officers from the chief priests and Pharisees, and came there with lanterns, torches, and weapons.|Preserves the armed group, its sponsors, lights, and weapons.
18:4|Jesus, knowing everything that was about to happen to him, stepped forward and asked them, “Whom are you looking for?”|Keeps Jesus’ knowledge, initiative, movement, and question.
18:5|They answered him, “Jesus the Nazarene.” He told them, “I am he.” Judas, who was betraying him, was standing with them.|Preserves the identification, absolute wording’s ordinary force, and Judas’s position.
18:6|When Jesus told them, “I am he,” they drew back and fell to the ground.|Keeps the repeated declaration and physical reaction.
18:7|So he asked them again, “Whom are you looking for?” They answered, “Jesus the Nazarene.”|Preserves repeated question and answer.
18:8|Jesus replied, “I told you that I am he. So if you are looking for me, let these men go.”|Keeps self-identification, condition, and protection of the disciples.
18:9|This happened so that the word he had spoken would be fulfilled: “I did not lose one of those you gave me.”|Preserves narrator’s fulfillment connection and quotation.
18:10|Then Simon Peter, who had a sword, drew it and struck the high priest’s slave, cutting off his right ear. The slave’s name was Malchus.|Keeps Peter, weapon, violence, body side, status, and name.
18:11|Jesus told Peter, “Put the sword into its sheath. Should I not drink the cup the Father has given me?”|Preserves command, sword and sheath, cup image, Father, and rhetorical question.
18:12|Then the cohort, its commander, and the Judean leaders’ officers arrested Jesus and bound him.|Keeps all arresting parties, seizure, and binding while identifying the officers’ leadership context.
18:13|They took him first to Annas, because he was the father-in-law of Caiaphas, who was high priest that year.|Preserves first destination and family and office explanation.
18:14|Caiaphas was the one who had advised the Judean leaders that it was better for one man to die for the people.|Keeps the retrospective identification and political counsel.
18:15|Simon Peter and another disciple followed Jesus. That disciple was known to the high priest, so he went with Jesus into the high priest’s courtyard.|Preserves both followers and the other disciple’s access and reason.
18:16|Peter remained outside by the gate. So the other disciple, who was known to the high priest, went out, spoke to the gatekeeper, and brought Peter in.|Keeps Peter’s location and the access sequence; the gatekeeper is female in the next verse.
18:17|The servant girl who kept the gate asked Peter, “You are not one of this man’s disciples too, are you?” He answered, “I am not.”|Preserves her role and gender, loaded question, and first denial.
18:18|The slaves and officers had made a charcoal fire because it was cold, and they were standing around warming themselves. Peter was also standing with them, warming himself.|Keeps weather, charcoal fire, group, Peter’s location, and repetition.
18:19|Meanwhile, the high priest questioned Jesus about his disciples and his teaching.|Preserves both subjects of the interrogation.
18:20|Jesus answered him, “I have spoken openly to the world. I always taught in a synagogue and in the temple courts, where all the Jewish people gather. I said nothing in secret.|Keeps public speech, teaching locations, Jewish setting, and denial of secret doctrine.
