1:1|Paul, a slave of God and an apostle of Jesus Christ, for the faith of God's chosen people and their knowledge of the truth that accords with godliness,|Keeps slave and apostle identities and their stated purpose.
1:2|in the hope of eternal life, which God, who does not lie, promised before eternal times|Preserves hope, divine truthfulness and pretemporal promise.
1:3|and revealed at the proper time in his word through the proclamation entrusted to me by the command of God our Savior,|Keeps appointed timing, preaching and commanded stewardship.
1:4|to Titus, my true child in our common faith: Grace and peace from God the Father and Christ Jesus our Savior.|Retains kinship, shared faith and the Savior title applied to Christ.
1:5|I left you in Crete for this reason: to set right what remained and appoint elders in every town, as I directed you.|Keeps named island, unfinished order and town-by-town appointments.
1:6|An elder must be beyond accusation, a one-woman man, with faithful children not accused of wild living or rebellion.|Preserves male marital idiom and the ambiguous believing/faithful description.
1:7|For an overseer, as God's steward, must be beyond accusation—not self-willed, quick-tempered, addicted to wine, violent or greedy for dishonest gain,|Keeps stewardship and all five prohibitions.
1:8|but hospitable, loving what is good, self-controlled, just, holy and disciplined,|Preserves all six positive qualities.
1:9|holding firmly to the trustworthy word according to the teaching, so that he may be able both to encourage with sound teaching and to correct those who contradict it.|Keeps holding, health metaphor and two teaching functions.
1:10|For there are many rebellious people, empty talkers and deceivers, especially those from the circumcision group.|Retains three descriptions and specified subgroup.
1:11|They must be silenced, because they overturn whole households by teaching what they should not for shameful gain.|Keeps forceful response, household harm and financial motive.
1:12|One of their own, a prophet of theirs, said, “Cretans are always liars, evil beasts, lazy bellies.”|Preserves the quoted ethnic insult, speaker relation and animal/bodily rhetoric.
1:13|This testimony is true. Therefore, rebuke them sharply so that they may become sound in the faith,|Retains the letter's endorsement, severity and corrective aim.
1:14|not paying attention to Jewish myths and commands of people who turn away from the truth.|Keeps the specific polemical labels without generalizing beyond the opponents.
1:15|To the pure, everything is pure; but to those who are defiled and unbelieving, nothing is pure. Both their mind and conscience are defiled.|Preserves repeated purity/defilement and paired inner faculties.
1:16|They profess to know God, but deny him by their actions. They are detestable, disobedient and unfit for any good work.|Keeps word/deed contradiction and all three harsh judgments.
2:1|But you must speak what is consistent with sound teaching.|Retains contrast and health metaphor.
2:2|Older men are to be sober, dignified, self-controlled and sound in faith, love and endurance.|Keeps age/gender specificity and full sixfold character.
2:3|Older women likewise are to be reverent in conduct, not slanderers or enslaved to much wine, but teachers of what is good,|Retains female group, slavery metaphor and teaching role.
2:4|so that they may train the young women to love their husbands and children,|Keeps intergenerational instruction and both family loves.
2:5|to be self-controlled, pure, workers at home, good and submissive to their own husbands, so that God's word may not be slandered.|Preserves gendered household expectations and reputational rationale.
2:6|Likewise, urge the younger men to be self-controlled.|Keeps male age group and concise exhortation.
2:7|In everything, present yourself as an example of good works. In your teaching show integrity and dignity,|Retains personal example and two teaching qualities.
2:8|with sound speech that cannot be condemned, so that an opponent may be ashamed, having nothing bad to say about us.|Keeps health metaphor, public scrutiny and corporate reputation.
2:9|Slaves are to submit to their own masters in everything, to be pleasing and not talk back,|Names enslaved people and masters and preserves the coercive submission command.
2:10|not stealing, but demonstrating complete good faith, so that in everything they may adorn the teaching about God our Savior.|Keeps prohibited appropriation, trustworthiness and adornment metaphor.
2:11|For God's grace has appeared, bringing salvation to all people.|Preserves grace's epiphany and universal reach.
2:12|It trains us to renounce ungodliness and worldly desires and to live self-controlled, just and godly lives in the present age,|Keeps instruction, two renunciations and three positive adverbs.
2:13|while we wait for the blessed hope and appearing of the glory of our great God and Savior, Jesus Christ.|Retains hope/appearing and the dense divine title.
2:14|He gave himself for us to redeem us from all lawlessness and cleanse for himself a people of his own, zealous for good works.|Keeps self-gift, redemption, purification and eager action.
2:15|Speak these things, encourage and correct with complete authority. Let no one disregard you.|Retains all three speech acts and authority.
3:1|Remind them to submit to rulers and authorities, to obey and to be ready for every good work,|Keeps political submission and readiness.
3:2|to slander no one, to be peaceable and gentle, showing complete humility toward everyone.|Preserves universal speech restraint and three relational qualities.
3:3|For we too were once foolish, disobedient and deceived, enslaved to various desires and pleasures, living in malice and envy, hateful and hating one another.|Keeps shared past, slavery metaphor and reciprocal hatred.
3:4|But when the kindness and love for humanity of God our Savior appeared,|Retains epiphany language and philanthropic term.
3:5|he saved us—not because of righteous works we had done, but according to his mercy—through the washing of rebirth and renewal by the Holy Spirit,|Preserves denial, mercy and paired washing/renewal means.
3:6|whom he poured out richly on us through Jesus Christ our Savior,|Keeps Spirit as poured gift and Christ's mediation.
3:7|so that, justified by his grace, we might become heirs according to the hope of eternal life.|Retains legal status, inheritance and hope.
3:8|This saying is trustworthy, and I want you to insist on these things so that those who have believed God may be careful to devote themselves to good works. These things are good and beneficial for people.|Keeps formal saying, emphatic instruction and practical benefit.
3:9|But avoid foolish controversies, genealogies, quarrels and fights about the law, because they are unprofitable and empty.|Preserves full list and both evaluations.
3:10|After a first and second warning, reject a divisive person,|Keeps two-stage correction and factional behavior.
3:11|knowing that such a person is warped and sins, being self-condemned.|Retains moral distortion and inward verdict.
3:12|When I send Artemas or Tychicus to you, make every effort to come to me at Nicopolis, because I have decided to spend the winter there.|Keeps both possible messengers, destination and seasonal plan.
3:13|Diligently help Zenas the lawyer and Apollos on their way, so that they lack nothing.|Retains names, profession and material support.
3:14|Our people too must learn to devote themselves to good works for urgent needs, so that they will not be unfruitful.|Keeps learned provision and fruit metaphor.
3:15|Everyone with me greets you. Greet those who love us in faith. Grace be with all of you.|Preserves all three closing sentences and plural blessing.
