25:1|The word of the LORD came to me:|Retains the repeated word-event formula.
25:2|“Son of man, turn your face toward the Ammonites and prophesy against them.|Keeps the embodied direction and named target.
25:3|Tell the Ammonites: Hear the word of the Lord GOD! This is what the Lord GOD says: You said ‘Aha!’ when my sanctuary was profaned, when Israel’s land was laid waste, and when the house of Judah went into exile.|Preserves three occasions of gloating and both titles.
25:4|So I am handing you over to the people of the east as their possession. They will pitch their camps among you and set up their dwellings there. They will eat your fruit and drink your milk.|Makes the invaders clear without supplying an ethnicity.
25:5|I will make Rabbah a pasture for camels and Ammon a resting place for flocks. Then you will know that I am the LORD.|Retains distinct animals and recognition refrain.
25:6|For this is what the Lord GOD says: You clapped your hands and stamped your feet, rejoicing over Israel’s land with all the contempt in your heart.|Keeps the gestures tied to contemptuous joy.
25:7|So I have stretched out my hand against you. I will give you as plunder to the nations, cut you off from the peoples, and make you disappear from the lands. I will destroy you. Then you will know that I am the LORD.|Follows read-form plunder; retains accumulating threats.
25:8|“This is what the Lord GOD says: Moab and Seir said, ‘Look, the house of Judah is just like every other nation.’|Preserves both speakers and their taunt.
25:9|So I am opening Moab’s flank, stripping away its frontier towns, the glory of the land: Beth-jeshimoth, Baal-meon, and Kiriathaim.|Keeps flank image and three named towns.
25:10|I will give Moab to the people of the east as a possession, along with the Ammonites, so that the Ammonites will no longer be remembered among the nations.|Retains the unexpected repeated Ammon reference.
25:11|I will carry out judgments against Moab. Then they will know that I am the LORD.|Preserves plural judgments and recognition.
25:12|“This is what the Lord GOD says: Edom took vengeance on the house of Judah and became deeply guilty by taking revenge on them.|Preserves repeated vengeance and emphatic guilt.
25:13|Therefore this is what the Lord GOD says: I will stretch out my hand against Edom and cut off humans and animals from it. I will make it a waste from Teman onward; as far as Dedan they will fall by the sword.|Keeps geographic reach and nonhuman losses.
25:14|I will put my vengeance against Edom into the hands of my people Israel. They will act against Edom according to my anger and fury, and Edom will know my vengeance, declares the Lord GOD.|Makes Edom the final referent without softening agency.
25:15|“This is what the Lord GOD says: The Philistines acted in revenge, taking vengeance with contempt in their hearts, seeking destruction out of age-old hostility.|Retains intensity and longstanding hostility.
25:16|Therefore this is what the Lord GOD says: I am stretching out my hand against the Philistines. I will cut off the Cherethites and destroy the remnant along the seacoast.|Keeps Cherethites distinct within the oracle.
