3:1|Woe to the city of blood!\nIt is full of lies and plunder;\nthe prey never runs out.|Keeps blood-city indictment and continuing predation as images rather than abstract wrongdoing.
3:2|Whips crack, wheels rumble,\nhorses gallop, chariots bounce.|Lets the Hebrew sound-and-motion fragments drive the battle scene.
3:3|Horsemen charge, swords flash,\nspears glitter!\nSo many slain, heaps of corpses,\nbodies without end—\nthey stumble over the bodies.|Preserves the accumulating bodies and follows the read form of stumble without suppressing the written form in the binding.
3:4|All because of the countless prostitutions\nof the alluring prostitute,\nthe mistress of sorcery,\nwho sells nations through her prostitution\nand peoples through her sorcery.|Retains the violent sexual and magical depiction of the imperial city and both repetitions.
3:5|“Look, I am against you,” declares the LORD of Armies.\n“I will lift your skirts over your face\nand show the nations your nakedness,\nthe kingdoms your disgrace.|Makes the speaker explicit while preserving threatened sexual humiliation.
3:6|I will throw filth on you,\ntreat you with contempt,\nand make you a spectacle.|Retains all three actions without softening their degrading force.
3:7|Everyone who sees you will run away and say,\n‘Nineveh is ruined! Who will mourn for her?’\nWhere can I find anyone to comfort you?”|Distinguishes the onlookers’ speech from the returning question addressed to Nineveh.
3:8|Are you better than No-amon,\nseated among the Nile’s channels,\nwith water all around her,\nthe sea her defense,\nwater her wall?|Keeps the ancient place-name and aquatic defense rather than replacing the image with a modern geography claim.
3:9|Cush and Egypt were her boundless strength;\nPut and the Libyans were your helpers.|Preserves the source switch from her to your rather than silently regularizing it.
3:10|Yet she too was carried away into captivity.\nHer little children were dashed to pieces\nat every street corner.\nLots were cast for her honored men,\nand all her great men were bound in chains.|States harm to children and the enslavement of leaders explicitly.
3:11|You too will become drunk;\nyou will go into hiding.\nYou too will seek shelter from the enemy.|Keeps the two you-too parallels and the intoxication image.
3:12|All your fortresses are fig trees\nwith early-ripe fruit.\nShake them, and the figs fall\nstraight into the eater’s mouth.|Unfolds the extended simile into readable lines without adding a siege explanation.
3:13|Look at your people: women in your midst!\nYour land’s gates stand wide open to your enemies;\nfire has eaten through their bars.|Preserves the gendered taunt and gate-bar image; its ancient insult is not converted into a claim about women today.
3:14|Draw water for the siege!\nStrengthen your fortresses!\nStep into the mud, tread the clay,\ntake hold of the brick mold!|Retains the urgent commands and concrete brickmaking work.
3:15|There the fire will consume you;\nthe sword will cut you down,\ndevouring you like a locust.\nMultiply like the locust!\nMultiply like the swarm!|Preserves the taunt’s repeated multiplication and consuming insect imagery.
3:16|You made your merchants more numerous\nthan the stars of heaven.\nThe locust strips the land and flies away.|Keeps the comparison of commercial multitude and departing locust, noting the stripping/shedding ambiguity.
3:17|Your officials are like locusts,\nyour marshals like swarms\nsettling on walls on a cold day.\nWhen the sun rises, they flee;\nno one knows where they have gone.|Clarifies the collective insect picture without assigning modern ranks to uncertain titles.
3:18|Your shepherds sleep, king of Assyria;\nyour nobles lie at rest.\nYour people are scattered over the mountains,\nand no one gathers them.|Retains shepherd language for leaders and the ominous sleep/rest parallel.
3:19|There is no relief for your fracture;\nyour wound is fatal.\nEveryone who hears the news about you claps their hands.\nFor who has not suffered your endless cruelty?|Keeps the final rhetorical question grounded in the empire’s repeated harm.
