1:1|Jude, a slave of Jesus Christ and brother of James, to those who are called, beloved in God the Father and kept for Jesus Christ:|Keeps slave language and the named brother; the note preserves kept by as an alternative to kept for.
1:2|May mercy, peace and love be multiplied to you.|Retains all three gifts and the multiplication image.
1:3|Beloved, although I was eager to write to you about the salvation we share, I found it necessary to write urging you to contend for the faith entrusted once for all to the holy ones.|Preserves the change in writing purpose, struggle language and once-for-all entrusting.
1:4|For certain people have slipped in unnoticed, people long ago marked out for this judgment: ungodly people who turn our God's grace into sexual recklessness and deny our only Master and Lord, Jesus Christ.|Keeps the covert entry and judgment claim; the note explains the broader shameless-excess range of recklessness.
1:5|I want to remind you, though you have learned all this once for all, that Jesus saved a people out of Egypt and afterward destroyed those who did not believe.|Follows the consequential pinned Jesus reading and preserves both deliverance and destruction.
1:6|And the angels who did not keep their own position of authority but abandoned their proper dwelling, he has kept in eternal chains under darkness for the judgment of the great day.|Retains the keep/kept contrast, abandoned dwelling and eternal chains without adding identities.
1:7|Likewise, Sodom and Gomorrah and the surrounding cities, which in the same way as these indulged in sexual immorality and pursued other flesh, stand as an example, undergoing the punishment of eternal fire.|Preserves other flesh and the comparison's uncertain referent rather than assigning modern categories.
1:8|Yet in the same way these dreamers defile the flesh, reject lordship and revile glorious beings.|Keeps the three acts and the unspecified lordship and glorious beings.
1:9|But when Michael the archangel disputed with the devil about Moses' body, he did not dare bring a reviling judgment against him, but said, “May the Lord rebuke you!”|Retains the named dispute and restraint without importing the larger traditional story.
1:10|These people revile whatever they do not understand, and what they do understand by instinct, like unreasoning animals, destroys them.|Preserves the contrast between uncomprehending insult and destructive instinct.
1:11|Woe to them! They have gone the way of Cain, rushed into Balaam's error for pay and perished in Korah's rebellion.|Keeps all three named examples and the source's forceful completed-action rhetoric.
1:12|These people are hidden reefs at your love feasts, feasting with you without fear, shepherding themselves. They are clouds without water, swept along by winds; late-autumn trees without fruit, twice dead, uprooted;|Preserves the sequence of images and twice dead; the note records the alternative blemishes for reefs.
1:13|wild waves of the sea, foaming up their own shame; wandering stars for whom the deepest darkness has been reserved forever.|Keeps the sea and sky images, shame and lasting judgment.
1:14|Enoch, the seventh from Adam, also prophesied about these people:\n“Look, the Lord came with myriads of his holy ones,|Retains the genealogical ordinal, named prophetic attribution and quotation's past-tense came.
1:15|to bring judgment against everyone\nand convict all the ungodly\nof all their ungodly deeds they have done in ungodliness,\nand of all the harsh things ungodly sinners have spoken against him.”|Preserves the deliberate fourfold ungodly repetition and the scope of judgment.
1:16|These people are grumblers and faultfinders, following their own desires. Their mouths speak boastfully, and they flatter people for their own advantage.|Renders admiration of faces as flattery while preserving self-interest and speech imagery.
1:17|But you, beloved, remember the words spoken beforehand by the apostles of our Lord Jesus Christ.|Keeps the contrastive address and prior apostolic words.
1:18|They told you, “In the last time there will be scoffers who follow their own ungodly desires.”|Preserves the quotation's timing and ungodly-desire vocabulary.
1:19|These are the people who cause divisions, governed by natural life, without the Spirit.|Renders psychikoi with its natural-life sense and preserves the explicit absence of the Spirit.
1:20|But you, beloved, build yourselves up in your most holy faith, praying in the Holy Spirit,|Keeps the building image and the coordinated instruction across verses.
1:21|and keep yourselves in God's love, waiting for the mercy of our Lord Jesus Christ that leads to eternal life.|Preserves keeping and waiting, with mercy's orientation toward eternal life.
1:22|Have mercy on those who doubt;|Follows the pinned mercy-to-doubters reading and retains its distinct group.
1:23|save others by snatching them from the fire; and have mercy on others with fear, hating even the garment stained by the flesh.|Preserves the three-part sequence across verses, rescue image and strong garment/flesh language.
1:24|To the one who can keep you from stumbling and make you stand blameless before his glory with great joy,|Keeps the keeping and standing images and joyful presentation.
1:25|to the only God, our Savior, through Jesus Christ our Lord, be glory, majesty, power and authority, before all time, now and for all ages. Amen.|Follows the full pinned doxology including through Jesus Christ and before all time.
