36:1|The people of the land took Josiah’s son Jehoahaz and made him king in Jerusalem in his father’s place.|Makes the people’s action explicit and retains the father–son succession.
36:2|Jehoahaz was twenty-three when he became king. He reigned in Jerusalem for three months.|Preserves both the accession age and the exceptionally short reign.
36:3|The king of Egypt removed him from power in Jerusalem and imposed a levy on the land of one hundred talents of silver and one talent of gold.|Retains the location and unequal silver and gold amounts; explains the imposed payment through levy.
36:4|The king of Egypt made Jehoahaz’s brother Eliakim king over Judah and Jerusalem and changed his name to Jehoiakim. Neco took Eliakim’s brother Jehoahaz away to Egypt.|Repeats Jehoahaz to make the brothers and the Egyptian king’s actions clear.
36:5|Jehoiakim was twenty-five when he became king. He reigned in Jerusalem for eleven years and did what was evil in the eyes of the LORD his God.|Keeps the evaluation tied to his God and preserves age and duration.
36:6|Nebuchadnezzar king of Babylon came against him and bound him in bronze shackles to take him to Babylon.|Preserves the purpose clause without asserting here that the proposed deportation happened.
36:7|Nebuchadnezzar also took some of the vessels from the LORD’s house to Babylon and put them in his palace there.|Keeps the partial removal and palace/temple ambiguity in a note on hekal.
36:8|The rest of Jehoiakim’s acts, the detestable things he did, and what was found against him are recorded in the Book of the Kings of Israel and Judah. His son Jehoiachin succeeded him.|Retains both the deeds and the less specific findings against him without inventing charges.
36:9|Jehoiachin was eight when he became king. He reigned in Jerusalem for three months and ten days and did what was evil in the LORD’s eyes.|Retains the pinned Hebrew age eight and the precise duration; notes the difference from Kings rather than harmonizing.
36:10|At the turn of the year, King Nebuchadnezzar sent for him and brought him to Babylon, along with the precious vessels from the LORD’s house. He made Jehoiachin’s brother Zedekiah king over Judah and Jerusalem.|Retains the Hebrew brother relationship in the text and explains the uncle relationship in Kings separately.
36:11|Zedekiah was twenty-one when he became king. He reigned in Jerusalem for eleven years.|Keeps the age and reign length in the recurring readable accession formula.
36:12|He did what was evil in the eyes of the LORD his God. He did not humble himself before the prophet Jeremiah, who spoke the LORD’s words.|Unfolds from the mouth of the LORD without obscuring the source of Jeremiah’s message.
36:13|He also rebelled against King Nebuchadnezzar, who had made him swear an oath by God. He stiffened his neck and hardened his heart against returning to the LORD, the God of Israel.|Preserves the oath and both bodily images, with returning connected to the book’s recurring language.
36:14|All the leading priests and the people kept adding to their unfaithfulness, following all the detestable practices of the nations. They defiled the LORD’s house, which he had made holy in Jerusalem.|Retains cumulative unfaithfulness and the contrast between consecration and defilement without adding an ethnic judgment.
36:15|The LORD, the God of their ancestors, kept sending word to them through his messengers, again and again. He had compassion on his people and on his dwelling place.|Renders the repeated early sending idiom as persistent action and keeps compassion as the stated reason.
36:16|But they mocked God’s messengers, despised his words, and scoffed at his prophets, until the LORD’s wrath rose against his people and there was no remedy.|Preserves the three escalating actions and the final healing metaphor rather than smoothing the judgment.
36:17|He brought the king of the Chaldeans against them. The king killed their young men with the sword in their sanctuary and showed no compassion to young man or virgin, to the old or the very aged. God handed them all over to him.|Keeps the sanctuary killing and differentiated victims explicit; makes the agents readable without softening the violence.
36:18|He took everything to Babylon: all the vessels of God’s house, large and small, the treasures of the LORD’s house, and the treasures of the king and his officials.|Retains the exhaustive list and both divine designations in the source.
36:19|They burned down God’s house, tore down Jerusalem’s wall, burned all its palaces, and destroyed everything precious in them.|Preserves each destructive action and the distinction between sacred and royal buildings.
36:20|He carried off to Babylon those who had escaped the sword. They became slaves to him and his sons until the kingdom of Persia came to power.|Makes the captives’ subjection explicit while keeping its stated endpoint.
36:21|This fulfilled the LORD’s word spoken through Jeremiah. The land made up for its Sabbaths: throughout its desolation it rested, until seventy years were complete.|Retains the land’s Sabbath image and seventy years without importing a harmonized chronology.
36:22|In the first year of Cyrus king of Persia, the LORD stirred Cyrus’s spirit to fulfill the word the LORD had spoken through Jeremiah. Cyrus issued a proclamation throughout his kingdom and also put it in writing:|Preserves divine initiative, fulfillment, and the proclamation’s spoken and written forms.
36:23|“This is what Cyrus king of Persia says: ‘The LORD, the God of heaven, has given me all the kingdoms of the earth. He has appointed me to build him a house in Jerusalem, in Judah. Whoever among you belongs to his people—may the LORD his God be with him, and let him go up!’”|Retains Cyrus’s sweeping royal claim and ends with the source’s invitation to go up, leaving the return ahead.
