1:1|Paul, a prisoner of Christ Jesus, and Timothy our brother, to Philemon our beloved coworker,|Keeps imprisonment, both senders and Philemon's two relations.
1:2|to Apphia our sister, Archippus our fellow soldier and the church that meets in your house:|Preserves both names, gendered kinship, military metaphor and household church.
1:3|Grace and peace to you from God our Father and the Lord Jesus Christ.|Keeps plural recipients and paired blessing.
1:4|I always thank my God when I remember you in my prayers,|Preserves repeated gratitude and prayer.
1:5|because I hear of your love and faith toward the Lord Jesus and for all the saints.|Keeps the crossed relation of faith/love and their two objects.
1:6|I pray that the sharing of your faith may become effective through recognizing every good thing among us for Christ.|Retains partnership, efficacy and the difficult knowledge phrase.
1:7|For I have received great joy and encouragement from your love, brother, because through you the hearts of the saints have been refreshed.|Keeps bodily-heart idiom, family address and prior refreshment.
1:8|Therefore, though in Christ I have great boldness to command you to do what is fitting,|Preserves real authority and the command Paul could issue.
1:9|I prefer to appeal to you on the basis of love—being who I am, Paul, an old man and now also a prisoner of Christ Jesus.|Keeps appeal, age claim and imprisonment as persuasive pressure.
1:10|I appeal to you for my child Onesimus, whose father I became while in chains.|Names Onesimus and keeps spiritual parenthood and prison context.
1:11|Formerly he was useless to you, but now he is useful both to you and to me.|Preserves the name-related useful/useless wordplay.
1:12|I am sending him back to you—him, that is, my own heart.|Keeps involuntary return and intense bodily affection.
1:13|I wanted to keep him with me, so that he might serve me on your behalf while I am in chains for the good news.|Retains Paul's desire, expected service and incarceration.
1:14|But I did not want to do anything without your consent, so that your good deed would not be forced but voluntary.|Keeps consent and coercion contrast within an unequal relationship.
1:15|Perhaps this is why he was separated from you for a while, so that you might have him back forever,|Preserves cautious perhaps and passive separation.
1:16|no longer merely as a slave but more than a slave—as a beloved brother, especially to me, and how much more to you, both in the flesh and in the Lord.|Names enslaved status and the requested transformed relationship without inventing manumission.
1:17|So if you consider me a partner, welcome him as you would welcome me.|Keeps partnership as the appeal's direct basis.
1:18|If he has wronged you in any way or owes you anything, charge it to me.|Preserves possible harm, debt and Paul's assumption of liability.
1:19|I, Paul, write this with my own hand: I will repay it—not to mention that you owe me your very self.|Keeps autograph promise and the explicit counter-debt pressure.
1:20|Yes, brother, let me benefit from you in the Lord; refresh my heart in Christ.|Preserves Onesimus-related wordplay and the repeated heart-refreshing request.
1:21|Confident of your obedience, I write to you, knowing that you will do even more than I say.|Keeps expectation, obedience language and open-ended further action.
1:22|At the same time, prepare a guest room for me, for I hope that through your prayers I will be restored to you.|Retains prospective visit and added social accountability.
1:23|Epaphras, my fellow prisoner in Christ Jesus, greets you,|Keeps name, imprisonment and Christ relation.
1:24|as do Mark, Aristarchus, Demas and Luke, my coworkers.|Preserves all four names and shared role.
1:25|The grace of the Lord Jesus Christ be with your spirit.|Retains singular spirit addressed within a plural blessing context.
