15:1|Some people came down from Judea and began teaching the brothers and sisters, “Unless you are circumcised according to the custom of Moses, you cannot be saved.”|Preserves origin, teaching, inclusive audience, circumcision, Mosaic custom, and salvation claim.
15:2|After Paul and Barnabas had no small disagreement and debate with them, the church appointed Paul, Barnabas, and some others to go up to Jerusalem to the apostles and elders about this question.|Keeps named disputants, intensity, church action, delegation, destination, and issue.
15:3|Sent on their way by the church, they traveled through Phoenicia and Samaria, describing in detail the conversion of the Gentiles. This brought great joy to all the brothers and sisters.|Preserves church support, route, Gentile conversion, comprehensive audience, and joy.
15:4|When they arrived in Jerusalem, the church, the apostles, and the elders welcomed them, and they reported everything God had done through them.|Keeps arrival, three welcoming groups, report, and divine agency.
15:5|But some believers from the party of the Pharisees stood and said, “The Gentiles must be circumcised and commanded to keep the law of Moses.”|Preserves believers’ Pharisaic identity, Gentile referent, necessity, circumcision, and law.
15:6|The apostles and elders gathered to consider this matter.|Keeps decision-makers, gathering, and purpose.
15:7|After much debate, Peter stood and said to them, “Brothers and sisters, you know that some time ago God chose among you that through my mouth the Gentiles should hear the message of the good news and believe.|Uses inclusive address and preserves debate, divine choice, Peter’s speech, Gentile hearing, gospel, and faith.
15:8|God, who knows the heart, testified for them by giving them the Holy Spirit just as he did to us.|Keeps divine heart-knowledge, testimony, equal Spirit gift, and comparison.
15:9|He made no distinction between us and them, cleansing their hearts by faith.|Preserves non-discrimination, two groups, inward cleansing, and faith.
15:10|So why are you now testing God by placing on the disciples’ necks a yoke that neither our ancestors nor we have been able to bear?|Keeps challenge, divine testing, yoke image, disciples, ancestors, and inability.
15:11|No, we believe that we are saved through the grace of the Lord Jesus, in the same way they are.”|Preserves grace, Lord Jesus, salvation, faith, and equal manner.
15:12|The whole assembly fell silent and listened as Barnabas and Paul described all the signs and wonders God had done through them among the Gentiles.|Keeps collective silence, named speakers, miracles, divine agency, and Gentile setting.
15:13|When they finished speaking, James responded, “Brothers and sisters, listen to me.|Preserves sequence, speaker, inclusive address, and summons.
15:14|Simeon has described how God first intervened to take from the Gentiles a people for his name.|Keeps Simeon’s name, divine initiative, Gentiles, people, and name.
15:15|The words of the prophets agree with this, as it is written:|Preserves prophetic agreement and quotation frame.
