1:1|In the thirtieth year, on the fifth day of the fourth month, I was among the exiles beside the Kebar River. The heavens opened, and I saw visions of God.|Keeps the unexplained thirtieth year and the exile setting before the vision.
1:2|It was the fifth day of the month, in the fifth year of King Jehoiachin’s exile.|Retains the second dating formula rather than merging it into the first.
1:3|The word of the LORD came to Ezekiel the priest, son of Buzi, in the land of the Chaldeans beside the Kebar River. There the hand of the LORD came upon him.|Preserves the third-person introduction and the hand image.
1:4|I looked: a storm wind was coming from the north, a great cloud with fire flashing within it and brightness all around. At its center, within the fire, something gleamed like glowing metal.|Keeps the layered location and uncertain metal comparison.
1:5|Within it was the likeness of four living creatures. This is how they appeared: they had a human likeness,|Repeated likeness makes the description analogical rather than a literal identification.
1:6|but each had four faces and four wings.|Carries the surprising qualification across the verse boundary.
1:7|Their legs were straight, and the soles of their feet were like the soles of a calf’s feet. They sparkled like polished bronze.|Preserves calf feet and the bronze comparison without modern machinery imagery.
1:8|They had human hands beneath their wings on all four sides. All four had faces and wings.|Follows the read form hands while retaining the concluding summary.
1:9|Their wings touched one another. They did not turn as they moved; each went straight ahead.|Makes movement intelligible while keeping the repeated no-turning detail.
1:10|As for their faces, all four had a human face, a lion’s face on the right, an ox’s face on the left, and an eagle’s face.|Preserves all four faces and the two specified directions.
1:11|Such were their faces. Their wings spread upward; each had two wings touching another creature’s wings and two covering its body.|Separates the face summary from the wing arrangement without adding a direction for the eagle.
1:12|Each went straight ahead. Wherever the spirit would go, they went, without turning as they moved.|Keeps spirit and the guiding relation open without replacing it with instinct.
1:13|The living creatures looked like burning coals of fire, like torches. Fire moved back and forth among the creatures; it shone brightly, and lightning flashed from it.|Retains both the creatures’ appearance and fire among them despite the compressed syntax.
1:14|The creatures darted back and forth like flashes of lightning.|Renders rapid movement without identifying its mechanism.
1:15|As I looked at the living creatures, I saw a wheel on the ground beside each of the four-faced creatures.|Distributes the singular wheel naturally across the four creatures; note records compressed Hebrew.
1:16|The wheels and their workmanship gleamed like beryl. All four had the same likeness, and each looked as though one wheel were set within another.|Keeps mineral identification provisional and the wheel-within-wheel image.
1:17|They could move in any of their four directions without turning as they went.|Preserves four directions and the refrain.
1:18|Their rims were high and awe-inspiring, and the rims of all four were full of eyes all around.|Retains eyes rather than interpreting them as decorations.
1:19|When the living creatures moved, the wheels moved beside them. When the creatures rose from the ground, the wheels rose too.|Makes the synchronized motions explicit without reducing the repetition.
1:20|Wherever the spirit would go, they went—that was where the spirit would go. The wheels rose alongside them, because the spirit of the living creatures was in the wheels.|Retains the unusual repeated spirit clause and shared animation.
1:21|When the creatures moved, the wheels moved; when they stood still, the wheels stood still. When the creatures rose from the ground, the wheels rose alongside them, because the spirit of the living creatures was in the wheels.|Keeps the full repeated explanation and all three paired motions.
1:22|Above the heads of the living creatures was the likeness of an expanse, stretched out over them, gleaming like awe-inspiring ice.|Keeps expanse and ice imagery with likeness qualification.
1:23|Beneath the expanse their wings stretched straight toward one another. Each had two wings covering its body—two covering its body.|Preserves the conspicuous duplication in the source rather than silently deleting it.
1:24|As they moved, I heard the sound of their wings, like the roar of great waters, like the voice of the Almighty, a tumult like the noise of an army. When they stood still, they lowered their wings.|Retains all three sound comparisons and the pause gesture.
1:25|A voice came from above the expanse over their heads. When they stood still, they lowered their wings.|Retains the repeated lowering and the voice’s location.
