6:1|Children, obey your parents in the Lord, for this is right.|Keeps the address to children and the qualification in the Lord.
6:2|“Honor your father and mother”—this is the first commandment with a promise—|Preserves both parents and the narrator's explanation within the quotation.
6:3|“so that things may go well for you and you may live long on the earth.”|Keeps both promised outcomes and the earth/land wording without narrowing geography.
6:4|And fathers, do not provoke your children to anger. Instead, nurture them in the Lord's discipline and instruction.|Retains the specific fathers and the contrast between provocation and nurture.
6:5|Slaves, obey your earthly masters with fear and trembling and with a sincere heart, as you would Christ.|Names slavery plainly and retains fear, trembling, sincerity and the Christ comparison.
6:6|Do not work only while someone is watching, trying to win human approval. Work as Christ's slaves, doing God's will from the heart.|Unpacks eye-service naturally while retaining the repeated slave relationship.
6:7|Serve with goodwill, as though serving the Lord and not people,|Keeps the contrast in the orientation of service and connects the sentence to its reason.
6:8|knowing that the Lord will repay each person for whatever good they do, whether slave or free.|Retains the equal scope of recompense without making slavery metaphorical here.
6:9|And masters, treat them in the same way, and stop threatening them. You know that their Master and yours is in heaven, and he shows no favoritism.|Makes the command to cease threats audible and preserves their shared Master.
6:10|Finally, draw your strength from the Lord and his mighty power.|Expresses dependence on divine strength rather than self-generated resolve.
6:11|Put on God's full armor so that you can stand against the devil's schemes.|Keeps armor, standing and the named adversary.
6:12|For our struggle is not against flesh and blood, but against rulers, against authorities, against the powers that rule this darkness, against the spiritual forces of evil in the heavenly realms.|Retains the repeated against and the nonhuman scope without identifying present-day groups.
6:13|So take up God's full armor, so that you can resist on the evil day and, having done everything, stand.|Preserves the evil day and the repeated standing motif.
6:14|Stand, then, with truth fastened around your waist and righteousness worn as a breastplate,|Keeps the two concrete armor images rather than replacing them with abstract advice.
6:15|and with your feet fitted with the readiness that comes from the good news of peace.|Retains readiness, footwear and the paradoxical peace message within armor imagery.
6:16|In every situation, take up the shield of faith. With it you will be able to put out all the evil one's flaming arrows.|Follows in all rather than above all and retains shield and flaming projectiles.
6:17|Receive the helmet of salvation and the sword of the Spirit, which is God's word.|Keeps receive and the source's identification of the sword with divine speech.
6:18|Pray in the Spirit at every opportunity, with every kind of prayer and petition. To that end, stay alert and persevere in prayer for all the saints.|Makes the extended prayer instruction readable and preserves all/every repetition.
6:19|Pray for me too, that words may be given to me when I open my mouth, so that I can boldly make known the mystery of the good news.|Keeps dependence on given speech and the request for bold proclamation.
6:20|It is for this good news that I am an ambassador in chains. Pray that I may speak about it boldly, as I ought.|Retains the ambassador/chains contrast and repeated boldness.
6:21|So that you too may know how I am and what I am doing, Tychicus will tell you everything. He is a beloved brother and a faithful minister in the Lord.|Names the messenger and both relational and ministerial descriptions.
6:22|I am sending him to you for this very purpose: to let you know how we are and to encourage your hearts.|Keeps the plural we and the two purposes of the mission; uses an epistolary present.
6:23|Peace to the brothers and sisters, and love with faith, from God the Father and the Lord Jesus Christ.|Includes the addressed community without altering divine titles or coupling of love and faith.
6:24|Grace be with all who love our Lord Jesus Christ with an undying love.|Renders incorruptibility as enduring love while recording the broader attachment in a note.
