1:1|The words of Qohelet, son of David, king in Jerusalem.|Retain title as name with vocabulary rather than identify beyond source.
1:2|“Breath of breaths,” says Qohelet,\n“breath of breaths! Everything is a breath.”|Keep repeated hevel metaphor; note transience and elusiveness.
1:3|What gain does a person have from all the toil\nhe toils at under the sun?|Preserve gain, toil repetition, and recurring perspective.
1:4|A generation goes, and a generation comes,\nbut the earth stands through the ages.|Keep human/earth duration contrast.
1:5|The sun rises, and the sun sets;\nit pants back to the place where it rises.|Retain weary sun image.
1:6|The wind goes south and circles north;\nround and round it goes,\nreturning on its circuits.|Preserve directional cycle and repetition.
1:7|All streams flow to the sea,\nbut the sea is never full.\nTo the place where the streams flow,\nthere they flow again.|Do not insert a modern water-cycle explanation.
1:8|All things are wearisome,\nmore than anyone can express.\nThe eye is not satisfied with seeing,\nnor the ear filled with hearing.|Retain things/words ambiguity and unsatisfied senses.
1:9|What has been is what will be;\nwhat has been done is what will be done.\nThere is nothing new under the sun.|Keep repeated cyclical claims.
1:10|Is there something of which one can say, “Look, this is new”?\nIt already existed in ages before us.|Retain question and temporal rebuttal.
1:11|There is no remembrance of those who came before;\neven those yet to come will not be remembered\nby those who come afterward.|Choose people referent while noting former/later things possible.
1:12|I, Qohelet, was king over Israel in Jerusalem.|Preserve past royal self-presentation.
1:13|I set my heart to seek and investigate with wisdom everything done under the heavens. It is a grievous task that God has given humankind to occupy them.|Keep heavens distinct from sun and difficult divine gift.
1:14|I saw all the deeds done under the sun. Look: everything is a breath, a herding of wind.|Retain hevel and impossible shepherding image.
1:15|What is crooked cannot be straightened;\nwhat is missing cannot be counted.|Keep two limits without moralizing their causes.
1:16|I said to myself, “Look, I have grown in wisdom beyond everyone who was over Jerusalem before me. My heart has seen much wisdom and knowledge.”|Preserve comparative royal claim and heart’s experience.
1:17|I set my heart to know wisdom and to know madness and folly. I learned that this too is a herding of wind.|Keep opposed fields of inquiry.
1:18|For with much wisdom comes much frustration;\nwhoever adds knowledge adds pain.|Preserve troubling wisdom/pain connection.
2:1|I said in my heart, “Come now, I will test you with pleasure. Enjoy what is good!” But look, this too was a breath.|Keep self-addressed experiment and verdict.
2:2|Of laughter I said, “Madness!” and of pleasure, “What does it accomplish?”|Retain questions rather than flatten all pleasure into evil.
2:3|I explored in my heart how to draw my body along with wine—while my heart still guided me with wisdom—and how to take hold of folly, until I could see what was good for people to do under the heavens during their few days of life.|Preserve tension of wine, wisdom, and experimental folly.
