25:1|Of David.\nTo you, LORD, I lift up my life.|Keep title and lifted life as an act of trust.
25:2|My God, I trust in you.\nDo not let me be put to shame;\ndo not let my enemies celebrate my downfall.|Clarify the object of enemy triumph without erasing shame.
25:3|Indeed, no one who waits for you will be put to shame.\nLet shame fall on those who betray others without cause.|Preserve the contrast between waiting and groundless treachery.
25:4|Show me your ways, LORD;\nteach me your paths.|Retain paired journey images and direct appeal.
25:5|Lead me in your truth and teach me,\nfor you are the God who saves me.\nI wait for you all day long.|Connect guidance with rescue and sustained waiting.
25:6|Remember your compassion, LORD, and your faithful love;\nthey have been yours from long ago.|Keep divine remembering and the antiquity of mercy.
25:7|Do not remember my youthful sins or my rebellions.\nRemember me according to your faithful love,\nfor the sake of your goodness, LORD.|Retain the threefold remembering contrast and acknowledged rebellion.
25:8|The LORD is good and upright;\nthat is why he teaches sinners the way.|Make the causal link audible while retaining sinners as learners.
25:9|He leads the humble in what is just\nand teaches the humble his way.|Preserve humble repeated and justice linked to guidance.
25:10|All the LORD’s paths are faithful love and truth\nfor those who keep his covenant and his testimonies.|Keep covenant and the relational qualification.
25:11|For your name’s sake, LORD,\nforgive my wrongdoing, great as it is.|Preserve the greatness of guilt as part of the appeal.
25:12|Who is the person who reveres the LORD?\nThe LORD will teach that person the way to choose.|Clarify the teacher while leaving the choice’s agency open in a note.
25:13|That person will rest in well-being,\nand their offspring will inherit the land.|Retain both present well-being and generational land promise.
25:14|The LORD shares his counsel with those who revere him;\nhe makes his covenant known to them.|Render confidential council access naturally without reducing it to information.
25:15|My eyes are always turned toward the LORD,\nfor he will free my feet from the net.|Keep eyes and trapped feet in their paired image.
25:16|Turn toward me and be gracious to me,\nfor I am alone and afflicted.|Preserve the speaker’s loneliness alongside affliction.
25:17|My heart’s troubles have grown wide;\nbring me out of my distress.|Keep the ironic widening of trouble and release from constriction.
25:18|Look at my affliction and hardship,\nand forgive all my sins.|Retain suffering and sin together without declaring one caused the other.
25:19|Look how many my enemies are,\nhow violently they hate me.|Keep the repeated look and violent hatred.
25:20|Guard my life and rescue me.\nDo not let me be put to shame,\nfor I have taken refuge in you.|Connect refuge with the appeal for life and honor.
25:21|May integrity and uprightness guard me,\nfor I wait for you.|Retain personified virtues and the waiting refrain.
25:22|God, redeem Israel\nfrom all its troubles.|Preserve the final widening from individual to Israel.
26:1|Of David.\nVindicate me, LORD, for I have walked with integrity.\nI have trusted in the LORD without wavering.|Keep the title and integrity claim without claiming absolute sinlessness.
26:2|Examine me, LORD, and test me;\nrefine my kidneys and my heart.|Follow the read imperative and preserve the ancient bodily image.
26:3|Your faithful love is before my eyes,\nand I walk in your truth.|Keep seeing and walking as sustained orientation.
26:4|I do not sit with deceitful people\nor go along with those who hide what they are.|Render concealed identity without inventing a named sect.
26:5|I hate the gathering of evildoers\nand will not sit with the wicked.|Retain the speaker’s hatred and refusal of company.
26:6|I wash my hands in innocence\nand walk around your altar, LORD,|Preserve ritual and ethical imagery and continue into purpose.
26:7|to raise a voice of thanksgiving\nand recount all your wonders.|Keep the audible praise and full scope of wonders.
26:8|LORD, I love the house where you dwell,\nthe place where your glory makes its home.|Retain the repeated dwelling language.
26:9|Do not sweep my life away with sinners,\nmy life with men who shed blood,|Make gathering in death readable and preserve bloodshed.
26:10|whose hands are full of schemes\nand whose right hands overflow with bribes.|Retain hands and specific corruption.
26:11|But I will walk with integrity.\nRedeem me and be gracious to me.|Keep integrity alongside need for grace.
26:12|My feet stand on level ground;\nin the assemblies I will bless the LORD.|Conclude with secure footing and public praise.
