1:1|In the third year of Jehoiakim king of Judah’s reign, Nebuchadnezzar king of Babylon came to Jerusalem and besieged it.|Keeps third-year dating without harmonizing chronology.
1:2|The Lord gave Jehoiakim king of Judah into his hand, along with some of the vessels from God’s house. He brought them to Shinar, to the house of his god, and placed the vessels in his god’s treasury.|Preserves Lord title, partial vessels and repeated god's house.
1:3|The king ordered Ashpenaz, chief of his eunuchs, to bring in some Israelites from the royal family and the nobility:|Retains eunuch designation with court-title note.
1:4|young men without any physical defect, handsome, skilled in every kind of wisdom, knowledgeable, discerning, and capable of serving in the king’s palace. They were to be taught the literature and language of the Chaldeans.|Keeps male selection and full qualifications.
1:5|The king assigned them a daily portion of his own food and the wine he drank. They were to be trained for three years, then enter the king’s service.|Preserves daily allotment and three-year period.
1:6|Among them were Daniel, Hananiah, Mishael, and Azariah, from Judah.|Keeps four Hebrew names and origin.
1:7|The chief eunuch gave them new names: Daniel he called Belteshazzar; Hananiah, Shadrach; Mishael, Meshach; and Azariah, Abed-nego.|Preserves each exact name pairing.
1:8|Daniel resolved not to defile himself with the king’s food or the wine he drank. He asked the chief eunuch for permission to avoid defiling himself.|Keeps defilement repeated without inventing motive.
1:9|God caused the chief eunuch to show Daniel kindness and compassion.|Preserves divine cause and paired favor terms.
1:10|But the chief eunuch told Daniel, “I am afraid of my lord the king, who assigned your food and drink. Why should he see you looking worse than the other young men your age? You would put my head at risk with the king.”|Keeps personal danger and comparative concern.
1:11|Daniel then spoke to the steward whom the chief eunuch had appointed over Daniel, Hananiah, Mishael, and Azariah:|Distinguishes steward from chief and repeats names.
1:12|“Please test your servants for ten days. Give us vegetables to eat and water to drink.|Keeps ten days and request, not dietary prescription.
1:13|Then compare our appearance with that of the young men eating the king’s food. Deal with your servants according to what you see.”|Preserves requested empirical comparison and discretion.
1:14|He agreed and tested them for ten days.|Retains explicit duration repetition.
1:15|At the end of ten days, they looked better and fuller in body than all the young men eating the king’s food.|Keeps fuller flesh rather than modern thinness ideal.
1:16|So the steward continued taking away their assigned food and wine and giving them vegetables.|Preserves ongoing substitution without inventing disposal.
1:17|God gave all four of these young men knowledge and insight into every kind of literature and wisdom. Daniel also understood visions and dreams of every kind.|Distinguishes shared gifts from Daniel's additional understanding.
1:18|When the time set by the king for bringing them in had ended, the chief eunuch presented them to Nebuchadnezzar.|Keeps appointed training endpoint.
1:19|The king spoke with them. Among them all, no one matched Daniel, Hananiah, Mishael, and Azariah, so they entered the king’s service.|Preserves four names and outcome.
1:20|In every matter of wisdom and understanding he asked about, the king found them ten times better than all the magicians and enchanters in his entire kingdom.|Keeps tenfold comparison and both specialist groups.
1:21|Daniel remained until the first year of King Cyrus.|Does not imply death at the stated endpoint.
2:1|In the second year of Nebuchadnezzar’s reign, Nebuchadnezzar had dreams. His spirit was troubled, and his sleep left him.|Keeps repeated name and difficult sleeplessness idiom.
2:2|The king ordered the magicians, enchanters, sorcerers, and Chaldeans summoned to tell him his dreams. They came and stood before the king.|Preserves four distinct court groups.
2:3|The king told them, “I have had a dream, and my spirit is troubled. I want to understand the dream.”|Keeps troubled spirit and knowing dream.
2:4|The Chaldeans answered the king in Aramaic, “May the king live forever! Tell your servant the dream, and we will explain its meaning.”|Retains language marker and singular read-form servant.
2:5|The king replied to the Chaldeans, “My decision is firm. If you do not tell me the dream and its meaning, you will be torn limb from limb and your houses reduced to refuse heaps.|Keeps decision reading and explicit bodily threat.
2:6|But if you tell me the dream and its meaning, you will receive gifts, rewards, and great honor from me. So tell me the dream and its meaning.”|Preserves repeated paired demand and three rewards.
2:7|They answered again, “Let the king tell his servants the dream, and we will explain its meaning.”|Keeps second request and plural servants.
2:8|The king replied, “I know for certain that you are buying time, because you see that my decision is firm.|Retains buying-time idiom and repeated firmness.
2:9|If you do not tell me the dream, there is only one sentence for you. You have agreed to tell me lying, corrupt words until the situation changes. So tell me the dream, and I will know you can explain its meaning.”|Keeps test of interpretation and alleged collusion.
2:10|The Chaldeans answered the king, “No one on earth can do what the king asks. No king, however great and powerful, has ever asked such a thing of any magician, enchanter, or Chaldean.|Preserves universal impossibility claim and specialist list.
2:11|What the king asks is difficult. No one can reveal it to the king except the gods, who do not dwell with flesh.”|Keeps divine/human dwelling contrast without endorsing speakers.
2:12|At this the king became furious and ordered all Babylon’s wise men destroyed.|Retains indiscriminate lethal command.
