21:1|Jehoshaphat rested with his ancestors and was buried beside them in the City of David. His son Jehoram succeeded him as king.|Keeps rest/burial distinct and names the succeeding son clearly.
21:2|Jehoram's brothers, the sons of Jehoshaphat, were Azariah, Jehiel, Zechariah, Azariahu, Michael, and Shephatiah. All were sons of Jehoshaphat king of Israel.|Retains both similar Azariah names and the source's title Israel.
21:3|Their father gave them generous gifts of silver, gold, and precious things, along with fortified cities in Judah. But he gave the kingdom to Jehoram because he was the firstborn.|Distinguishes gifts and cities from the firstborn's royal inheritance.
21:4|Once Jehoram had taken over his father's kingdom and secured his power, he killed all his brothers with the sword, along with some of Israel's officials.|Makes consolidation and fratricide explicit without excusing the violence.
21:5|Jehoram was thirty-two when he became king, and he ruled in Jerusalem for eight years.|Preserves accession age and reign length for the repeated closing notice.
21:6|He followed the ways of Israel's kings, as Ahab's house had done, for he had married Ahab's daughter. He did what was evil in the LORD's eyes.|Connects marriage and dynasty while retaining the narrator's moral assessment.
21:7|Yet the LORD was unwilling to destroy David's house because of the covenant he had made with David. He had promised to give a lamp to David and his sons for all time.|Preserves the covenant and lamp image rather than reducing them to succession.
21:8|During Jehoram's reign, Edom broke free from Judah's rule and set up a king of its own.|Renders under Judah's hand as political rule, with Edom's agency intact.
21:9|Jehoram crossed over with his commanders and all his chariots. Rising during the night, he struck the Edomites who had surrounded him and the chariot commanders.|Retains difficult final object without inserting an escape or victory claim.
21:10|Edom has remained in revolt against Judah to this day. Libnah also revolted against Jehoram's rule at that time, because he had abandoned the LORD, the God of his ancestors.|Keeps the narrator's time perspective and stated reason for Libnah's revolt.
21:11|He also built high places in Judah's hills, led Jerusalem's inhabitants into prostitution, and drove Judah astray.|Retains prostitution as the source's sharp religious image, explained in vocabulary.
21:12|A letter came to him from Elijah the prophet: “This is what the LORD, the God of your ancestor David, says: You have not followed the ways of your father Jehoshaphat or of Asa king of Judah.|Preserves Elijah's letter and the two named standards without chronology repair.
21:13|Instead, you have followed the ways of Israel's kings and led Judah and Jerusalem's inhabitants into prostitution, just as Ahab's house did. You have also killed your brothers, members of your father's house who were better than you.|Keeps divine accusation, religious metaphor, and explicit comparison with murdered brothers.
21:14|So the LORD is about to strike your people, your sons, your wives, and everything you own with a devastating blow.|Preserves all affected groups and property without reducing harm to Jehoram alone.
21:15|You yourself will suffer terribly from a disease in your bowels, until, as the illness goes on day after day, your bowels come out.”|Retains bodily horror and duration rather than euphemizing the judgment.
21:16|The LORD stirred up against Jehoram the spirit of the Philistines and of the Arabs who lived beside the Cushites.|Preserves divine agency and geographical relationship without modern ethnic substitution.
21:17|They invaded Judah, broke into it, and carried off everything they found in the king's palace, as well as his sons and wives. No son was left to him except Jehoahaz, his youngest.|Retains Jehoahaz here and the captivity language without importing later deaths.
21:18|After all this, the LORD struck him with an incurable disease in his bowels.|Keeps the source's attribution and incurability explicit.
21:19|Time passed. At the end of two years, his bowels came out because of his illness, and he died in terrible pain. His people made no funeral burning for him as they had for his ancestors.|Retains two years and distinguishes funeral burning from cremation.
21:20|He was thirty-two when he became king and ruled in Jerusalem for eight years. He departed with no one longing for him. They buried him in the City of David, but not in the royal tombs.|Repeats source figures and preserves the stark unregretted departure and burial exclusion.
22:1|Jerusalem's inhabitants made his youngest son Ahaziah king in his place, because the raiding band that came into the camp with the Arabs had killed all the older sons. So Ahaziah son of Jehoram became king of Judah.|Keeps older sons' deaths here and identifies the new king despite name variation.
22:2|Ahaziah was forty-two when he became king, and he ruled in Jerusalem for one year. His mother's name was Athaliah, a daughter of Omri.|Retains pinned forty-two despite chronological difficulty; daughter remains broad kinship wording.
22:3|He too followed the ways of Ahab's house, for his mother counseled him to do wrong.|Keeps maternal counsel as the narrator's explanation, not a generalized claim.
22:4|He did what was evil in the LORD's eyes, just as Ahab's house had done. After his father's death, they became his advisers, bringing about his ruin.|Makes plural advisers and the ruinous consequence clear.
22:5|Following their advice, he joined Jehoram son of Ahab, king of Israel, in a war against Hazael king of Aram at Ramoth-gilead. The Arameans wounded Joram.|Retains Jehoram/Joram variation with a short identifying note.
22:6|He returned to Jezreel to recover from the wounds they had given him at Ramah when he fought Hazael king of Aram. Azariah son of Jehoram, king of Judah, went down to Jezreel to see Jehoram son of Ahab because he was wounded.|Preserves Azariah as written here rather than silently replacing it with Ahaziah.
22:7|God brought about Ahaziah's downfall through his visit to Joram. When he arrived, he went out with Jehoram to meet Jehu son of Nimshi, whom the LORD had anointed to cut off Ahab's house.|Retains God's role and son of Nimshi without harmonizing genealogy.
22:8|As Jehu was executing judgment on Ahab's house, he found Judah's officials and the sons of Ahaziah's brothers who attended Ahaziah, and he killed them.|Distinguishes nephews from brothers and retains the judgment framing.
22:9|He searched for Ahaziah, and they captured him hiding in Samaria. They brought him to Jehu and put him to death. They buried him, saying, “He was a descendant of Jehoshaphat, who sought the LORD with all his heart.” No one in Ahaziah's house had the strength to hold the kingdom.|Makes multi-generation son intelligible; preserves capture location and absence of a strong successor.
22:10|When Athaliah, Ahaziah's mother, saw that her son was dead, she rose up and destroyed all the royal offspring of Judah's house.|Retains the sweeping slaughter report, with the rescued exception in the following verse.
22:11|But Jehoshabeath, the king's daughter, took Joash son of Ahaziah and stole him away from among the king's sons who were being killed. She put him and his nurse in a bedroom. Jehoshabeath was King Jehoram's daughter, the wife of Jehoiada the priest, and Ahaziah's sister. She hid Joash from Athaliah so that Athaliah did not kill him.|Unfolds dense kinship and pronouns while preserving the woman's decisive rescue.
22:12|He remained hidden with them in God's house for six years, while Athaliah ruled the land.|Retains six years and simultaneous rule without relocating the hiding place.
23:1|In the seventh year, Jehoiada took courage and brought the commanders of hundreds into a covenant with him: Azariah son of Jeroham, Ishmael son of Jehohanan, Azariah son of Obed, Maaseiah son of Adaiah, and Elishaphat son of Zichri.|Keeps all five commanders and fathers, and retains covenant language.
23:2|They traveled through Judah and gathered the Levites from all its cities, along with Israel's ancestral family heads. They came to Jerusalem.|Distinguishes Levites and family heads without narrowing Israel to Judah.
