1:1|The word of the LORD came to Joel son of Pethuel.|Keeps the brief attribution without adding a reign or date absent from the source.
1:2|Hear this, elders!\nListen, everyone living in the land!\nHas anything like this happened in your days\nor in the days of your ancestors?|Retains the two audiences and the unprecedented-event question.
1:3|Tell your children about it;\nlet your children tell their children,\nand their children the generation after them.|Preserves the four-generation transmission instead of shortening it to a general remembrance.
1:4|What the cutting locust left, the swarming locust ate.\nWhat the swarming locust left, the creeping locust ate.\nWhat the creeping locust left, the stripping locust ate.|Keeps all four Hebrew locust terms and the three repeated consumption clauses; labels are descriptive, not a biological claim.
1:5|Wake up, drunkards, and weep!\nWail, all you wine drinkers,\nfor the sweet wine\nhas been cut off from your mouths.|Retains the specific addressees and the mouth image rather than generic economic loss.
1:6|A nation has come up against my land,\npowerful and beyond counting.\nIts teeth are a lion’s teeth;\nit has the fangs of a lioness.|Preserves nation and predatory teeth while leaving the locust/army imagery intertwined.
1:7|It has devastated my vine\nand stripped my fig tree bare.\nIt has peeled it completely and thrown it aside;\nits branches have turned white.|Keeps the possessive landowner voice and the visible whiteness of stripped branches.
1:8|Lament like a young woman clothed in sackcloth\nfor the husband of her youth.|Retains the bereaved young woman and husband relationship, with betrothed possibility in notes.
1:9|Grain offering and drink offering\nhave been cut off from the house of the LORD.\nThe priests mourn,\nthose who serve the LORD.|Preserves both offerings and both divine-name occurrences.
1:10|The fields are devastated;\nthe ground mourns.\nGrain is devastated,\nnew wine has dried up, and oil has failed.|Keeps the personified ground and repeated devastation before the three produce losses.
1:11|Be ashamed, farmers!\nWail, vine growers,\nfor the wheat and barley,\nbecause the harvest of the fields is lost.|Preserves shame/drying wordplay as shame here and keeps both crops.
1:12|The vine has dried up;\nthe fig tree has withered.\nPomegranate, palm, and apple—\nall the trees of the field have dried up.\nJoy itself has dried up among human beings.|Retains the full tree list and repeated drying that culminates in human joy.
1:13|Put on sackcloth and lament, priests!\nWail, you who serve at the altar!\nCome, spend the night in sackcloth,\nyou who serve my God,\nfor grain offering and drink offering\nare withheld from the house of your God.|Keeps nightlong mourning and the my/your God shift.
1:14|Set apart a fast;\ncall a solemn assembly.\nGather the elders and everyone living in the land\nto the house of the LORD your God,\nand cry out to the LORD.|Preserves the coordinated communal actions and twice-named recipient.
1:15|Alas for the day!\nThe day of the LORD is near;\nit comes like devastation from the Almighty.|Keeps the shod/Shaddai connection through devastation/Almighty explained in the note.
1:16|Has not food been cut off before our eyes,\nand joy and celebration\nfrom the house of our God?|Maintains the rhetorical question and parallel loss of food and worship's joy.
1:17|Seeds shrivel beneath the clods.\nStorehouses stand deserted;\ngranaries are torn down,\nfor the grain has dried up.|Chooses the common contextual sense of three rare opening words while explicitly flagging their uncertainty.
1:18|How the animals groan!\nHerds of cattle wander in distress\nbecause they have no pasture.\nEven the flocks of sheep suffer.|Preserves cattle and sheep and their suffering without attributing moral guilt to the animals.
1:19|To you, LORD, I cry,\nfor fire has consumed the wilderness pastures\nand flame has burned all the trees of the field.|Keeps the first-person prayer and parallel fire/flame devastation.
1:20|Even the wild animals pant toward you,\nfor the streambeds have dried up\nand fire has consumed the wilderness pastures.|Preserves animal appeal to God and the repeated pasture clause.
