1:1|The proverbs of Solomon, son of David, king of Israel.|Retain authorial royal attribution.
1:2|For learning wisdom and discipline,\nfor understanding words of insight;|Preserve paired aims of collection.
1:3|for receiving discipline that teaches good judgment,\nrighteousness, justice, and fairness;|Keep three ethical terms distinct.
1:4|for giving the inexperienced good sense,\nand a young man knowledge and discretion.|Retain specifically masculine learner and practical shrewdness.
1:5|Let the wise listen and add to their learning;\nlet the discerning gain guidance,|Experienced readers also learn.
1:6|to understand proverbs and figures of speech,\nthe words of the wise and their riddles.|Retain varied literary forms.
1:7|The fear of the LORD is the beginning of knowledge;\nfools despise wisdom and discipline.|Keep fear and beginning as foundational vocabulary.
1:8|My son, listen to your father’s discipline,\nand do not abandon your mother’s instruction.|Both parents teach with distinct terms.
1:9|They are a lovely garland for your head\nand ornaments for your neck.|Preserve adornment imagery.
1:10|My son, if sinners entice you,\ndo not agree to go.|Consent is the immediate warning.
1:11|They may say, “Come with us!\nLet’s lie in wait to spill blood;\nlet’s ambush someone innocent for no reason.|Do not soften proposed gratuitous violence.
1:12|Let’s swallow them alive, like Sheol,\nwhole, like those going down to the Pit.|Keep death images and whole-person swallowing.
1:13|We will find all kinds of precious wealth\nand fill our houses with plunder.|Preserve the lure of stolen wealth.
1:14|Throw in your lot with us;\nwe will all share one purse.”|Retain lot and common purse images.
1:15|My son, do not walk their road;\nkeep your feet off their path.|Road imagery begins sustained contrast.
1:16|Their feet run toward evil;\nthey hurry to spill blood.|Keep speed and explicit bloodshed.
1:17|A net is spread in vain\nin full view of any bird.|Preserve the proverb’s bird comparison.
1:18|But these men lie in wait for their own blood;\nthey ambush their own lives.|Make self-destructive reversal explicit.
1:19|Such are the paths of everyone greedy for gain:\nit takes the life of those who possess it.|Gain itself becomes fatal agent.
1:20|Wisdom cries out in the street;\nshe raises her voice in the public squares.|Introduce Wisdom as female speaker.
1:21|At the head of the noisy streets she calls;\nat the city gates she speaks her words:|Public proclamation remains concrete.
1:22|“How long, you inexperienced ones, will you love inexperience?\nHow long will scoffers delight in scoffing\nand fools hate knowledge?|Retain three audiences and deliberate repetition.
1:23|Turn when I rebuke you!\nThen I will pour out my spirit to you\nand make my words known to you.|Preserve spirit image rather than reducing to information.
1:24|I called, but you refused;\nI stretched out my hand, but no one paid attention.|Keep both unanswered gestures.
1:25|You dismissed all my counsel\nand would have none of my rebuke.|Retain counsel and rebuke distinction.
1:26|So I too will laugh at your disaster;\nI will mock when terror comes upon you,|Wisdom’s disturbing response remains explicit.
1:27|when terror sweeps over you like devastation\nand disaster arrives like a whirlwind,\nwhen distress and anguish come upon you.|Follow read form and retain accumulating disaster clauses.
1:28|Then they will call me, but I will not answer;\nthey will search for me, but will not find me.|Retain shift from you to they.
1:29|Because they hated knowledge\nand did not choose the fear of the LORD,|Preserve stated grounds and choice.
1:30|because they wanted none of my counsel\nand rejected every rebuke I gave,|Keep repeated rejected counsel.
1:31|they will eat the fruit of their own way\nand have their fill of their own schemes.|Preserve eating metaphor and self-chosen consequences.
1:32|The turning away of the inexperienced kills them;\nthe complacency of fools destroys them.|Different failures remain distinct.
1:33|But whoever listens to me will live securely,\nat ease, without fear of disaster.”|Close Wisdom’s speech with security promise.
2:1|My son, if you receive my words\nand store up my commands within you,|Begin extended conditional sentence.
2:2|making your ear attentive to wisdom\nand turning your heart toward understanding,|Preserve ear and heart images.
2:3|if you call out for insight\nand raise your voice for understanding,|Retain repeated active appeal.
2:4|if you seek it like silver\nand search for it like buried treasure,|Keep economic search comparison.
2:5|then you will understand the fear of the LORD\nand find the knowledge of God.|Mark delayed then answering verses 1–4.
2:6|For the LORD gives wisdom;\nknowledge and understanding come from his mouth.|Wisdom’s source remains divine speech.
2:7|He stores up sound wisdom for the upright;\nhe is a shield for those who walk with integrity,|Follow read form; retain shield and integrity.
2:8|guarding the paths of justice\nand protecting the way of his faithful ones.|Follow plural read form for faithful ones.
2:9|Then you will understand righteousness, justice, and fairness—\nevery good path.|Repeat ethical triad from 1:3.
2:10|For wisdom will enter your heart,\nand knowledge will be pleasant to your soul.|Retain inner reception and pleasure.
2:11|Discretion will watch over you;\nunderstanding will guard you,|Wisdom terms act as guardians.
2:12|rescuing you from the way of evil,\nfrom the man whose speech is twisted,|Retain male agent and speech distortion.
2:13|from those who leave straight paths\nto walk along dark ways,|Keep straight/dark contrast.
2:14|who rejoice in doing evil\nand delight in evil’s perversity,|Preserve enjoyment of wrongdoing.
2:15|whose paths are crooked\nand whose courses are devious.|Keep paired path metaphors.
2:16|Wisdom will also rescue you from the forbidden woman,\nfrom the outsider whose words are smooth,|Contextual sexual outsider; do not assert foreign ethnicity.
2:17|who abandons the companion of her youth\nand forgets the covenant of her God.|Keep companion and divine covenant without narrowing covenant’s referent.
2:18|Her house sinks toward death,\nand her paths lead to the shades of the dead.|Preserve descent and dead shades.
2:19|None who go to her return\nor reach the paths of life.|Keep warning’s absolute poetic force.
2:20|So you will walk in the way of the good\nand keep to the paths of the righteous.|Connect rescue to positive way.
2:21|For the upright will dwell in the land,\nand those of integrity will remain in it;|Keep land rather than spiritualizing place.
2:22|but the wicked will be cut off from the land,\nand the faithless will be uprooted from it.|Retain exclusion and uprooting images.
3:1|My son, do not forget my instruction;\nlet your heart keep my commands.|Retain parental instruction rather than silently making divine speech.
3:2|They will add length of days, years of life,\nand peace to you.|Keep duration and peace together.
3:3|Let faithful love and faithfulness never leave you.\nBind them around your neck;\nwrite them on the tablet of your heart.|Preserve paired virtues and inscription image.
3:4|Then you will find favor and a good reputation\nin the eyes of God and people.|Render good understanding contextually as reputation.
3:5|Trust in the LORD with all your heart;\ndo not lean on your own understanding.|Keep trust and leaning image.
3:6|Know him in all your ways,\nand he will make your paths straight.|Retain relational know rather than mere acknowledgment.
3:7|Do not be wise in your own eyes;\nfear the LORD and turn away from evil.|Keep self-estimation and ethical turning.
3:8|This will bring healing to your body\nand refreshment to your bones.|Body renders navel idiom; document concrete Hebrew in note.
3:9|Honor the LORD with your wealth\nand with the first of all your produce.|Retain first produce rather than generic generosity.
3:10|Then your barns will be filled with plenty,\nand your vats will overflow with new wine.|Preserve agricultural abundance.
3:11|My son, do not reject the LORD’s discipline\nor resent his correction.|Keep correction as painful but not unspecified punishment.
3:12|For the LORD corrects the one he loves,\nlike a father the son he delights in.|Retain father-son comparison and delight.
3:13|Happy is the person who finds wisdom,\nthe person who gains understanding.|Keep wisdom’s human beneficiary broad.
3:14|Her profit is better than silver’s;\nher yield is better than gold.|Feminine Wisdom and trade imagery remain.
3:15|She is more precious than jewels;\nnothing you desire can compare with her.|Follow read form peninim; exact precious material uncertain.
3:16|Long life is in her right hand;\nin her left are wealth and honor.|Retain right/left allocation.
3:17|Her ways are pleasant ways,\nand all her paths are peace.|Preserve repeated ways and comprehensive peace.
3:18|She is a tree of life to those who grasp her;\nthose who hold her fast are happy.|Keep tree of life as biblical image.
3:19|By wisdom the LORD founded the earth;\nby understanding he established the heavens.|Retain creation through wisdom parallel.
3:20|By his knowledge the deeps broke open,\nand the clouds drip dew.|Preserve deeps and dew rather than general rain.
3:21|My son, do not let these slip from your sight:\nguard sound wisdom and discretion.|Keep referential these with following specification.
3:22|They will be life for your soul\nand an adornment for your neck.|Retain life and necklace imagery.
3:23|Then you will walk your road securely,\nand your foot will not stumble.|Security remains in path image.
3:24|When you lie down, you will not be afraid;\nyou will lie down, and your sleep will be sweet.|Preserve repetition and restful image.
3:25|Do not fear sudden terror\nor the devastation of the wicked when it comes.|Leave devastation’s relation to wicked open.
3:26|For the LORD will be at your side\nand keep your foot from being caught.|Choose side for ambiguous confidence/side term; retain trap.
3:27|Do not withhold good from those to whom it is due\nwhen it is in your power to act.|Follow singular hand read form through power idiom.
3:28|Do not tell your neighbor, “Go away and come back;\nI will give it tomorrow,” when you have it now.|Follow singular neighbor and expose needless delay.
3:29|Do not plot harm against your neighbor\nwho lives beside you in trust.|Preserve betrayed trust.
3:30|Do not quarrel with someone for no reason\nwhen that person has done you no harm.|Keep cause qualification rather than universal ban on dispute.
3:31|Do not envy a violent man\nor choose any of his ways.|Retain violence as specific evil.
3:32|For the devious are detestable to the LORD,\nbut the upright share his confidence.|Keep moral contrast and intimacy of counsel.
3:33|The LORD’s curse is on the house of the wicked,\nbut he blesses the home of the righteous.|Retain explicit curse and household contrast.
3:34|He scoffs at scoffers,\nbut gives grace to the humble.|Follow humble read form; keep reciprocal scoffing.
3:35|The wise inherit honor,\nbut fools carry away disgrace.|Resolve difficult lifting verb contextually without erasing shame.
4:1|Sons, listen to a father’s discipline;\npay attention and learn understanding.|Retain plural sons and parental voice.
4:2|For I give you good teaching;\ndo not abandon my instruction.|Preserve teacher’s claim to good instruction.
4:3|When I was a son with my father,\ntender and the only one in my mother’s sight,|Keep remembered unique relationship, not infer family genealogy.
4:4|he taught me and said,\n“Let your heart hold fast to my words;\nkeep my commands and live.|Mark quoted father within father’s address.
4:5|Get wisdom; get understanding.\nDo not forget or turn away from what I say.|Preserve repeated acquisition imperative.
4:6|Do not abandon her, and she will guard you;\nlove her, and she will protect you.|Feminine personification stays visible.
4:7|The beginning of wisdom is this: get wisdom!\nWhatever else you acquire, get understanding.|Retain paradoxical beginning and acquisition repetition.
