1:1|The account of Nehemiah son of Hacaliah. In the month of Kislev, in the twentieth year, I was in the citadel of Susa.|Preserves the heading, first-person transition, and regnal year without supplying a king until chapter 2.
1:2|Hanani, one of my brothers, arrived with some men from Judah. I asked them about the Jews who had survived the captivity and about Jerusalem.|Keeps the kinship, travelers, and two subjects of inquiry clear.
1:3|They told me, “The survivors there in the province are in great trouble and disgrace. Jerusalem’s wall is broken down, and its gates have been burned.”|Preserves both human distress and physical destruction in the report.
1:4|When I heard this, I sat down and wept. For days I mourned, fasting and praying before the God of heaven.|Keeps the sustained grief and bodily practices without adding a duration.
1:5|I said, “Please, LORD, God of heaven, great and awe-inspiring God, you keep covenant and faithful love with those who love you and keep your commands.|Retains the covenant, faithful love, and reciprocal love and obedience language.
1:6|Let your ear be attentive and your eyes open to hear your servant’s prayer. Day and night I pray before you for your servants, the Israelites, confessing the sins we have committed against you. I and my father’s house have sinned too.|Preserves ear and eyes, continual prayer, and Nehemiah’s inclusion of his own household in confession.
1:7|We have acted very corruptly toward you. We have not kept the commands, statutes, and judgments you gave your servant Moses.|Retains the emphatic wrongdoing and three instruction categories.
1:8|Remember, please, what you commanded your servant Moses: ‘If you are unfaithful, I will scatter you among the peoples.|Keeps the appeal to remember and the conditional scattering.
1:9|But if you return to me, keep my commands, and carry them out, then even if your scattered people are at the farthest edge of heaven, I will gather them from there and bring them to the place I chose for my name to dwell.’|Preserves the extreme distance image and the chosen name-dwelling place.
1:10|They are your servants and your people, whom you redeemed by your great power and strong hand.|Retains redeemed and the strong hand rather than reducing the verse to generic rescue.
1:11|Please, Lord, let your ear be attentive to your servant’s prayer and to the prayers of your servants who delight in honoring your name. Give your servant success today, and let this man show him compassion.” I was cupbearer to the king.|Keeps the prayer’s deliberately unnamed man and its closing revelation of Nehemiah’s court role; fear sense explained in vocabulary.
2:1|In the month of Nisan, in the twentieth year of King Artaxerxes, wine was set before him. I took the wine and gave it to the king. I had never looked sad in his presence.|Preserves the date and court service while making the prior absence of visible sadness clear.
