1:1|In the eighth month of Darius’s second year, the word of the LORD came to Zechariah son of Berechiah, son of Iddo, the prophet:|Retains date and both ancestral names without deciding the title’s grammatical attachment beyond the familiar apposition.
1:2|“The LORD was very angry with your ancestors.|Preserves the emphatic anger opening.
1:3|Tell them: The LORD of Armies says, ‘Return to me,’ declares the LORD of Armies, ‘and I will return to you,’ says the LORD of Armies.|Retains all three divine-name formulas and the return/return reciprocity.
1:4|‘Do not be like your ancestors. The earlier prophets called to them: The LORD of Armies says, “Turn back from your evil ways and evil deeds.” But they would not listen or pay attention to me,’ declares the LORD.|Keeps ways/deeds paired and makes the nested prophetic speech clear.
1:5|‘Your ancestors—where are they? And the prophets—do they live forever?|Retains both questions without supplying answers.
1:6|But did not my words and decrees, which I commanded my servants the prophets, overtake your ancestors?’ Then they turned back and said, ‘The LORD of Armies has done to us just as he planned, in keeping with our ways and deeds.’”|Keeps the overtaking image and repeated ways/deeds in the response.
1:7|On the twenty-fourth day of the eleventh month, the month of Shebat, in Darius’s second year, the word of the LORD came to Zechariah son of Berechiah, son of Iddo, the prophet:|Preserves all date details and repeats the full prophetic identification.
1:8|During the night I saw a man riding a red horse. He stood among the myrtle trees in the hollow, with red, sorrel, and white horses behind him.|Retains the rider, hollow, myrtles, and three colors without identifying symbolic nations.
1:9|I asked, “What are these, my lord?” The angel speaking with me answered, “I will show you what they are.”|Distinguishes the interpreting angel from the seen rider while preserving the question.
1:10|The man standing among the myrtles said, “These are the ones the LORD has sent to patrol the earth.”|Keeps the rider’s reply and earthly patrol.
1:11|They answered the angel of the LORD standing among the myrtles: “We have patrolled the earth, and look—the whole earth is settled and quiet.”|Preserves the report’s troubling peace without equating it with justice.
1:12|Then the angel of the LORD said, “LORD of Armies, how long will you withhold compassion from Jerusalem and the cities of Judah, with which you have been angry these seventy years?”|Retains intercession, both regions, and the exact seventy years.
1:13|The LORD answered the angel speaking with me with good words, words of comfort.|Retains the repeated words and comforting answer.
1:14|The angel speaking with me said, “Proclaim this: The LORD of Armies says, ‘I am deeply jealous for Jerusalem and Zion.|Keeps jealousy and both city designations rather than replacing with generic concern.
1:15|I am very angry with the nations at ease. I was angry for a little while, but they made the harm worse.’|Preserves the contrast between divine anger and the nations’ aggravation of harm.
1:16|So the LORD says, ‘I have returned to Jerusalem with compassion. My house will be rebuilt within her,’ declares the LORD of Armies, ‘and a measuring line will be stretched over Jerusalem.’|Keeps restoration, rebuilding, and measuring as distinct actions.
1:17|Proclaim again: The LORD of Armies says, ‘My cities will again overflow with good things. The LORD will again comfort Zion and again choose Jerusalem.’”|Retains the repeated again and both comfort and choice.
1:18|I looked up and saw four horns.|Keeps the count and unexplained initial vision image.
1:19|I asked the angel speaking with me, “What are these?” He answered, “These are the horns that scattered Judah, Israel, and Jerusalem.”|Preserves all three named communities in the interpretation.
1:20|Then the LORD showed me four craftsmen.|Keeps the matching count without narrowing the craft prematurely.
1:21|I asked, “What have they come to do?” He answered, “Those horns scattered Judah so thoroughly that no one could lift his head. These have come to terrify them and throw down the horns of the nations that raised a horn against Judah’s land to scatter it.”|Retains head and horn imagery and explains the action’s referents through demonstratives.
2:1|I looked up and saw a man with a measuring cord in his hand.|Retains the repeated viewing formula and concrete measuring implement.
2:2|I asked, “Where are you going?” He answered, “To measure Jerusalem, to see how wide and how long it is.”|Keeps both dimensions and the intended action.
2:3|Then the angel speaking with me went out, and another angel came out to meet him.|Maintains two angels without merging their roles.
2:4|He said to him, “Run and tell that young man: ‘Jerusalem will be inhabited like open country because of the many people and animals within her.|Retains the unwalled-settlement image and includes animals in abundance.
2:5|I myself will be a wall of fire around her,’ declares the LORD, ‘and I will be glory within her.’”|Keeps the two forms of divine presence, surrounding and within.
2:6|“Come! Come! Flee from the land of the north,” declares the LORD. “For I have spread you out like the four winds of heaven,” declares the LORD.|Retains the repeated summons and four-winds comparison.
2:7|“Come, Zion! Escape, you who live with daughter Babylon!”|Preserves the two city personifications and exile setting.
2:8|For the LORD of Armies says—after glory he sent me to the nations that plundered you—“Whoever touches you touches the pupil of his eye.|Keeps the difficult after-glory clause, sent speaker, and his-eye pronoun without silent harmonization.
2:9|I will wave my hand over them, and they will become plunder for their own slaves.” Then you will know that the LORD of Armies sent me.|Retains the reversal between enslavers and slaves and the recognition formula.
