1:1|The oracle that Habakkuk the prophet saw.|Retains the vision verb and prophetic oracle label.
1:2|How long, LORD, must I cry for help\nwhile you do not listen?\nI cry out to you, “Violence!”\nbut you do not save.|Makes the complaint audible without resolving its accusation against divine inaction.
1:3|Why do you make me see wrongdoing\nand look on at misery?\nDestruction and violence confront me;\nstrife breaks out and conflict rises.|Preserves the change from the prophet seeing to God looking and the escalating conflict.
1:4|So instruction is paralyzed,\nand justice never prevails.\nThe wicked surround the righteous;\nthat is why justice comes out twisted.|Connects the repeated consequence while retaining instruction and distorted justice.
1:5|“Look among the nations! Look closely!\nBe utterly astonished!\nFor a work is being done in your days\nthat you would not believe if told.|Keeps the plural summons and the work’s initially unexpressed agent.
1:6|I am raising up the Chaldeans,\nthat bitter, headlong nation,\nwho march across the breadth of the earth\nto seize homes that are not theirs.|Retains Chaldeans and the concrete seizure of others’ homes.
1:7|They are frightening and fearsome;\ntheir justice and authority come from themselves.|Keeps the accusation of self-authorized rule without supplying modern political labels.
1:8|Their horses are faster than leopards,\nfiercer than wolves at dusk.\nTheir horsemen spread out;\ntheir horsemen come from far away,\nflying like an eagle rushing to feed.|Retains both horsemen clauses and the predator images.
1:9|They all come for violence,\ntheir faces pressing eastward.\nThey gather captives like sand.|Follows the difficult eastward wording provisionally and preserves the innumerable captives image.
1:10|They mock kings\nand laugh at rulers.\nThey laugh at every fortress,\nheap up earth, and capture it.|Preserves repeated laughter and the concrete siege-ramp action.
1:11|Then they sweep on like the wind and pass through—\nguilty people, whose strength is their god.”|Takes wind as comparison and keeps guilt attached to the invader’s self-deification.
1:12|Are you not from ancient times,\nLORD my God, my Holy One?\nWe will not die.\nLORD, you appointed them for judgment;\nRock, you established them for correction.|Keeps the pinned we-will-not-die reading and both divine titles.
1:13|Your eyes are too pure to look on evil;\nyou cannot gaze at misery.\nWhy, then, do you look on at traitors\nand stay silent when the wicked swallow\nthose more righteous than themselves?|Preserves the deliberate tension between inability to look and looking on.
1:14|You make human beings like fish in the sea,\nlike crawling creatures with no ruler.|Retains God as grammatical agent and human vulnerability in the animal comparison.
1:15|The enemy hauls them all up with a hook,\ndrags them in his net,\ngathers them in his dragnet.\nThat is why he rejoices and celebrates.|Identifies the continuing hostile singular figure for readers and retains all fishing implements.
1:16|That is why he sacrifices to his net\nand burns incense to his dragnet:\nthrough them his share is rich\nand his food plentiful.|Connects idolatrous worship to material benefit without turning the metaphor into explanation.
1:17|Will he keep emptying his net, then,\nand killing nations without mercy?|Keeps the unresolved closing question and repeated predation.
2:1|I will stand at my watchpost\nand take my place on the rampart.\nI will watch to see what he says to me\nand how I should answer about my complaint.|Retains first-person answer rather than changing it to God’s answer; notes the final clause’s difficulty.
2:2|The LORD answered me:\n“Write the vision;\nmake it plain on tablets,\nso the one who reads it can run.|Keeps the running reader image without choosing reading-on-the-run or messenger exclusively.
2:3|The vision is still for its appointed time.\nIt presses toward the end and will not lie.\nIf it delays, wait for it;\nit will surely come. It will not be late.|Retains the deliberate delay/not-late tension and the certain coming.
2:4|Look at the swollen one—\nhis life within him is not upright.\nBut the righteous will live by their faithfulness.|Preserves the difficult swollen description and personal faithfulness, with faith’s range noted.
2:5|Wine, too, betrays.\nThe arrogant man will not stay at rest.\nHe opens his appetite as wide as Sheol;\nlike death, he is never satisfied.\nHe gathers all nations to himself\nand collects all peoples.|Follows pinned wine rather than an emendation and retains Sheol and insatiable conquest.
2:6|Will not all of them take up a taunt against him,\na mocking riddle, and say:\n‘Woe to the one who piles up what is not his—\nhow long?—\nand loads himself with pledges!’|Keeps the embedded how-long cry and ambiguous debt/pledge image.
2:7|Will not your creditors suddenly rise?\nWill not those who make you tremble wake up?\nThen you will become their plunder.|Retains the reversal and notes the biting/creditor wordplay.
2:8|Because you plundered many nations,\nall the peoples left will plunder you—\nfor human bloodshed and violence against the land,\nthe city, and all who live in it.|Maintains repeated plunder and the full refrain of harmed places and people.
2:9|Woe to the one who makes evil profit for his house,\nsetting his nest high\nto escape the reach of harm!|Keeps house/nest relation and the ironic attempt to secure safety through harm.
2:10|You have planned shame for your own house\nby cutting off many peoples;\nyou have sinned against your own life.|Retains the reflexive cost of the oppressor’s plan.
2:11|A stone will cry out from the wall,\nand a timber beam will answer it.|Preserves the building materials as speaking witnesses.
2:12|Woe to the one who builds a town with bloodshed\nand establishes a city through injustice!|Keeps both building clauses and distinct bloodshed/injustice terms.
2:13|Is this not from the LORD of Armies:\npeoples labor only to feed the fire,\nand nations exhaust themselves for nothing?|Makes the rhetorical question readable while retaining the destruction of labor’s results.
2:14|For the earth will be filled\nwith knowledge of the LORD’s glory,\nas waters cover the sea.|Retains the recognizable image and glory rather than forcing novelty.
2:15|Woe to the one who makes his neighbor drink,\npouring out your fury and making them drunk\nso you can look at their nakedness!|Preserves the source’s person shifts and sexual exposure; notes fury/poison ambiguity.
2:16|You are filled with disgrace instead of glory.\nDrink, you too, and expose your uncircumcision!\nThe cup in the LORD’s right hand will come around to you,\nand filthy shame will cover your glory.|Retains the pinned uncircumcision image and the shame/glory reversal.
2:17|For the violence done to Lebanon will engulf you,\nas will the destruction of animals that terrified them,\nbecause of human bloodshed and violence against the land,\nthe city, and all who live in it.|Restores a readable parallel clause while retaining the difficult animals/them pronoun and the explicit cause.
2:18|What use is a carved image that its maker carved,\na cast image that teaches lies?\nIts maker trusts his own creation,\nmaking idols that cannot speak.|Keeps the maker/made recurrence and mute idols in natural syntax.
2:19|Woe to the one who tells wood, ‘Wake up!’\nand a silent stone, ‘Get up!’\nCan it teach?\nLook, it is coated with gold and silver,\nbut there is no breath at all inside it.|Retains direct absurd commands and the contrast of costly covering and absent breath.
2:20|But the LORD is in his holy temple.\nLet all the earth be silent before him.”|Keeps the contrast with mute idols and universal silence.
3:1|A prayer of Habakkuk the prophet, according to Shigionoth.|Preserves the uncertain performance term rather than inventing a musical description.
3:2|LORD, I have heard the report about you;\nI am afraid.\nLORD, bring your work to life in these years;\nmake it known in these years.\nIn your turmoil, remember compassion.|Retains repeated years and the appeal for compassion within divine upheaval.
3:3|God comes from Teman,\nthe Holy One from Mount Paran. Selah.\nHis splendor covers the heavens;\nhis praise fills the earth.|Preserves locations, the divine appearance, and the performance marker.
3:4|His brightness is like light;\nrays flash from his hand,\nand there his power is hidden.|Renders horns as rays in the light context and notes the literal image.
3:5|Plague goes before him,\nand pestilence follows at his feet.|Retains the personified attendants without adding mythological identities.
3:6|He stands and measures the earth;\nhe looks, and nations leap in alarm.\nAncient mountains shatter;\nage-old hills bow down.\nHis paths are everlasting.|Follows measures rather than silently changing the verb to shakes; preserves ancient/everlasting contrasts.
3:7|I see the tents of Cushan under affliction;\nthe tent curtains of Midian tremble.|Retains Cushan as written and the parallel tent images.
3:8|Was the LORD angry with the rivers?\nWas your anger against the rivers,\nyour fury against the sea,\nwhen you rode your horses,\nyour chariots of salvation?|Keeps the shift into direct address and the repeated question rather than explaining it away.
3:9|You draw your bow bare—\noaths, rods, a word. Selah.\nYou split the earth with rivers.|Preserves the very uncertain middle words in a restrained rendering with an explicit note, not a confident invented scene.
3:10|The mountains see you and writhe;\na torrent of water sweeps past.\nThe deep raises its voice\nand lifts its hands high.|Keeps the natural world’s bodily personification.
3:11|Sun and moon stand still in their dwelling\nat the light of your flying arrows,\nat the gleam of your flashing spear.|Retains celestial stillness and both divine weapons.
3:12|In indignation you march through the earth;\nin anger you thresh the nations.|Keeps the agricultural violence image and parallel emotions.
3:13|You go out to save your people,\nto save your anointed one.\nYou crush the head of the wicked house,\nlaying it bare from foundation to neck. Selah.|Retains the unnamed anointed one and mixed house/body image without harmonizing it.
3:14|With his own shafts you pierce the head of his warriors,\nwho storm out to scatter me,\ndelighting as though to devour the poor in hiding.|Follows the read plural warriors and preserves me and the predatory comparison.
3:15|You tread through the sea with your horses,\nthrough the surge of mighty waters.|Retains the mounted divine action and turbulent waters.
3:16|I hear, and my body trembles;\nat the sound my lips quiver.\nDecay enters my bones,\nand my legs shake beneath me.\nYet I will wait quietly for the day of distress\nto come upon the people who raid us.|Unfolds bodily fear into readable clauses and records the difficult final expectation without overclaiming certainty.
3:17|Though the fig tree does not blossom\nand there is no fruit on the vines,\nthough the olive crop fails\nand the fields produce no food,\nthough the flock is cut off from the pen\nand there are no cattle in the stalls,|Keeps all six losses and lets the concessive sentence continue into the next verse.
3:18|yet I will celebrate in the LORD;\nI will rejoice in the God who saves me.|Retains the first-person resolve and double rejoicing despite the preceding losses.
