1:1|The revelation of Jesus Christ, which God gave him to show his slaves what must happen soon. He made it known by sending his angel to his slave John,|Preserves the revelation-of relation, delegated disclosure and explicit slave language.
1:2|who bore witness to God's word and the testimony of Jesus Christ—to everything he saw.|Keeps testimony of Jesus Christ open and binds the witness to the vision.
1:3|Blessed is the one who reads aloud, and blessed are those who hear the words of the prophecy and keep what is written in it, because the time is near.|Distinguishes the singular public reader from plural hearers and retains keeping and nearness.
1:4|John, to the seven churches in Asia: grace and peace to you from the one who is and who was and who is coming, and from the seven spirits before his throne,|Keeps seven spirits and the unusual divine time formula without interpreting them away.
1:5|and from Jesus Christ, the faithful witness, the firstborn of the dead and the ruler of the kings of the earth. To the one who loves us and freed us from our sins by his blood—|Follows freed rather than washed and preserves all three titles and the unfinished doxology.
1:6|and made us a kingdom, priests to his God and Father—to him be glory and power forever and ever. Amen.|Keeps kingdom rather than kings and the relation his God and Father.
1:7|Look, he is coming with the clouds,\nand every eye will see him,\neven those who pierced him,\nand all the tribes of the earth will mourn over him.\nYes, amen.|Preserves the prophetic imagery and tribes/earth range without specifying a future calendar.
1:8|“I am the Alpha and the Omega,” says the Lord God, “the one who is and who was and who is coming, the Almighty.”|Keeps the Greek letter names and exact divine title without an added beginning/end expansion.
1:9|I, John, your brother and fellow participant in the suffering, kingdom and endurance in Jesus, was on the island called Patmos because of God's word and the testimony of Jesus.|Preserves the three shared realities and leaves because of and testimony of open.
1:10|I was in the Spirit on the Lord's day, and I heard behind me a loud voice like a trumpet,|Keeps the visionary phrase and Lord's day without supplying a weekday.
1:11|saying, “Write what you see in a scroll and send it to the seven churches: Ephesus, Smyrna, Pergamum, Thyatira, Sardis, Philadelphia and Laodicea.”|Preserves every city in order and the shorter pinned instruction.
1:12|I turned to see the voice that was speaking to me. When I turned, I saw seven golden lampstands,|Retains the striking see-the-voice expression and repeated turning.
1:13|and among the lampstands, one like a son of man, dressed in a robe reaching to his feet, with a golden sash around his chest.|Keeps the son-of-man allusion, comparison and clothing details.
1:14|His head and hair were white like white wool, like snow, and his eyes were like a flame of fire.|Preserves the doubled white and successive comparisons.
1:15|His feet were like burnished bronze, as though refined in a furnace, and his voice was like the sound of many waters.|Retains the metal and water imagery with the uncertain alloy noted.
1:16|In his right hand he held seven stars. A sharp, double-edged sword came out of his mouth, and his face was like the sun shining in its strength.|Keeps right hand, seven and the bodily sword image without explanation.
1:17|When I saw him, I fell at his feet as though dead. He laid his right hand on me and said, “Do not be afraid. I am the first and the last,|Preserves the reaction, reassuring touch and title leading into the next verse.
1:18|and the living one. I was dead, and look—I am alive forever and ever! I hold the keys of Death and Hades.|Keeps death and life together and distinguishes Hades from later lake-of-fire imagery.
1:19|So write what you have seen, what is, and what is to happen after these things.|Retains the threefold time relation without imposing a book outline.
1:20|As for the mystery of the seven stars you saw in my right hand and the seven golden lampstands: the seven stars are the angels of the seven churches, and the seven lampstands are seven churches.”|Preserves the interpretation the vision itself supplies and leaves angels' identity unspecified.
2:1|“To the angel of the church in Ephesus write: These are the words of the one who holds the seven stars in his right hand and walks among the seven golden lampstands:|Keeps the recurring address formula and both images from the opening vision.
2:2|I know your works, your labor and your endurance. I know that you cannot tolerate evil people, and that you tested those who call themselves apostles but are not, and found them false.|Preserves the testing and its result without expanding the opponents' identity.
2:3|You have endurance and have borne up for my name, and you have not grown weary.|Keeps endurance, bearing and labor-related weariness connected.
2:4|But I have this against you: you have abandoned the love you had at first.|Preserves the accusation without specifying the love's object.
2:5|Remember, then, from where you have fallen. Repent and do the works you did at first. Otherwise I will come to you and remove your lampstand from its place, unless you repent.|Keeps both repentance clauses and the concrete threatened removal.
2:6|Yet you have this in your favor: you hate the works of the Nicolaitans, which I also hate.|Retains the named group and hatred of its works.
2:7|Let anyone with an ear hear what the Spirit says to the churches. To the one who overcomes, I will give food from the tree of life in God's paradise.|Preserves the repeated hearing formula, overcoming promise and tree image.
2:8|“To the angel of the church in Smyrna write: These are the words of the first and the last, who was dead and came to life:|Keeps the title and death-to-life claim distinct from other addresses.
2:9|I know your suffering and poverty—but you are rich—and the slander from those who say they are Jews and are not, but are a synagogue of Satan.|Retains the speaker's localized polemical claim without extending it to Jews generally.
