1:1|Adam, Seth, Enosh,|Preserve the opening lineage as names rather than inventing narrative.
1:2|Kenan, Mahalalel, Jared,|Keep the next three generations in order.
1:3|Enoch, Methuselah, Lamech,|Retain all three names and their sequence.
1:4|Noah; Shem, Ham, and Japheth.|Use punctuation to distinguish Noah from the three following branches.
1:5|Japheth’s sons were Gomer, Magog, Madai, Javan, Tubal, Meshech, and Tiras.|Retain all seven branches.
1:6|Gomer’s sons were Ashkenaz, Diphath, and Togarmah.|Keep Diphath rather than harmonizing Genesis’ Riphath.
1:7|Javan’s sons were Elishah, Tarshish, Kittim, and Rodanim.|Retain Rodanim as written here.
1:8|Ham’s sons were Cush, Egypt, Put, and Canaan.|Use Egypt for Mizraim consistently with the earlier Genesis revision.
1:9|Cush’s sons were Seba, Havilah, Sabta, Raama, and Sabteca. Raama’s sons were Sheba and Dedan.|Keep the two generations and distinguish Seba from Sheba.
1:10|Cush fathered Nimrod, who was the first to become a mighty man on earth.|Retain mighty man without adding hunter from Genesis.
1:11|Egypt fathered the Ludites, Anamites, Lehabites, Naphtuhites,|Render the plural descendants as peoples and continue the list across labels.
1:12|Pathrusites, Casluhites, from whom the Philistines came, and Caphtorites.|Keep the Philistine parenthesis where the source places it.
1:13|Canaan fathered Sidon his firstborn and Heth,|Retain Sidon’s firstborn status.
1:14|the Jebusites, Amorites, Girgashites,|Preserve all three people groups.
1:15|Hivites, Arkites, Sinites,|Keep the continuing Canaanite list.
1:16|Arvadites, Zemarites, and Hamathites.|Close the list without omitting its final groups.
1:17|Shem’s descendants were Elam, Asshur, Arpachshad, Lud, Aram, Uz, Hul, Gether, and Meshech.|Use descendants for the compressed generations and retain Meshech, not Genesis’ Mash.
1:18|Arpachshad fathered Shelah, and Shelah fathered Eber.|Retain the two-step descent.
1:19|Eber had two sons. One was named Peleg, because in his days the earth was divided; his brother’s name was Joktan.|Preserve the division explanation without choosing a modern geological theory.
1:20|Joktan fathered Almodad, Sheleph, Hazarmaveth, Jerah,|Keep the list open across verses.
1:21|Hadoram, Uzal, Diklah,|Retain all three names.
1:22|Ebal, Abimael, Sheba,|Keep Ebal rather than Genesis’ Obal.
1:23|Ophir, Havilah, and Jobab. All these were Joktan’s sons.|Retain the closing family summary.
1:24|Shem, Arpachshad, Shelah,|Keep the resumed single lineage distinct from the preceding branches.
1:25|Eber, Peleg, Reu,|Preserve the generations’ order.
1:26|Serug, Nahor, Terah,|Retain all three names.
1:27|Abram—that is, Abraham.|Keep the explicit identity statement.
1:28|Abraham’s sons were Isaac and Ishmael.|Preserve Isaac before Ishmael as listed.
1:29|These are their family lines: Ishmael’s firstborn was Nebaioth, followed by Kedar, Adbeel, Mibsam,|Keep the family-line heading and firstborn distinction.
