1:1|In the second year of King Darius, on the first day of the sixth month, the word of the LORD came through Haggai the prophet to Zerubbabel son of Shealtiel, governor of Judah, and to Joshua son of Jehozadak, the high priest:|Retains the precise date, both patronymics, and distinct offices.
1:2|The LORD of Armies says, “These people say, ‘The time has not come—the time to rebuild the LORD’s house.’”|Preserves the repeated time in the people’s quoted excuse.
1:3|Then the word of the LORD came through Haggai the prophet:|Retains the repeated prophetic messenger introduction.
1:4|“Is it time for you yourselves to live in paneled houses while this house lies in ruins?”|Keeps the emphatic you and the contrast between private houses and this house.
1:5|Now the LORD of Armies says, “Think carefully about your ways.|Gives the set-your-heart idiom a repeatable natural rendering.
1:6|You sow much but bring in little. You eat but never have enough. You drink but are not filled. You put on clothes but are not warm. Those who earn wages put them into a bag full of holes.”|Retains all five frustrated activities and the concrete leaking-bag image.
1:7|The LORD of Armies says, “Think carefully about your ways.|Repeats the exact wording of the recurring summons.
1:8|Go up into the hills, bring timber, and rebuild the house. Then I will take pleasure in it and be honored,” says the LORD.|Keeps all three commands and the read be-honored form.
1:9|“You expected much, but look—there was little. You brought it home, and I blew it away. Why?” declares the LORD of Armies. “Because my house lies in ruins while each of you runs to his own house.|Preserves the surprising divine action and the house/house contrast.
1:10|That is why the heavens above you have withheld dew and the earth has withheld its produce.|Keeps both withholding clauses and dew rather than generalizing to rain.
1:11|I called for drought on the land and the hills, on grain, new wine, and oil, on everything the ground produces, on humans and animals, and on all the work of your hands.”|Retains the full list of affected crops, creatures, and labor.
1:12|Zerubbabel son of Shealtiel, Joshua son of Jehozadak the high priest, and all the remnant of the people listened to the voice of the LORD their God and to the words of Haggai the prophet, whom the LORD their God had sent. The people feared the LORD.|Keeps the two leaders and remnant together and all three divine-name occurrences.
1:13|Haggai, the LORD’s messenger, delivered the LORD’s message to the people: “I am with you,” declares the LORD.|Preserves the messenger/message wordplay and repeated sender identification.
1:14|The LORD stirred the spirit of Zerubbabel son of Shealtiel, governor of Judah, the spirit of Joshua son of Jehozadak, the high priest, and the spirit of all the remnant of the people. They came and worked on the house of the LORD of Armies, their God,|Retains each spirit separately and lets the sentence continue into its date.
1:15|on the twenty-fourth day of the sixth month, in the second year of King Darius.|Keeps the closing work date complete and attached to the preceding action.
2:1|On the twenty-first day of the seventh month, the word of the LORD came through Haggai the prophet:|Retains the exact second date and messenger formula.
2:2|“Speak to Zerubbabel son of Shealtiel, governor of Judah, to Joshua son of Jehozadak, the high priest, and to the remnant of the people. Say:|Preserves the three addressees and their formal titles.
2:3|‘Who is left among you who saw this house in its former glory? How does it look to you now? Does it not seem like nothing in your eyes?|Makes the three questions natural without softening the comparison.
2:4|But now, be strong, Zerubbabel,’ declares the LORD. ‘Be strong, Joshua son of Jehozadak, high priest. Be strong, all you people of the land,’ declares the LORD. ‘Get to work, for I am with you,’ declares the LORD of Armies.|Preserves all three be-strong commands and all three declarations.
2:5|‘This is the word I covenanted with you when you came out of Egypt, and my spirit remains among you. Do not be afraid.’|Keeps the compressed covenant-word construction, exodus reference, and abiding spirit.
