1:1|In my first account, Theophilus, I wrote about everything Jesus began to do and teach|Preserves address, prior volume, comprehensive scope, and paired action and teaching.
1:2|until the day he was taken up, after giving commands through the Holy Spirit to the apostles he had chosen.|Keeps time limit, ascension, Spirit-mediated commands, and chosen apostles.
1:3|After his suffering, he presented himself alive to them with many convincing proofs. He appeared to them over forty days and spoke about the kingdom of God.|Preserves suffering, living presence, evidence, exact duration, appearances, and kingdom teaching.
1:4|While he was eating with them, he ordered them not to leave Jerusalem but to wait for the Father’s promise, “which you heard about from me.|Renders the likely shared-meal setting and preserves command, city, waiting, Father, and Jesus’ prior promise.
1:5|John baptized with water, but in just a few days you will be baptized with the Holy Spirit.”|Keeps John, water, contrast, near timing, and Spirit baptism.
1:6|So when they had come together, they asked him, “Lord, is this the time when you will restore the kingdom to Israel?”|Preserves gathering, temporal question, restoration, kingdom, and Israel.
1:7|He told them, “It is not for you to know the times or seasons the Father has set by his own authority.|Keeps prohibition on knowledge, two time terms, Father, and sovereign authority.
1:8|But you will receive power when the Holy Spirit comes upon you, and you will be my witnesses in Jerusalem, throughout Judea and Samaria, and to the ends of the earth.”|Preserves contrast, Spirit-given power, witness, geographic movement, and world horizon.
1:9|After saying this, he was lifted up as they watched, and a cloud took him from their sight.|Keeps speech sequence, visible ascent, cloud, and loss of sight.
1:10|As they were staring into heaven while he went, suddenly two men in white clothing stood beside them.|Preserves sustained gaze, movement, exact number, clothing, and sudden presence.
1:11|They said, “Men of Galilee, why do you stand looking into heaven? This Jesus, who was taken from you into heaven, will come in the same way you saw him go into heaven.”|Keeps address, question, this Jesus, ascent, promised return, and manner.
1:12|Then they returned to Jerusalem from the mountain called the Mount of Olives, which is near Jerusalem—a Sabbath day’s journey away.|Preserves return, named mountain, proximity, and ancient travel measure.
1:13|When they arrived, they went up to the upstairs room where they were staying: Peter, John, James, Andrew, Philip, Thomas, Bartholomew, Matthew, James son of Alphaeus, Simon the Zealot, and Judas son of James.|Keeps location and the full ordered list with relationships.
1:14|All of them were united and devoted to prayer, together with the women, Mary the mother of Jesus, and his brothers.|Preserves unanimity, persistence, prayer, women, Mary, and Jesus’ brothers.
1:15|In those days Peter stood among the brothers and sisters—a gathering of about 120 people—and said,|Keeps time, Peter’s action, inclusive community sense, approximate number, and speech opening.
1:16|“Brothers and sisters, the Scripture had to be fulfilled that the Holy Spirit spoke beforehand through David’s mouth concerning Judas, who became a guide for those who arrested Jesus.|Preserves community address, scriptural necessity, Spirit, David, Judas, and arrest role.
1:17|For he was counted among us and received a share in this ministry.”|Keeps Judas’s membership and allotted ministry.
1:18|Now this man acquired a field with the wages of injustice. Falling headfirst, he burst open in the middle, and all his insides spilled out.|Preserves field, corrupt payment, fall, bodily rupture, and graphic death.
1:19|Everyone living in Jerusalem learned about this, so in their own language they called that field Akeldama, meaning Field of Blood.|Keeps public knowledge, local language, name, and translation.
1:20|“For it is written in the book of Psalms: ‘Let his dwelling become desolate; let no one live in it,’ and, ‘Let another take his position of oversight.’|Preserves two distinct quotations and oversight role.
1:21|Therefore, one of the men who accompanied us the whole time the Lord Jesus went in and out among us—|Keeps conclusion, male candidate requirement in this episode, continuous companionship, and idiom of activity.
1:22|beginning with John’s baptism until the day Jesus was taken up from us—must become a witness with us to his resurrection.”|Preserves exact span and required resurrection witness.
1:23|So they proposed two: Joseph called Barsabbas, who was also called Justus, and Matthias.|Keeps exact number and every name.
1:24|Then they prayed, “Lord, you know every heart. Show which one of these two you have chosen|Preserves prayer, heart knowledge, exact candidates, and divine choice.
1:25|to take the place in this ministry and apostleship from which Judas turned away to go to his own place.”|Keeps ministry, apostleship, Judas’s departure, and restrained destination phrase.
1:26|They cast lots for them, and the lot fell to Matthias, so he was counted with the eleven apostles.|Preserves method, result, name, and restored count.
2:1|When the day of Pentecost had fully arrived, they were all together in one place.|Keeps festival timing, completion, whole group, and unity.
2:2|Suddenly a sound came from heaven like a violent rushing wind, and it filled the whole house where they were sitting.|Preserves suddenness, heavenly origin, comparison rather than literal wind, force, and full house.
2:3|Tongues like fire appeared to them, divided and resting on each one of them.|Keeps visual comparison, division, and individual distribution.
2:4|All of them were filled with the Holy Spirit and began to speak in other languages as the Spirit enabled them to speak.|Preserves universal filling, other tongues or languages, and Spirit-given utterance.
2:5|Now devout Jewish people from every nation under heaven were living in Jerusalem.|Keeps Jewish identity, devotion, comprehensive origins, and residence.
2:6|When this sound occurred, the crowd gathered and was bewildered, because each person heard them speaking in that person’s own language.|Preserves sound, gathering, confusion, and individualized hearing.
2:7|They were amazed and astonished, saying, “Look, aren’t all these people who are speaking Galileans?|Keeps double reaction, question, and Galilean identity.
2:8|Then how does each of us hear them in our own native language?|Preserves each hearer, birth language, and wonder.
2:9|Parthians, Medes, Elamites; residents of Mesopotamia, Judea, Cappadocia, Pontus, and Asia;|Keeps the geographic list and resident distinction.
2:10|Phrygia and Pamphylia, Egypt and the parts of Libya near Cyrene; visitors from Rome,|Preserves regions and Roman visitors.
2:11|both Jewish people and converts to Judaism; Cretans and Arabs—we hear them declaring God’s mighty works in our own languages!”|Keeps identities, proselytes, languages, and content of speech.
2:12|They were all amazed and perplexed, asking one another, “What does this mean?”|Preserves universal reaction, uncertainty, mutual question, and meaning.
2:13|But others mocked them and said, “They are full of sweet wine.”|Keeps contrasting mockery and intoxication accusation.
