1:1|Paul, called to be an apostle of Christ Jesus by God's will, and our brother Sosthenes,|Preserves divine calling and Sosthenes's shared kinship.
1:2|to God's church in Corinth, to those made holy in Christ Jesus and called to be saints, together with all who in every place call on the name of our Lord Jesus Christ—their Lord and ours:|Keeps location, sanctification, calling, and worldwide shared lordship.
1:3|Grace to you and peace from God our Father and the Lord Jesus Christ.|Retains the paired greeting and both sources.
1:4|I always thank my God for you because of God's grace given to you in Christ Jesus.|Keeps thanksgiving grounded in given grace.
1:5|For in him you were enriched in every way, in all speech and all knowledge,|Preserves repeated all and the two gifts.
1:6|just as the testimony about Christ was confirmed among you,|Keeps the confirming relation to the community.
1:7|so that you do not lack any gift as you eagerly await the revealing of our Lord Jesus Christ.|Preserves gifted sufficiency and eschatological waiting.
1:8|He will also strengthen you to the end, blameless on the day of our Lord Jesus Christ.|Keeps Christ's sustaining action and final-day horizon.
1:9|God is faithful, through whom you were called into fellowship with his Son, Jesus Christ our Lord.|Preserves God's faithfulness and participatory fellowship.
1:10|Now I urge you, brothers and sisters, by the name of our Lord Jesus Christ, that all of you agree and that there be no divisions among you, but that you be restored in the same mind and the same purpose.|Keeps the appeal, divisions, and paired mental unity.
1:11|For it has been reported to me about you, my brothers and sisters, by Chloe's people, that there are quarrels among you.|Names Chloe's household as the report's source.
1:12|What I mean is this: each of you says, “I belong to Paul,” “I to Apollos,” “I to Cephas,” or “I to Christ.”|Preserves every factional slogan.
1:13|Has Christ been divided? Was Paul crucified for you? Or were you baptized into Paul's name?|Keeps the three sharp rhetorical questions.
1:14|I thank God that I baptized none of you except Crispus and Gaius,|Retains named exceptions and continuing sentence.
1:15|so that no one can say you were baptized into my name.|Keeps the stated anti-factional purpose.
1:16|I also baptized the household of Stephanas. Beyond that, I do not know whether I baptized anyone else.|Preserves Paul's self-correction and uncertainty.
1:17|For Christ did not send me to baptize but to proclaim the good news—not with eloquent wisdom, so that Christ's cross would not be emptied of its power.|Keeps commission, contrast, and emptied-cross image.
1:18|For the message of the cross is foolishness to those who are perishing, but to us who are being saved it is God's power.|Preserves present processes and the stark contrast.
1:19|For it is written: “I will destroy the wisdom of the wise, and I will reject the understanding of the intelligent.”|Keeps both divine actions in the quotation.
1:20|Where is the wise person? Where is the scribe? Where is the debater of this age? Has God not made the world's wisdom foolish?|Retains the rapid questions and age/world terms.
1:21|For since, in God's wisdom, the world did not know God through wisdom, God was pleased through the foolishness of what is proclaimed to save those who believe.|Preserves the wisdom wordplay and divine pleasure.
1:22|For Jews ask for signs and Greeks seek wisdom,|Names both groups and their differing quests.
1:23|but we proclaim Christ crucified: a stumbling block to Jews and foolishness to Gentiles,|Keeps crucifixion and both audience reactions.
1:24|yet to those who are called, both Jews and Greeks, Christ is God's power and God's wisdom.|Preserves common calling and repeated divine predicates.
1:25|For God's foolishness is wiser than human wisdom, and God's weakness is stronger than human strength.|Keeps the paradoxical comparative pairs.
1:26|Consider your calling, brothers and sisters: not many of you were wise by human standards, not many powerful, not many of noble birth.|Preserves social categories and repeated not many.
1:27|But God chose the foolish things of the world to shame the wise, and God chose the weak things of the world to shame the strong.|Keeps divine choice and both reversals.
1:28|God chose the lowborn and despised things of the world—things that are not—to bring to nothing the things that are,|Retains social contempt and being/nonbeing contrast.
1:29|so that no human being may boast before God.|Keeps the universal prohibition on boasting.
1:30|But it is from God that you are in Christ Jesus, who became for us wisdom from God—and righteousness, holiness, and redemption—|Preserves divine source and the fourfold gift.
1:31|so that, as it is written, “Let the one who boasts boast in the Lord.”|Keeps the scriptural redirection of boasting.
2:1|And when I came to you, brothers and sisters, I did not come with superior speech or wisdom as I proclaimed God's testimony to you.|Preserves Paul's manner and the pinned testimony reading.
2:2|For I decided to know nothing among you except Jesus Christ—and him crucified.|Keeps the deliberate narrowed focus.
2:3|I came to you in weakness, fear, and much trembling.|Retains all three conditions without idealizing Paul.
2:4|My speech and my proclamation were not in persuasive words of wisdom but in a demonstration of the Spirit and power,|Keeps rhetoric/power contrast and continuing purpose.
2:5|so that your faith would not rest on human wisdom but on God's power.|Preserves the foundation contrast.
2:6|Yet we do speak wisdom among the mature, though not the wisdom of this age or of this age's rulers, who are passing away.|Keeps maturity, present age, and doomed rulers.
2:7|Instead, we speak God's wisdom in a mystery, the hidden wisdom God determined before the ages for our glory.|Preserves mystery, hiddenness, prior purpose, and glory.
2:8|None of this age's rulers understood it, for if they had, they would not have crucified the Lord of glory.|Keeps rulers responsible and the striking divine title.
2:9|But as it is written: “What no eye has seen, no ear has heard, and no human heart has imagined—what God has prepared for those who love him.”|Preserves the three human limits and God's preparation.
2:10|But God revealed these things to us through the Spirit, for the Spirit searches everything, even God's depths.|Keeps revelation and searching divine depths.
2:11|For who among humans knows a person's thoughts except that person's spirit within? In the same way, no one knows God's thoughts except God's Spirit.|Preserves the human/divine analogy.
2:12|Now we did not receive the spirit of the world but the Spirit who is from God, so that we may know the things God has graciously given us.|Keeps source contrast and grace-gift purpose.
2:13|We also speak these things, not in words taught by human wisdom but in words taught by the Spirit, interpreting spiritual things to spiritual people.|Chooses a defensible reading of the compressed final phrase.
2:14|But the merely natural person does not receive the things of God's Spirit, for they are foolishness to that person, who cannot understand them because they are discerned spiritually.|Preserves incapacity and spiritual discernment.
2:15|The spiritual person discerns all things but is himself judged by no one.|Keeps the universal contrast without claiming omniscience.
2:16|For “who has known the Lord's mind so as to instruct him?” But we have Christ's mind.|Preserves quotation and communal conclusion.
3:1|And I, brothers and sisters, could not speak to you as spiritual people but as fleshly people, as infants in Christ.|Keeps Paul's direct rebuke and infancy image.
3:2|I fed you milk, not solid food, because you were not yet able to receive it. Even now you still are not able,|Preserves feeding metaphor and repeated inability.
3:3|for you are still fleshly. Since jealousy and quarrels are among you, are you not fleshly and walking in a merely human way?|Keeps evidence and rhetorical diagnosis.
3:4|For when one says, “I belong to Paul,” and another, “I belong to Apollos,” are you not merely human?|Retains factional slogans and question.
3:5|What then is Apollos? And what is Paul? Servants through whom you believed, as the Lord assigned to each.|Keeps leaders as instruments, not owners.
3:6|I planted, Apollos watered, but God caused the growth.|Preserves distinct work and divine agency.
3:7|So neither the one who plants nor the one who waters is anything, but only God who causes the growth.|Keeps human diminishment and divine growth.
