24:1|Look! The **LORD** is emptying the earth, laying it waste,\ntwisting its surface and scattering its people.|Keep earth-wide devastation and four actions.
24:2|It will be the same for people and priest,\nslave and master, slave woman and mistress,\nbuyer and seller, lender and borrower,\ncreditor and debtor.|Preserve six paired social relationships and specific female slavery.
24:3|The earth will be utterly emptied,\nutterly plundered,\nfor the **LORD** has spoken this word.|Repeat emphatic destruction and speech authority.
24:4|The earth mourns and withers;\nthe world droops and withers;\nthe earth’s highest people droop.|Keep repeated withering and height image.
24:5|The earth is defiled beneath its inhabitants,\nfor they have crossed the boundaries of instruction,\nviolated the statute, broken the everlasting covenant.|Retain three transgressions and covenant without naming a specific covenant.
24:6|So a curse devours the earth,\nand its inhabitants bear their guilt.\nSo earth’s inhabitants are scorched,\nand few people remain.|Keep doubled consequence, guilt, and scorching.
24:7|New wine mourns, the vine droops;\nall the lighthearted sigh.|Retain personified wine and reversal of joy.
24:8|The tambourines’ joy has stopped,\nthe revelers’ noise has ceased,\nthe lyre’s joy has stopped.|Repeat stopped joy and retain instruments.
24:9|They no longer drink wine with a song;\nstrong drink tastes bitter to those who drink it.|Keep changed drinking experience.
24:10|The city of emptiness is shattered;\nevery house is shut against entry.|Retain tohu emptiness and shut houses.
24:11|In the streets people cry out for wine.\nAll gladness has darkened;\nearth’s joy has gone into exile.|Keep darkness and exile as joy images.
24:12|Only desolation remains in the city;\nits gate is battered into ruins.|Retain gate as concrete civic destruction.
24:13|So it will be within the earth, among the peoples:\nas when an olive tree is beaten,\nas with gleanings when the grape harvest ends.|Keep remnant through two harvest comparisons.
24:14|They lift their voices and sing for joy;\nfrom the west they shout at the **LORD**’s majesty.|Preserve unexplained they and sea/west direction.
24:15|So honor the **LORD** in the east,\nthe name of the **LORD**, Israel’s God,\nin the islands of the sea.|Keep both divine names and geographic reach.
24:16|From earth’s edge we hear songs: “Splendor to the righteous!”\nBut I say, “I waste away! I waste away! Woe to me!\nThe treacherous betray;\nthe treacherous betray with treachery!”|Preserve sudden lament and intensive betrayal repetition.
24:17|Terror, pit, and trap await you,\ninhabitant of the earth.|Retain threefold threat and singular address.
24:18|Whoever flees the sound of terror will fall into the pit;\nwhoever climbs from the pit will be caught in the trap.\nThe windows on high have opened,\nand earth’s foundations shake.|Keep chained escape failures and flood-like windows.
24:19|The earth breaks apart,\nthe earth splits open,\nthe earth shakes violently.|Keep three intensified clauses.
24:20|The earth reels like a drunkard,\nsways like a shelter.\nIts rebellion weighs heavily upon it;\nit falls and will not rise again.|Retain drunkard, shelter, and moral weight.
24:21|On that day the **LORD** will call to account\nthe host on high, on high,\nand earth’s kings, on earth.|Preserve matched heavenly and earthly realms.
24:22|They will be gathered like prisoners into a pit,\nshut away in a prison,\nand after many days they will be visited.|Leave visitation open rather than specify release or punishment.
24:23|The moon will be abashed and the sun ashamed,\nfor the **LORD** of hosts will reign\non Mount Zion and in Jerusalem,\nand glory will be before his elders.|Preserve celestial shame and elders without identifying them.
25:1|**LORD**, you are my God.\nI will exalt you and praise your name,\nfor you have done wonders—\nplans from long ago, faithfully fulfilled.|Keep personal praise and ancient faithful plans.
25:2|You have made a city a heap,\na fortified town a ruin.\nThe foreigners’ palace is a city no more;\nit will never be rebuilt.|Retain unnamed city and irreversible ruin.
25:3|So a strong people will honor you;\nthe city of ruthless nations will fear you.|Keep strength and ruthlessness distinct.
25:4|You have been a refuge for the poor,\na refuge for the needy in distress,\na shelter from the storm, a shade from the heat.\nFor the breath of the ruthless is like a storm against a wall,|Keep poor/needy repetition and storm-wall text.
25:5|like heat in a dry place.\nYou subdue the foreigners’ uproar;\nas heat is subdued by a cloud’s shade,\nthe song of the ruthless is brought low.|Retain heat-shade comparison across verse boundary.
25:6|On this mountain the **LORD** of hosts will prepare\na feast for all peoples:\nrich food, aged wine,\nrich food full of marrow, aged wine well strained.|Preserve all peoples and luxurious repeated food/wine terms.
25:7|On this mountain he will swallow up\nthe covering spread over all peoples,\nthe veil laid over all nations.|Keep swallow verb linking covering with death.
25:8|He will swallow up death forever.\nThe Lord **GOD** will wipe tears from every face\nand remove his people’s disgrace from all the earth,\nfor the **LORD** has spoken.|Retain death, all faces, and full divine designations.
25:9|On that day people will say,\n“Look, this is our God! We waited for him, and he saved us.\nThis is the **LORD**; we waited for him.\nLet us rejoice and be glad in his salvation!”|Repeat waiting and divine identification.
25:10|The **LORD**’s hand will rest on this mountain,\nbut Moab will be trampled where it stands,\nas straw is trampled in a dung pit.|Follow read-form in rather than written water-of; preserve degrading image.
25:11|Moab will spread its hands in it\nas a swimmer spreads his hands to swim.\nBut he will bring down Moab’s pride,\ndespite the skill of its hands.|Keep swimmer image and uncertain skill expression.
25:12|Your high, fortified walls\nhe has brought down, laid low,\nstruck to the ground, to the dust.|Preserve direct-address shift and cumulative abasement.
26:1|On that day this song will be sung in Judah:\n“We have a strong city!\nHe makes salvation its walls and rampart.|Keep salvation as defenses rather than add named builder.
26:2|Open the gates,\nso a righteous nation may enter,\na nation that keeps faith.|Preserve gate invitation and communal faithfulness.
26:3|You keep in peace—peace—\nthe mind that rests on you,\nbecause it trusts in you.|Make doubled shalom audible without adding perfection.
26:4|Trust in the **LORD** forever,\nfor **YAH**, the **LORD**, is an everlasting rock.|Retain short and full names plus enduring rock.
26:5|He has brought down those who live on high;\nthe lofty city he lays low,\nlays it low to the ground, brings it to the dust.|Repeat lowering of high city.
26:6|Feet trample it—\nthe feet of the oppressed, the steps of the poor.”|Preserve formerly weak people as tramplers.
26:7|The path of the righteous is level.\nUpright One, you make the righteous person’s road smooth.|Keep upright address interpretation and road image.
26:8|Along the path of your judgments, **LORD**, we wait for you.\nYour name, your remembrance, is our deepest desire.|Keep judgments as path and name/remembrance pair.
26:9|With my whole being I desire you at night;\nwith the spirit within me I seek you.\nWhen your judgments are on the earth,\nthe world’s inhabitants learn righteousness.|Retain night seeking and judgment as instruction.
26:10|Show favor to the wicked, and they still do not learn righteousness.\nIn a land of uprightness they do wrong\nand fail to see the **LORD**’s majesty.|Keep failure despite favor without softening wickedness.
26:11|**LORD**, your hand is raised, but they do not see.\nLet them see your zeal for your people and be ashamed;\nlet the fire for your enemies consume them.|Retain seeing repetition and fiery wish.
26:12|**LORD**, you establish peace for us;\neverything we have accomplished, you have done for us.|Preserve divine agency over our works.
26:13|**LORD** our God, other lords have ruled us;\nbut through you alone we proclaim your name.|Keep contrast of other lords and divine name.
26:14|They are dead; they will not live.\nThey are shades; they will not rise.\nYou visited them and destroyed them,\nwiping away every memory of them.|Retain dead/shades parallel and finality before verse19 reversal.
26:15|You have enlarged the nation, **LORD**,\nyou have enlarged the nation; you are glorified.\nYou have extended all the land’s boundaries.|Repeat enlargement and preserve land boundaries.
26:16|**LORD**, in distress they sought you;\nthey poured out a whispered prayer\nwhen your discipline was upon them.|Render compressed whisper prayer with uncertainty noted.
26:17|As a pregnant woman near delivery\nwrithes and cries in labor,\nso we were before you, **LORD**.|Preserve labor simile and direct address.
26:18|We conceived, we writhed,\nbut gave birth only to wind.\nWe brought no salvation to the earth;\nno inhabitants of the world were born.|Retain failed birth and consequential fall/be-born ambiguity.
26:19|Your dead will live; my dead body will rise.\nWake and sing, you who dwell in dust!\nYour dew is a dew of light,\nand the earth will bring forth the shades.|Preserve unusual my-corpse wording and birth reversal with note.
26:20|Go, my people, enter your rooms\nand shut your door behind you.\nHide for a little while,\nuntil the wrath passes.|Follow singular door read-form and temporary shelter.
26:21|Look! The **LORD** comes out from his place\nto call earth’s inhabitants to account for their guilt.\nThe earth will uncover its bloodshed\nand no longer conceal its slain.|Keep exposed evidence of violence.
27:1|On that day the **LORD**, with his hard, great, strong sword,\nwill punish Leviathan the fleeing serpent,\nLeviathan the twisting serpent,\nand kill the monster in the sea.|Retain named monster and three sword descriptions.
27:2|On that day,\n“A delightful vineyard—sing of it!|Follow pinned delightful reading rather than wine-vineyard.
27:3|I, the **LORD**, guard it.\nI water it moment by moment;\nnight and day I guard it\nso no one harms it.|Repeat guarding and retain continual watering.
27:4|I have no wrath.\nIf only briers and thorns confronted me in battle!\nI would march against them\nand burn them all together.|Preserve wrath denial and hypothetical battle.
27:5|Or let them take hold of my refuge,\nlet them make peace with me—\nmake peace with me.”|Retain alternative refuge and repeated peace.
27:6|In days to come Jacob will take root;\nIsrael will bud and blossom\nand fill the world with fruit.|Keep parallel names and expanding growth.
27:7|Has he struck Jacob as he struck those who struck him?\nHas Jacob been killed as his killers were killed?|Clarify Jacob referent while retaining complex reciprocal question.
27:8|By measured expulsion you contend with her;\nhe drove her away with his harsh wind\non a day of east wind.|Retain difficult measured phrase and you/he shift.
27:9|By this, then, Jacob’s guilt will be atoned for;\nthis is the full fruit of removing his sin:\nwhen he makes every altar stone like crushed chalk,\nand no Asherah poles or incense altars remain standing.|Keep atonement tied to destruction of cult objects.
27:10|The fortified city stands alone,\na settlement deserted and abandoned like the wilderness.\nThere a calf grazes and lies down,\nconsuming its branches.|Retain city’s returning animals and stripped growth.
27:11|When its branches dry, they are broken;\nwomen come and light fires with them.\nFor this people has no understanding;\nso its Maker will not show it compassion,\nand its Former will not favor it.|Preserve women gathering fuel and withheld compassion.
27:12|On that day the **LORD** will thresh\nfrom the River’s flowing waters to the Wadi of Egypt;\nand you, Israelites, will be gathered one by one.|Keep geographical span and individual gathering.
27:13|On that day a great ram’s horn will sound.\nThose lost in Assyria and those driven away to Egypt\nwill come and worship the **LORD**\non the holy mountain in Jerusalem.|Retain two diaspora locations and return to worship.
28:1|Woe to the proud crown of Ephraim’s drunkards,\nthe fading flower of its glorious beauty,\nset above a fertile valley—\nto those struck down by wine!|Keep crown/city metaphor and intoxicated people.
28:2|Look! The Lord has someone strong and mighty.\nLike a hailstorm, a destructive tempest,\nlike a torrent of mighty, flooding waters,\nhe will hurl it to the ground with his hand.|Preserve unnamed agent and storm comparisons.
28:3|The proud crown of Ephraim’s drunkards\nwill be trampled underfoot.|Repeat crown phrase from verse1.
28:4|That fading flower of glorious beauty,\nset above a fertile valley,\nwill be like an early fig before summer:\nwhoever sees it swallows it\nas soon as it reaches the hand.|Keep effortless consumption of first fig.
28:5|On that day the **LORD** of hosts\nwill be a beautiful crown, a glorious wreath,\nfor the remnant of his people,|Preserve reversal from drunkards’ crown to divine crown.
28:6|a spirit of justice for the one who sits in judgment,\nand strength for those who turn battle back at the gate.|Keep judicial and military roles distinct.
28:7|These too reel from wine and stagger from strong drink:\npriest and prophet reel from strong drink,\nswallowed by wine, staggering from strong drink.\nThey reel in their visions and stumble in judgment.|Retain accumulated drunkenness and failed guidance.
28:8|Every table is covered with vomit and filth;\nno spot is clean.|Keep disgust without euphemism.
28:9|“Whom is he teaching knowledge?\nTo whom is he explaining the message?\nChildren just weaned from milk,\njust taken from the breast?|Render mocking questions without invented speaker identity.
28:10|For it is rule upon rule, rule upon rule,\nline upon line, line upon line,\na little here, a little there!”|Preserve repeated syllabic rhythm and note wordplay uncertainty.
28:11|Indeed, with stammering lips and another tongue\nhe will speak to this people,|Keep foreign speech response to mockery.
28:12|to whom he said, “This is rest; let the weary rest.\nThis is refreshment.”\nBut they refused to listen.|Retain rest repetition and refusal.
28:13|So the **LORD**’s word will become for them\nrule upon rule, rule upon rule,\nline upon line, line upon line,\na little here, a little there—\nso they go and stumble backward,\nare broken, snared, and captured.|Repeat exact refrain and purposive consequence.
28:14|Therefore hear the **LORD**’s word, you mockers\nwho rule this people in Jerusalem.|Make ruling audience explicit.
28:15|You say, “We have made a covenant with death,\nan agreement with Sheol.\nWhen the sweeping scourge passes through, it will not reach us,\nfor we have made lies our shelter\nand hidden ourselves in falsehood.”|Retain rulers’ shocking self-description and mixed flood/scourge image.
28:16|So the Lord **GOD** says:\n“Look, I am laying a stone in Zion,\na tested stone, a precious cornerstone, a firm foundation.\nWhoever trusts will not rush in panic.|Retain tested foundation and haste verb rather than shame.
28:17|I will make justice the measuring line\nand righteousness the plumb line.\nHail will sweep away the shelter of lies;\nwater will flood the hiding place.|Keep building measurements and destroyed false refuge.
28:18|Your covenant with death will be annulled;\nyour agreement with Sheol will not stand.\nWhen the sweeping scourge passes through,\nyou will be trampled beneath it.|Repeat covenant language and violent undoing.
28:19|Every time it passes through, it will take you.\nMorning after morning it will pass through, by day and by night.\nUnderstanding the message will bring sheer terror.”|Retain recurrence and message-understanding reversal.
28:20|The bed is too short to stretch out on;\nthe blanket too narrow to wrap yourself in.|Keep concrete inadequate shelter proverb.
28:21|The **LORD** will rise as at Mount Perazim,\nwill rage as in Gibeon’s valley,\nto do his deed—his strange deed,\nto perform his work—his foreign work.|Preserve unusual divine work and named battle echoes.
28:22|Now stop mocking, lest your bonds grow tighter.\nFor I have heard from the Lord **GOD** of hosts\nof destruction decreed against all the earth.|Retain authorized warning and scope.
28:23|Listen closely to my voice;\npay attention and hear what I say.|Keep paired appeals before farming instruction.
28:24|Does a plowman plow all day to sow,\ncontinually opening and harrowing his soil?|Retain rhetorical limit on preparatory labor.
28:25|Once he has leveled its surface, does he not scatter black cumin,\nsow cumin, plant wheat in rows,\nbarley in its place, and spelt along the edge?|Preserve five crops and differentiated sowing.
28:26|His God instructs him in the right way\nand teaches him.|Keep agricultural skill as divine teaching.
28:27|Black cumin is not threshed with a threshing sledge,\nnor is a cartwheel rolled over cumin.\nBlack cumin is beaten with a stick,\nand cumin with a rod.|Retain different tools and repeated spice names.
28:28|Grain for bread is crushed,\nbut one does not thresh it forever.\nHe drives his cartwheel and horses over it\nwithout grinding it to pieces.|Retain difficult crushing distinction with note.
28:29|This too comes from the **LORD** of hosts,\nwonderful in counsel, great in resourcefulness.|Connect skill and wise counsel without sermon.
29:1|Woe, Ariel, Ariel, city where David camped!\nAdd year to year; let the festivals come around.|Keep repeated symbolic name and liturgical cycle.
29:2|I will press Ariel hard;\nthere will be mourning and moaning.\nShe will become like an altar hearth to me.|Expose Ariel wordplay while noting uncertain sense.
29:3|I will encamp all around you,\nlay siege to you with posts,\nand raise siegeworks against you.|Keep first-person divine siege and equipment.
29:4|Brought low, you will speak from the ground;\nyour words will sink into the dust.\nYour voice will come from the ground like a ghost’s,\nyour speech will chirp from the dust.|Preserve ghostlike reduced voice and dust repetition.
29:5|Yet the throng of your foreigners will become fine dust,\nthe throng of the ruthless like drifting chaff.\nSuddenly, in an instant,|Retain abrupt reversal and unnamed foreigners.
29:6|the **LORD** of hosts will visit you\nwith thunder, earthquake, and great noise,\nwhirlwind, tempest, and devouring flame.|Preserve visitation rather than specify rescue within verb.
29:7|The throng of all nations fighting Ariel,\nall who wage war against her and her stronghold,\nall who press her hard,\nwill be like a dream, a vision at night.|Keep siege forces becoming insubstantial.
29:8|As a hungry person dreams of eating\nand wakes with an empty stomach,\nas a thirsty person dreams of drinking\nand wakes faint and still thirsty,\nso will be the throng of all nations\nfighting Mount Zion.|Retain both unsatisfied appetite dreams.
29:9|Stupefy yourselves and be stupefied!\nBlind yourselves and be blind!\nThey are drunk, but not from wine;\nthey stagger, but not from strong drink.|Keep commands then third-person observation.
29:10|For the **LORD** has poured over you a spirit of deep sleep.\nHe has closed your eyes—the prophets—\nand covered your heads—the seers.|Preserve eyes/heads identified with prophetic figures.
29:11|For you the whole vision has become like the words of a sealed scroll. Give it to someone who can read and say, “Please read this,” and the answer is, “I cannot; it is sealed.”|Make literacy scene intelligible without removing sealed-scroll metaphor.
29:12|Give the scroll to someone who cannot read and say, “Please read this,” and the answer is, “I cannot read.”|Keep second distinct inability and repeated request.
29:13|The Lord said:\n“This people approaches me with its mouth\nand honors me with its lips,\nbut its heart is far from me.\nIts fear of me is a human command learned by rote.|Retain mouth/lips/heart contrast and taught reverence.
29:14|So I will again astound this people,\nwith wonder upon wonder.\nThe wisdom of its wise will perish,\nand the discernment of its discerning will disappear.”|Keep repeated wonders and failed wisdom.
29:15|Woe to those who bury their plans deep from the **LORD**,\nwhose deeds are done in darkness,\nwho say, “Who sees us? Who knows us?”|Retain concealment depth and paired questions.
29:16|You turn things upside down!\nShould the potter be regarded as clay?\nShould a thing made say of its maker, “He did not make me,”\nor a formed thing say of its former, “He has no understanding”?|Keep creator/creation reversal and two denials.
29:17|In just a little while,\nwill not Lebanon become fruitful land,\nand fruitful land be regarded as forest?|Preserve landscape reversal without imposed allegory.
29:18|On that day the deaf will hear a scroll’s words,\nand out of gloom and darkness\nthe eyes of the blind will see.|Link inaccessible scroll to restored hearing.
29:19|The lowly will find fresh joy in the **LORD**;\nthe poorest people will rejoice in Israel’s Holy One.|Retain social lowliness and Holy One designation.
29:20|For the ruthless will be gone, the mocker finished,\nand all who watch for a chance to do evil will be cut off—|Keep three groups and watchfulness for wrong.
29:21|those who make a person guilty by a word,\nset a trap for the one who argues a case at the gate,\nand with empty claims deny justice to the righteous.|Preserve corrupt judicial setting and word ambiguity.
29:22|Therefore the **LORD**, who redeemed Abraham, says to Jacob’s house:\n“Jacob will no longer be ashamed;\nhis face will no longer grow pale.|Keep Abraham redemption statement and collective Jacob.
29:23|When he sees his children, the work of my hands, in his midst,\nthey will honor my name as holy;\nthey will honor Jacob’s Holy One as holy\nand stand in awe of Israel’s God.|Preserve shifts between Jacob and children and holiness repetition.
29:24|Those whose spirits wander will gain understanding;\nthose who grumble will learn instruction.”|Retain two restored responses.
30:1|“Woe to rebellious children,” declares the **LORD**,\n“who carry out plans that are not mine,\nwho make an alliance without my Spirit,\nadding sin to sin.|Choose alliance sense for pouring/covering phrase and note ambiguity.
30:2|They go down to Egypt without asking my counsel,\nseeking refuge in Pharaoh’s protection,\nshelter in Egypt’s shade.|Keep unauthorized journey and paired protection images.
30:3|But Pharaoh’s protection will bring you shame,\nand shelter in Egypt’s shade, humiliation.|Repeat protection terms with reversal.
30:4|Though his officials are in Zoan\nand his messengers reach Hanes,|Keep his uncertain referent and two Egyptian places.
30:5|all are put to shame by a people who cannot benefit them,\nwho offer neither help nor advantage,\nonly shame and disgrace.”|Follow shame read-form and repeated failed benefit.
30:6|An oracle concerning the beasts of the Negeb:\nThrough a land of distress and hardship,\nof lioness and lion, viper and flying fiery serpent,\nthey carry wealth on donkeys’ shoulders,\ntreasures on camels’ humps,\nto a people who cannot benefit them.|Keep burden/oracle heading, all animals, and costly embassy.
30:7|Egypt’s help is breath and emptiness;\nso I call her “Rahab, sitting still.”|Retain breath, symbolic Rahab, and inactive boast.
30:8|Now go, write it on a tablet before them,\ninscribe it on a scroll,\nso it may remain for a coming day,\nforever and ever.|Retain dual writing media and future testimony without emendation.
