1:1|Paul, an apostle of Christ Jesus by God's will, and Timothy our brother,|Retains Paul's commissioned role, divine agency and Timothy's family designation.
1:2|to the saints and faithful brothers and sisters in Christ at Colossae: Grace and peace to you from God our Father.|Keeps the location, paired community descriptions and the pinned source's short blessing.
1:3|We always thank God, the Father of our Lord Jesus Christ, when we pray for you,|Preserves the repeated thanksgiving and names its addressee and occasion.
1:4|because we have heard of your faith in Christ Jesus and the love you have for all the saints,|Keeps faith's object and love's comprehensive human direction.
1:5|because of the hope stored up for you in heaven. You heard about this hope beforehand in the word of truth, the good news|Preserves hope as the ground and retains both word-of-truth and good-news descriptions.
1:6|that has come to you. Just as it is bearing fruit and growing throughout the whole world, so it has among you since the day you heard it and truly understood God's grace.|Keeps the paired growth images, worldwide scope and the local beginning.
1:7|You learned it from Epaphras, our beloved fellow slave, who is a faithful minister of Christ on our behalf.|Retains Epaphras's name, slave language and representative service.
1:8|He also told us about your love in the Spirit.|Keeps the report and its spiritual setting without expanding the relation.
1:9|For this reason, from the day we heard, we have not stopped praying for you and asking that you be filled with the knowledge of his will in all spiritual wisdom and understanding,|Preserves the unceasing prayer, filling image and full pair of cognitive gifts.
1:10|so that you may walk worthy of the Lord and please him in every way: bearing fruit in every good work and growing in the knowledge of God,|Keeps walk and fruit metaphors with the repeated growth language.
1:11|being strengthened with every kind of power according to his glorious might, for all endurance and patience, with joy|Retains the piling up of power terms and the purpose of steadfast endurance.
1:12|giving thanks to the Father, who has enabled you to share in the inheritance of the saints in the light.|Preserves divine enablement, inheritance and light imagery.
1:13|He rescued us from the authority of darkness and transferred us into the kingdom of his beloved Son,|Keeps both movements, the authority language and the Son's relational description.
1:14|in whom we have redemption, the forgiveness of sins.|Follows the pinned reading without adding blood and preserves the explanatory apposition.
1:15|He is the image of the invisible God, the firstborn of all creation,|Retains both elevated titles without resolving their theological relation in the verse.
1:16|because in him all things were created—in heaven and on earth, visible and invisible, whether thrones, dominions, rulers or authorities. All things were created through him and for him.|Keeps the cosmic pairs, four powers and threefold relation to creation.
1:17|He is before all things, and in him all things hold together.|Preserves temporal precedence and sustaining cohesion.
1:18|He is the head of the body, the church. He is the beginning, the firstborn from the dead, so that he might be supreme in everything.|Keeps the body image and repeated primacy language.
1:19|For all the fullness was pleased to dwell in him|Preserves the compressed personified wording without supplying an unstated subject.
1:20|and through him to reconcile all things to himself—making peace through the blood of his cross—whether things on earth or things in heaven.|Retains universal reconciliation, violent means and the earth/heaven scope.
1:21|And you, who were once alienated and hostile in mind, as shown by evil deeds—|Keeps prior estrangement and hostility tied to conduct without softening the accusation.
1:22|he has now reconciled in his physical body through death, to present you holy, blameless and beyond accusation before him,|Retains fleshly embodiment, death and all three intended qualities.
1:23|provided that you remain in the faith, firmly founded and steadfast, not shifting away from the hope of the good news you heard, which was proclaimed in all creation under heaven and of which I, Paul, became a minister.|Preserves the condition, building stability and the letter's expansive proclamation claim.
1:24|Now I rejoice in my sufferings for you, and in my flesh I fill up what is lacking in Christ's afflictions for the sake of his body, which is the church.|Keeps the difficult lack-and-filling language and identifies the body without explaining it away.
1:25|I became its minister according to the stewardship God gave me for you, to bring God's word to fullness—|Preserves commissioned stewardship and the ambiguous fullness expression.
1:26|the mystery hidden for ages and generations but now revealed to his saints.|Keeps the long concealment and present disclosure.
1:27|God wanted to make known to them the glorious riches of this mystery among the nations: Christ in you, the hope of glory.|Retains nations, communal indwelling and the appositional hope.
1:28|We proclaim him, warning every person and teaching every person with all wisdom, so that we may present every person mature in Christ.|Preserves the threefold every-person emphasis and both instructional actions.
1:29|For this I labor and struggle, according to his energy powerfully at work in me.|Keeps labor, contest and the repeated working/energy wording.
2:1|I want you to know how great a struggle I have for you, for those in Laodicea and for all who have not seen my face in the flesh,|Preserves the named city and bodily absence alongside the breadth of concern.
2:2|so that their hearts may be encouraged, joined together in love, and reach all the riches of full assurance in understanding: the knowledge of God's mystery, Christ,|Keeps encouragement, love's joining work and Christ as the mystery's apposition.
2:3|in whom all the treasures of wisdom and knowledge are hidden.|Retains treasure and concealment imagery with their comprehensive scope.
2:4|I say this so that no one may deceive you with persuasive speech.|Keeps the warning's purpose and rhetoric's attractive power.
2:5|For though I am absent in the flesh, I am with you in spirit, rejoicing to see your good order and the firmness of your faith in Christ.|Preserves the flesh/spirit contrast and the two disciplined stability images.
2:6|Therefore, just as you received Christ Jesus the Lord, continue to walk in him,|Keeps reception as the basis and the recurring walk metaphor.
2:7|rooted and being built up in him, established in the faith as you were taught, and overflowing with thanksgiving.|Retains the mixed plant/building images and ongoing grammatical aspect.
2:8|Watch out that no one takes you captive through philosophy and empty deception, according to human tradition and the elemental powers of the world, and not according to Christ.|Keeps the captive image, human tradition and the difficult elemental-powers expression.
2:9|For in him all the fullness of deity dwells bodily,|Preserves fullness, deity and bodily dwelling together.
2:10|and you have been filled in him, who is the head of every ruler and authority.|Keeps the shared fullness and supremacy over named powers.
2:11|In him you were also circumcised with a circumcision not performed by hands, in the stripping off of the body of flesh, in Christ's circumcision.|Retains circumcision and bodily stripping images without substituting a doctrinal paraphrase.
2:12|You were buried with him in baptism, in which you were also raised with him through faith in God's power, who raised him from the dead.|Keeps co-burial, co-resurrection and divine agency.
2:13|Though you were dead in your trespasses and the uncircumcision of your flesh, God made you alive together with him, forgiving us all our trespasses.|Preserves death/life reversal and the shift from you to us.
2:14|He erased the written record against us, with its decrees that opposed us. He took it away, nailing it to the cross.|Keeps the documentary image, opposition and crucifixion action.
2:15|He stripped the rulers and authorities and exposed them publicly, triumphing over them in it.|Retains the stripping and triumphal-procession images while leaving the final pronoun open.
2:16|Therefore, do not let anyone judge you about food or drink, or regarding a festival, new moon or Sabbaths.|Preserves the complete calendar and dietary list.
2:17|These are a shadow of what was to come, but the substance belongs to Christ.|Keeps shadow/body contrast while making the bodily metaphor intelligible.
2:18|Do not let anyone disqualify you by delighting in humility and worship of angels, going on about what he has seen, puffed up without cause by his fleshly mind.|Retains the pinned seen reading, judicial image and ironic false humility.
2:19|Such a person does not hold fast to the head, from whom the whole body, supported and held together by joints and ligaments, grows with growth from God.|Keeps anatomical cohesion and emphatic divine growth.
