1:1|F2|After Saul’s death, David returned from striking the Amalekites and stayed in Ziklag for two days.|Keeps the opening’s linked events and exact interval.
1:2|F2|On the third day a man arrived from Saul’s camp, his clothes torn and dirt on his head. When he reached David, he fell to the ground and bowed.|Preserves third day, mourning signs and obeisance.
1:3|F2|David asked, “Where have you come from?” He answered, “I escaped from Israel’s camp.”|Keeps the speaker’s claimed escape without adding battlefield status.
1:4|F2|“What happened?” David asked. “Please tell me.” He said, “The troops fled from the battle. Many fell and died. Saul and his son Jonathan are dead too.”|Preserves widening losses and final personal news.
1:5|F2|David asked the young man bringing the news, “How do you know that Saul and his son Jonathan are dead?”|Keeps the request for evidence and both names.
1:6|F3|The young man answered, “I happened to be on Mount Gilboa. Saul was leaning on his spear, and the chariots and horsemen were closing in on him.|Retains the messenger’s claimed chance arrival and spear, distinct from the earlier sword account.
1:7|F2|He turned, saw me, and called. I answered, ‘Here I am.’|Preserves call and response inside reported speech.
1:8|F2|He asked, ‘Who are you?’ I told him, ‘I am an Amalekite.’|Follows qere first-person answer and retains ethnic identification.
1:9|F3|Then he said, ‘Stand over me and kill me. Agony has gripped me, yet my life is still in me.’|Uses agony for the rare term and preserves reported request and continued life; uncertainty noted.
1:10|F3|So I stood over him and killed him, knowing he would not survive his fall. I took the crown from his head and the armlet from his arm and brought them here to my lord.”|Preserves killing claim and royal objects without validating or harmonizing the account.
1:11|F2|David seized his clothes and tore them. All the men with him did the same.|Keeps bodily mourning and collective participation.
1:12|F2|They mourned, wept, and fasted until evening for Saul, for his son Jonathan, for the LORD’s people, and for the house of Israel, because they had fallen by the sword.|Retains all four objects of mourning and three actions.
1:13|F2|David asked the young messenger, “Where are you from?” He answered, “I am the son of an Amalekite resident foreigner.”|Preserves the fuller social identification in the repeated question.
1:14|F2|David said, “How were you not afraid to raise your hand and destroy the LORD’s anointed?”|Retains hand/anointed language from David’s refusals to kill Saul.
1:15|F2|He called one of the young men and said, “Go and strike him down.” The man struck him, and he died.|Keeps David’s order and resulting execution explicit.
1:16|F2|David said to him, “Your blood is on your own head. Your own mouth testified against you when you said, ‘I killed the LORD’s anointed.’”|Preserves responsibility idiom and the stated basis in his own testimony.
1:17|F2|David lamented Saul and his son Jonathan with this lament,|Keeps named mourned figures and introduces the poem as lament.
1:18|F3|and ordered that the people of Judah be taught “The Bow.” It is written in the Book of Jashar:|Treats bow as title contextually, with archery alternative noted; retains named source book.
1:19|F3|“Your splendor, Israel, lies slain on your heights.\nHow the mighty have fallen!|Keeps ambiguous splendor/gazelle term as splendor and establishes repeated refrain.
1:20|F2|Do not tell it in Gath;\ndo not announce it in Ashkelon’s streets,\nlest the daughters of the Philistines rejoice,\nlest the daughters of the uncircumcised celebrate.|Preserves parallel negative commands and the specifically female celebrants.
1:21|F3|Mountains of Gilboa,\nlet no dew or rain fall on you,\nlet there be no fields yielding offerings!\nThere the warriors’ shield was defiled,\nSaul’s shield, no longer anointed with oil.|Retains difficult offering-fields phrase and shield anointing rather than silently moving the oil to Saul.
1:22|F2|From the blood of the slain,\nfrom the fat of warriors,\nJonathan’s bow did not turn back;\nSaul’s sword did not return empty.|Preserves blood/fat imagery and both weapon movements.
1:23|F3|Saul and Jonathan, loved and dear in life,\nwere not parted in death.\nThey were swifter than eagles,\nstronger than lions.|Keeps the lament’s praise as poetry without reconciling their recorded conflicts.
1:24|F2|Daughters of Israel, weep over Saul,\nwho clothed you in scarlet and finery,\nwho set ornaments of gold on your garments.|Preserves female addressees and concrete gifts.
1:25|F3|How the mighty have fallen\nin the midst of battle!\nJonathan lies slain on your heights.|Repeats the refrain and retains the shifting second-person address.
1:26|F3|I grieve for you, my brother Jonathan.\nYou were deeply dear to me.\nYour love for me was wondrous,\nbeyond the love of women.|Preserves unqualified love and its comparison without assigning a modern category or diminishing intimacy.
1:27|F2|How the mighty have fallen,\nand the weapons of war have perished!”|Keeps the third refrain and concluding weapons image.
2:1|F2|After this David inquired of the LORD, “Should I go up to one of Judah’s towns?” The LORD said, “Go up.” David asked, “Where?” “To Hebron,” came the answer.|Retains two-stage inquiry and named destination.
2:2|F2|David went up there with his two wives, Ahinoam of Jezreel and Abigail, the wife of Nabal of Carmel.|Preserves both wives and the retained former-husband identification.
2:3|F2|He also brought his men, each with his household, and they settled in the towns around Hebron.|Keeps family migration and surrounding settlements.
2:4|F2|The men of Judah came and anointed David king over the house of Judah. David was told that the men of Jabesh-gilead had buried Saul.|Preserves initial limited kingship and the new burial report.
2:5|F2|He sent messengers to the men of Jabesh-gilead: “May the LORD bless you for showing this steadfast love to your lord Saul by burying him.|Keeps burial as loyal kindness and Saul as their lord.
2:6|F2|May the LORD now show you steadfast love and faithfulness. I too will do you good because you have done this.|Retains paired steadfast love/faithfulness and David’s reciprocal promise.
2:7|F2|Let your hands be strong, and be brave. Your lord Saul is dead, and the house of Judah has anointed me king over them.”|Keeps hand image and the political announcement within the encouragement.
2:8|F2|But Abner son of Ner, Saul’s army commander, took Saul’s son Ish-bosheth across to Mahanaim.|Preserves Abner’s initiative and surviving Saulide.
2:9|F3|He made him king over Gilead, the Ashurites, Jezreel, Ephraim, Benjamin, and all Israel.|Retains pinned Ashurites and complete territory list; identity uncertainty noted.
2:10|F3|Ish-bosheth son of Saul was forty years old when he became king over Israel, and he reigned two years. Only the house of Judah followed David.|Keeps age, duration and exception without harmonizing the next duration.
2:11|F3|David was king over the house of Judah in Hebron for seven years and six months.|Preserves the different reign length exactly.
2:12|F2|Abner son of Ner and the servants of Ish-bosheth son of Saul went out from Mahanaim to Gibeon.|Keeps leaders, allegiance and route.
2:13|F2|Joab son of Zeruiah and David’s servants also went out. They met at the pool of Gibeon and sat on opposite sides of the pool.|Preserves maternal identification and confrontational seating.
2:14|F3|Abner said to Joab, “Let the young men rise and put on a contest before us.” Joab answered, “Let them rise.”|Keeps play/contest language whose deadly result follows, with note rather than sanitization.
2:15|F2|They rose and crossed over in equal numbers: twelve for Benjamin and Ish-bosheth son of Saul, and twelve from David’s servants.|Preserves twelve on each side and political identifications.
2:16|F3|Each grabbed his opponent’s head and drove his sword into his opponent’s side. They fell together. The place at Gibeon was called Helkath-hazzurim.|Keeps simultaneous mutual killing and uncertain place name.
2:17|F2|The battle that day was very fierce. Abner and Israel’s men were defeated by David’s servants.|Preserves escalation from contest into battle.
2:18|F2|Zeruiah’s three sons were there: Joab, Abishai, and Asahel. Asahel was as swift-footed as a gazelle in the open country.|Retains all siblings and animal comparison.
2:19|F2|Asahel pursued Abner, turning neither right nor left as he followed him.|Keeps single-minded pursuit and directional repetition.
2:20|F2|Abner looked behind him and asked, “Is that you, Asahel?” “It is,” he answered.|Preserves recognition before warnings.
2:21|F2|Abner said, “Turn to your right or left. Seize one of the young men and take his gear.” But Asahel would not turn away from him.|Keeps the offered alternative victim and refusal without making it benevolent in narration.
