1:1|King David was old, advanced in years. They covered him with blankets, but he could not get warm.|Preserves the doubled aging description and bodily weakness without an unstated diagnosis.
1:2|His servants said to him, “Let a young virgin be found for my lord the king. She can attend the king and care for him. Let her lie in your arms, so my lord the king may grow warm.”|Keeps her proposed care and bodily proximity without turning the plan into a stated marriage.
1:3|They searched throughout Israel’s territory for a beautiful young woman. They found Abishag the Shunammite and brought her to the king.|Preserves the search criterion, full territory, and her identity.
1:4|The young woman was very beautiful. She cared for the king and attended him, but the king did not have sexual relations with her.|Makes the knowing idiom explicit while retaining the narrator’s distinction between care and intercourse.
1:5|Adonijah son of Haggith was exalting himself, saying, “I will be king.” He provided himself with a chariot, horsemen, and fifty men to run ahead of him.|Keeps self-exaltation and the display that echoes Absalom, with horsemen as stated here.
1:6|His father had never challenged him by asking, “Why have you done this?” He was also very handsome and had been born after Absalom.|Preserves David’s failure to challenge, beauty, and birth order without making the two sons share a mother.
1:7|He conferred with Joab son of Zeruiah and Abiathar the priest, and they supported Adonijah.|Keeps the two supporters and their decision.
1:8|But Zadok the priest, Benaiah son of Jehoiada, Nathan the prophet, Shimei, Rei, and David’s warriors did not side with Adonijah.|Preserves every named nonsupporter without identifying this Shimei beyond the text.
1:9|Adonijah sacrificed sheep, cattle, and fattened animals beside the stone of Zoheleth near En-rogel. He invited all his brothers, the king’s sons, and all the men of Judah who served the king.|Keeps sacrifice, location, and the initial broad invitation before the stated exceptions.
1:10|But he did not invite Nathan the prophet, Benaiah, the warriors, or his brother Solomon.|Retains every exclusion, including the explicitly named brother.
1:11|Nathan said to Bathsheba, Solomon’s mother, “Haven’t you heard that Adonijah son of Haggith has become king, while our lord David knows nothing of it?|Keeps Nathan’s urgent report and David’s lack of knowledge.
1:12|Come, let me give you counsel so you can save your own life and the life of your son Solomon.|Preserves the threatened lives as Nathan’s warning without inventing an already issued death order.
1:13|Go in to King David and say, ‘My lord the king, did you not swear to your servant, “Your son Solomon will reign after me and sit on my throne”? Why, then, has Adonijah become king?’|Keeps the proposed speech and its appeal to an oath not previously narrated.
1:14|While you are still there speaking with the king, I will come in after you and confirm your words.”|Retains the coordinated sequence without adding a motive beyond the plan.
