1:1|The record of the origins of Jesus the Messiah, son of David, son of Abraham.|Keeps genesis/origins broader than a mere name list and preserves the two defining ancestral titles.
1:2|Abraham fathered Isaac; Isaac fathered Jacob; Jacob fathered Judah and his brothers.|Retains the repeated begetting pattern and Judah’s brothers.
1:3|Judah fathered Perez and Zerah by Tamar; Perez fathered Hezron; Hezron fathered Ram.|Preserves both twins, mother, and exact sequence.
1:4|Ram fathered Amminadab; Amminadab fathered Nahshon; Nahshon fathered Salmon.|Keeps the three linked generations in the same cadence.
1:5|Salmon fathered Boaz by Rahab; Boaz fathered Obed by Ruth; Obed fathered Jesse.|Retains both named women and every relationship.
1:6|Jesse fathered David the king. David fathered Solomon by Uriah’s wife.|Keeps king attached to David and the deliberate identification through Uriah rather than supplying Bathsheba.
1:7|Solomon fathered Rehoboam; Rehoboam fathered Abijah; Abijah fathered Asaph.|Follows pinned Asaph rather than harmonizing to Asa.
1:8|Asaph fathered Jehoshaphat; Jehoshaphat fathered Joram; Joram fathered Uzziah.|Retains the source’s compressed genealogy without inserting omitted kings.
1:9|Uzziah fathered Jotham; Jotham fathered Ahaz; Ahaz fathered Hezekiah.|Preserves the three royal links and established names.
1:10|Hezekiah fathered Manasseh; Manasseh fathered Amos; Amos fathered Josiah.|Follows pinned Amos rather than harmonizing to Amon.
1:11|Josiah fathered Jeconiah and his brothers at the time of the deportation to Babylon.|Keeps the deportation hinge and the source’s brothers.
1:12|After the deportation to Babylon, Jeconiah fathered Shealtiel; Shealtiel fathered Zerubbabel.|Retains the repeated historical hinge before the next generation group.
1:13|Zerubbabel fathered Abiud; Abiud fathered Eliakim; Eliakim fathered Azor.|Preserves all three otherwise unexplained links.
1:14|Azor fathered Zadok; Zadok fathered Achim; Achim fathered Eliud.|Maintains the genealogy’s deliberately repeated cadence.
1:15|Eliud fathered Eleazar; Eleazar fathered Matthan; Matthan fathered Jacob.|Retains the exact final three links before Joseph.
1:16|Jacob fathered Joseph, Mary’s husband. From her was born Jesus, who is called the Messiah.|Makes the feminine from-whom referent explicit and preserves the switch to passive birth.
1:17|So there were fourteen generations from Abraham to David, fourteen from David to the deportation to Babylon, and fourteen from the deportation to Babylon to the Messiah.|Retains all three fourteens and historical boundaries without repairing the literary count.
1:18|This is how the birth of Jesus the Messiah came about. His mother Mary was pledged in marriage to Joseph, but before they came together she was found to be pregnant through the Holy Spirit.|Preserves binding betrothal, prior-to-union timing, and divine agency.
1:19|Her husband Joseph was righteous and did not want to expose her to public disgrace, so he decided to divorce her quietly.|Keeps righteousness alongside restraint and renders the legal separation clearly.
1:20|While he was considering this, an angel of the Lord appeared to him in a dream. “Joseph, son of David,” he said, “do not be afraid to take Mary as your wife. The child conceived in her is from the Holy Spirit.|Keeps Davidic address, dream, and conception’s source.
1:21|She will bear a son, and you must name him Jesus, because he will save his people from their sins.”|Preserves Joseph’s naming responsibility and salvation from sins, with name-wordplay noted.
1:22|All this happened to fulfill what the Lord had spoken through the prophet:|Retains the first fulfillment formula and both divine and prophetic agency.
1:23|“Look, the virgin will conceive and bear a son,\nand they will name him Emmanuel,”\nwhich means “God with us.”|Follows Matthew’s Greek virgin and plural they-will-name, preserving the text’s own translation.
1:24|When Joseph woke, he did what the angel of the Lord had commanded and took his wife home.|Keeps waking, obedience, and receiving Mary as linked actions.
1:25|But he did not have sexual relations with her until she bore a son. He named him Jesus.|Makes knew explicit while leaving what follows until unstated and retaining the pinned absence of firstborn.
2:1|After Jesus was born in Bethlehem of Judea, during King Herod’s reign, magi from the east arrived in Jerusalem.|Retains magi without adding kings, number, or names.
2:2|“Where is the one born king of the Jews?” they asked. “We saw his star at its rising and have come to bow before him.”|Keeps born king and the rising/east ambiguity in a note; bowing does not predetermine the visitors’ theology.
2:3|When King Herod heard this, he was alarmed, and all Jerusalem with him.|Preserves the city’s shared disturbance without inventing its motive.
2:4|He gathered all the people’s chief priests and scribes and asked them where the Messiah was to be born.|Keeps both named groups and the expected birth-location question.
2:5|“In Bethlehem of Judea,” they told him, “for this is what was written through the prophet:|Retains the quoted scriptural basis and regional identification.
2:6|‘And you, Bethlehem in Judah’s land,\nare by no means least among Judah’s rulers,\nfor from you will come a ruler\nwho will shepherd my people Israel.’”|Follows Matthew’s quotation rather than harmonizing its wording to Micah’s Hebrew.
2:7|Then Herod secretly summoned the magi and determined from them exactly when the star had appeared.|Preserves secrecy and precise chronological inquiry.
2:8|He sent them to Bethlehem, saying, “Go and search carefully for the child. When you find him, report back to me, so I too can go and bow before him.”|Keeps Herod’s professed purpose in his own speech without endorsing it.
2:9|After hearing the king, they went on their way. The star they had seen at its rising went ahead of them until it stopped over the place where the child was.|Retains the star’s narrative movement without substituting an astronomical explanation.
2:10|When they saw the star, they were overwhelmed with joy.|Carries the piled-up Greek intensification into natural English.
2:11|They entered the house and saw the child with Mary his mother. They fell down and bowed before him. Then they opened their treasure chests and offered him gifts: gold, frankincense, and myrrh.|Preserves house, mother, bodily homage, and all three gifts.
2:12|Warned in a dream not to return to Herod, they went home by another route.|Retains dream warning and changed route without supplying the warning’s speaker.
2:13|After they left, an angel of the Lord appeared to Joseph in a dream. “Get up,” he said. “Take the child and his mother and flee to Egypt. Stay there until I tell you, because Herod is about to search for the child to kill him.”|Keeps flight, destination, waiting condition, and explicit threatened killing.
2:14|Joseph got up, took the child and his mother during the night, and left for Egypt.|Preserves the urgent nighttime response and repeated child/mother wording.
2:15|He stayed there until Herod’s death. This fulfilled what the Lord had spoken through the prophet: “Out of Egypt I called my son.”|Retains fulfillment and the quotation without rewriting Hosea’s earlier context.
2:16|When Herod realized the magi had outwitted him, he became furious. He sent men to kill all the boys in Bethlehem and the surrounding district who were two years old or younger, according to the time he had learned from the magi.|Preserves deliberate killing, male children, age boundary, location, and the timing link.
2:17|Then what had been spoken through Jeremiah the prophet was fulfilled:|Keeps named prophetic attribution.
2:18|“A voice was heard in Ramah,\nweeping and great mourning—\nRachel weeping for her children,\nrefusing to be comforted,\nbecause they are no more.”|Preserves maternal grief and refusal of comfort without adding closure.
2:19|After Herod died, an angel of the Lord appeared in a dream to Joseph in Egypt.|Keeps both death transition and dream location.
2:20|“Get up,” he said. “Take the child and his mother and go to the land of Israel, because those who sought the child’s life are dead.”|Retains the source’s plural those despite the immediate singular Herod reference.
2:21|Joseph got up, took the child and his mother, and entered the land of Israel.|Preserves the obedient repetition of the command.
2:22|But when he heard that Archelaus ruled Judea in place of his father Herod, he was afraid to go there. Warned in a dream, he withdrew to the region of Galilee.|Keeps named succession, fear, and the second relocation warning.
2:23|He settled in a town called Nazareth, fulfilling what was spoken through the prophets: “He will be called a Nazarene.”|Preserves plural prophets and the unassigned quotation rather than inventing a single source.
3:1|In those days John the Baptist appeared in the Judean wilderness, proclaiming,|Keeps wilderness, title, and the announcement’s narrative arrival.
3:2|“Repent, for the kingdom of heaven has drawn near!”|Retains repentance and the kingdom’s nearness as a recurring formula.
3:3|This is the one spoken of through Isaiah the prophet:\n“A voice cries out in the wilderness:\n‘Prepare the Lord’s way;\nmake his paths straight.’”|Keeps the quotation’s voice, wilderness, and road-preparation imagery.
3:4|John wore clothing made of camel’s hair and a leather belt around his waist. His food was locusts and wild honey.|Retains all concrete clothing and food details without modern substitutes.
3:5|People from Jerusalem, all Judea, and the whole Jordan region went out to him.|Makes the geographical collective subjects natural while retaining their broad scope.
3:6|They confessed their sins and were baptized by him in the Jordan River.|Keeps confession and baptism together without asserting a technical order beyond narrative flow.
3:7|When he saw many Pharisees and Sadducees coming to his baptism, he said, “You brood of vipers! Who warned you to flee the coming wrath?|Preserves the named groups, biting insult, and question about warning.
3:8|Produce fruit worthy of repentance.|Retains the fruit image and repentance connection.
3:9|Do not think you can say to yourselves, ‘We have Abraham as our father.’ I tell you, God can raise up children for Abraham from these stones.|Keeps ancestral claim and stones/children reversal without adding a doctrine of replacement.
3:10|The ax is already lying at the trees’ root. Every tree that fails to produce good fruit is cut down and thrown into the fire.|Preserves already, root, and the repeated fruit judgment.
3:11|I baptize you in water for repentance. But the one coming after me is stronger than I am; I am not worthy even to carry his sandals. He will baptize you in the Holy Spirit and fire.|Keeps water/Spirit/fire and carrying sandals rather than harmonizing to untying them.
3:12|His winnowing fork is in his hand. He will clear his threshing floor and gather his wheat into the storehouse, but burn the chaff with fire that cannot be put out.”|Retains each agricultural implement/action and the fire’s unquenchability.
3:13|Then Jesus came from Galilee to John at the Jordan to be baptized by him.|Keeps Jesus’ stated purpose and locations.
3:14|John tried to stop him. “I need to be baptized by you,” he said, “and you come to me?”|Retains John’s attempted resistance and surprised question.
3:15|Jesus answered, “Allow it for now. This is how it is fitting for us to fulfill all righteousness.” Then John allowed him.|Preserves now, us, righteousness, and the repeated allowing without overexplaining the theology.
3:16|After Jesus was baptized, he immediately came up from the water. The heavens opened, and he saw God’s Spirit descending like a dove and coming upon him.|Keeps the visual subject he and the dove comparison rather than declaring a literal bird.
3:17|A voice from heaven said, “This is my beloved Son; in him I delight.”|Preserves third-person public declaration and divine delight.
4:1|Then the Spirit led Jesus into the wilderness to be tested by the devil.|Keeps the Spirit’s leading and the devil’s testing as distinct roles.
4:2|He fasted for forty days and forty nights, and afterward he was hungry.|Retains both forty periods and the bodily hunger.
4:3|The tempter approached him and said, “If you are God’s Son, tell these stones to become loaves of bread.”|Preserves conditional challenge and plural stones/loaves.
4:4|Jesus answered, “It is written, ‘A human being does not live by bread alone, but by every word that comes from God’s mouth.’”|Keeps the scriptural answer and mouth image with inclusive human referent.
4:5|Then the devil took him into the holy city and placed him on the temple’s high edge.|Retains holy city and the uncertain architectural edge without inventing a precise height.
4:6|“If you are God’s Son,” he said, “throw yourself down. For it is written:\n‘He will command his angels concerning you,’\nand,\n‘They will lift you on their hands,\nso your foot will not strike a stone.’”|Preserves the devil’s scriptural citation and both quoted clauses.
4:7|Jesus told him, “It is also written, ‘Do not put the Lord your God to the test.’”|Retains the balancing scriptural reply and test verb.
4:8|Again the devil took him, this time to a very high mountain, and showed him all the world’s kingdoms and their glory.|Keeps the comprehensive kingdoms/glory offer and mountain setting.
4:9|“I will give you all of this,” he said, “if you fall down and worship me.”|Retains the explicit exchange condition and bodily submission.
4:10|Jesus said, “Go away, Satan! For it is written, ‘Worship the Lord your God and serve him alone.’”|Keeps Satan’s name, both worship/service verbs, and exclusive alone.
4:11|Then the devil left him, and angels came and attended to him.|Retains departure followed by angelic service.
4:12|When Jesus heard that John had been handed over, he withdrew to Galilee.|Preserves handed-over wording that recurs in the Gospel, with arrest context in a note.
4:13|He left Nazareth and settled in Capernaum beside the sea, in the territory of Zebulun and Naphtali.|Keeps settlement, shoreline, and both tribal names.
4:14|This fulfilled what was spoken through Isaiah the prophet:|Retains the named fulfillment introduction.
4:15|“Land of Zebulun and land of Naphtali,\nthe road by the sea, beyond the Jordan,\nGalilee of the nations—|Keeps every geographical element and nations rather than silently interpreting the population.
4:16|the people sitting in darkness have seen a great light;\nfor those sitting in the land and shadow of death,\nlight has dawned.”|Preserves sitting repeated and light/darkness/death imagery.
4:17|From then on Jesus began to proclaim, “Repent, for the kingdom of heaven has drawn near!”|Repeats John’s proclamation exactly to preserve narrative continuity.
