1:1|Paul, an apostle of Christ Jesus by the command of God our Savior and Christ Jesus our hope,|Retains commanded apostleship and both unusual divine titles.
1:2|to Timothy, my true child in faith: Grace, mercy and peace from God the Father and Christ Jesus our Lord.|Keeps spiritual kinship and the threefold blessing.
1:3|As I urged you when I was leaving for Macedonia, remain in Ephesus so that you may command certain people not to teach anything different|Preserves named places, personal commission and unspecified teachers.
1:4|or devote themselves to myths and endless genealogies. These promote speculations rather than God's stewardship, which operates by faith.|Keeps myths/genealogies and contrasts speculation with entrusted order.
1:5|The goal of this command is love from a pure heart, a good conscience and sincere faith.|Preserves the purpose and all three sources of love.
1:6|Some have missed these things and turned aside to empty talk.|Keeps the target-missing and turning images.
1:7|They want to be teachers of the law, though they understand neither what they say nor what they confidently assert.|Retains their aspiration and double lack of understanding.
1:8|But we know that the law is good if someone uses it lawfully.|Preserves the wordplay and conditional goodness.
1:9|We know this: law is not laid down for a righteous person, but for the lawless and rebellious, the ungodly and sinners, the unholy and profane, those who kill fathers or mothers, murderers,|Keeps the paired vice terms and explicit family violence.
1:10|the sexually immoral, men who have sex with men, slave traders, liars, perjurers and whatever else opposes sound teaching,|Renders the disputed sexual term with its male referents and names enslavement trafficking directly.
1:11|in accordance with the glorious good news of the blessed God, which was entrusted to me.|Keeps glory, blessing and personal stewardship.
1:12|I am grateful to Christ Jesus our Lord, who strengthened me, because he considered me faithful and appointed me to service,|Retains divine enabling, evaluation and appointment.
1:13|even though I was formerly a blasphemer, persecutor and violent man. But I received mercy because I acted ignorantly in unbelief,|Keeps all three prior harms and the stated ground for mercy.
1:14|and our Lord's grace overflowed with the faith and love that are in Christ Jesus.|Preserves excessive grace and its two companions.
1:15|This saying is trustworthy and deserves full acceptance: Christ Jesus came into the world to save sinners, of whom I am foremost.|Keeps the formula, mission and speaker's strong self-assessment.
1:16|But I received mercy for this reason: so that in me, the foremost, Christ Jesus might display his complete patience as an example for those who would believe in him for eternal life.|Retains Paul's exemplary place and patience's future audience.
1:17|Now to the King of the ages, immortal, invisible, the only God, be honor and glory forever and ever. Amen.|Preserves every title and the doxology's endless reach.
1:18|I entrust this command to you, my child Timothy, in keeping with the prophecies previously made about you, so that by them you may fight the good fight,|Keeps personal address, earlier prophecies and military metaphor.
1:19|holding on to faith and a good conscience. Some have rejected these and shipwrecked their faith.|Retains the conscience link and shipwreck image.
1:20|Among them are Hymenaeus and Alexander, whom I handed over to Satan so that they might be taught not to blaspheme.|Names both people and preserves the severe disciplinary claim and corrective purpose.
2:1|First of all, then, I urge that petitions, prayers, intercessions and thanksgivings be made for all people—|Keeps all four prayer terms and universal scope.
2:2|for kings and all who are in high positions, so that we may lead a calm and quiet life in all godliness and dignity.|Preserves rulers, social purpose and the two qualities of life.
2:3|This is good and acceptable before God our Savior,|Keeps divine evaluation and Savior title.
2:4|who desires all people to be saved and to come to the knowledge of the truth.|Retains both universal desire and twofold goal.
