1:1|The word of the LORD came to Micah of Moresheth during the reigns of Jotham, Ahaz, and Hezekiah, kings of Judah—what he saw concerning Samaria and Jerusalem.|Preserves origin, all three reigns, and both cities as vision scope.
1:2|Hear, all you peoples!\nListen, earth and everything in it!\nLet the Lord GOD be a witness against you,\nthe Lord from his holy temple.|Keeps universal summons, legal witness, and differing divine titles.
1:3|Look, the LORD is coming out of his place.\nHe will come down\nand tread the heights of the earth.|Preserves descent and high places as landscape with cultic resonance.
1:4|The mountains will melt beneath him\nand the valleys split apart,\nlike wax before fire,\nlike water pouring down a slope.|Keeps both terrain changes and two flowing/melting similes.
1:5|All this is because of Jacob’s rebellion\nand the sins of the house of Israel.\nWhat is Jacob’s rebellion? Is it not Samaria?\nWhat are Judah’s high places? Are they not Jerusalem?|Retains the difficult high-places clause and identification of each capital with wrongdoing.
1:6|“I will make Samaria a heap in the open country,\na place for planting vineyards.\nI will pour her stones into the valley\nand lay her foundations bare.|Preserves agricultural replacement, flowing stones, and exposed foundations.
1:7|All her carved images will be smashed;\nall her prostitute’s wages burned with fire.\nI will devastate all her idols,\nfor she gathered them from a prostitute’s wages,\nand to a prostitute’s wages they will return.”|Repeats wages to retain the accusation's circular economy without assuming a particular cult practice.
1:8|Because of this I will lament and wail;\nI will go stripped and naked.\nI will lament like jackals\nand mourn like ostriches.|Keeps the prophet's exposed mourning and both animal cries, with species uncertainty noted if needed.
1:9|Her wound is incurable.\nIt has reached Judah;\nit has touched the gate of my people,\nJerusalem itself.|Makes the geographic progression clear while preserving the feminine wound image.
1:10|Do not tell it in Gath;\ndo not weep at all.\nIn Beth-leaphrah, roll yourself in dust.|Follows read feminine imperative rather than written I rolled; retains place/dust wordplay.
1:11|Pass on, inhabitant of Shaphir,\nnaked and shamed.\nThe inhabitant of Zaanan has not come out.\nBeth-ezel’s mourning takes away its support from you.|Keeps all three difficult town puns and the obscure support clause without invented geography.
1:12|The inhabitant of Maroth writhes for good,\nfor disaster has come down from the LORD\nto Jerusalem’s gate.|Preserves bitter-town/good tension and explicit divine source of disaster.
1:13|Harness the chariot to the team, inhabitant of Lachish!\nShe was the beginning of sin for daughter Zion,\nfor Israel’s rebellions were found in you.|Keeps horse/Lachish soundplay in note, personified daughter, and accusation without inventing historical details.
1:14|So you will give parting gifts to Moresheth-gath.\nThe houses of Achzib will be a deception\nto the kings of Israel.|Retains parting-gift and false-town wordplay rather than translating names away.
1:15|I will again bring a conqueror to you, inhabitant of Mareshah.\nIsrael’s glory will come to Adullam.|Keeps possessor/Mareshah pun and unexplained glory destination.
1:16|Shave your head and cut off your hair\nfor the children you cherish.\nMake your baldness wide as a vulture’s,\nfor they have gone into exile away from you.|Uses vulture for baldness context within nesher range and preserves bereavement/exile cause.
2:1|Woe to those who plan wickedness\nand devise evil on their beds!\nAt morning light they carry it out\nbecause the power lies in their hands.|Preserves night planning/morning execution and power rather than mere opportunity.
2:2|They covet fields and seize them,\nhouses and take them away.\nThey oppress a man and his household,\na person and his inheritance.|Keeps paired land/house seizures and family inheritance rather than generic greed.
2:3|So this is what the LORD says:\n“I am planning disaster against this family,\na yoke you cannot remove from your necks.\nYou will no longer walk proudly,\nfor it will be an evil time.|Makes the neck image intelligible with yoke while preserving planning's reversal.
2:4|On that day people will take up a taunt over you\nand sing a bitter lament:\n‘We are utterly devastated!\nHe exchanges my people’s portion.\nHow he takes it from me!\nHe parcels out our fields to a renegade.’”|Keeps the lament's pronoun shifts and difficult renegade rather than silently naming invaders.
2:5|So you will have no one to stretch a measuring line\nfor an allotted share in the LORD’s assembly.|Preserves land-allotment mechanism and communal exclusion.
2:6|“Do not pour out such words!” they pour out.\n“They must not speak about these things;\ndisgrace will not overtake us.”|Retains speech's dripping metaphor and marks a plausible opponent quotation while noting uncertain speaker boundaries.
2:7|Should the house of Jacob say,\n“Has the LORD’s patience run short?\nAre these his deeds?”\n“Do not my words do good\nto the one who walks uprightly?|Separates objection and divine response while keeping spirit/patience sense explicit in note.
2:8|But lately my people have risen like an enemy.\nYou strip the fine cloak off the garment\nof those who pass by unsuspecting,\nreturning from war.|Follows the difficult garment layering and returned-war reading, without substituting peaceful civilians exclusively.
2:9|You drive the women of my people\nfrom the homes they cherish;\nyou take my splendor from their young children forever.|Preserves female victims, children, and divine splendor rather than generalizing displacement.
2:10|Get up and go! This is no resting place.\nBecause it is unclean, it brings destruction—\ngrievous destruction.|Keeps the difficult causal uncleanness and repeated ruin.
2:11|If someone trafficking in wind and falsehood lied,\n‘I will pour out words for you about wine and strong drink,’\nhe would be the preacher for this people!|Retains wind/falsehood and ironic welcome for alcohol-promising prophecy.
2:12|I will surely gather all of you, Jacob;\nI will surely assemble Israel’s remnant.\nI will bring them together like sheep in an enclosure,\nlike a flock in its pasture,\na noisy throng of people.|Retains emphatic gathering and flock noise; enclosure versus Bozrah noted.
2:13|The one who breaks through goes up before them.\nThey break through, pass the gate, and go out through it.\nTheir king passes before them,\nwith the LORD at their head.”|Keeps breakthrough repetitions and king/LORD relationship without supplying an identity beyond the text.
3:1|I said:\n“Listen, heads of Jacob\nand rulers of the house of Israel!\nShould you not know justice?|Preserves prophetic first-person opening and leaders' responsibility to know justice.
3:2|You hate good and love evil.\nYou tear the skin from my people\nand the flesh from their bones.|Makes the victims clear from next verse while retaining the graphic butchery metaphor.
3:3|You eat my people’s flesh,\nstrip off their skin,\nbreak their bones,\nand chop them up like meat for a pot,\nlike flesh in a cauldron.”|Preserves every violent action rather than paraphrasing exploitation.
3:4|Then they will cry to the LORD,\nbut he will not answer them.\nHe will hide his face from them at that time\nbecause their deeds have been evil.|Keeps reciprocal nonresponse and hidden face with stated cause.
3:5|This is what the LORD says about the prophets\nwho lead my people astray:\n“When they have something between their teeth, they proclaim peace;\nagainst anyone who puts nothing in their mouths,\nthey consecrate war.|Retains mouth/teeth economy and the contrast of peace versus consecrated war.
3:6|So night will come upon you without vision,\ndarkness without divination.\nThe sun will set on the prophets;\nthe day will grow dark over them.|Keeps loss of revelation expressed through four darkness clauses.
3:7|The seers will be ashamed\nand the diviners disgraced.\nThey will all cover their upper lips,\nfor there is no answer from God.”|Retains the physical mourning/shame gesture and lack of divine answer.
3:8|But I am filled with power,\nwith the Spirit of the LORD, with justice and courage,\nto declare Jacob’s rebellion to him\nand Israel’s sin.|Preserves the prophet's contrasting commission and all enabling qualities.
3:9|Hear this, heads of the house of Jacob\nand rulers of the house of Israel,\nyou who detest justice\nand twist everything that is straight,|Repeats the leadership summons and straight/crooked contrast.
3:10|who build Zion with bloodshed\nand Jerusalem with injustice.|Keeps the city-building accusation and synonymous place pairing.
3:11|Her heads judge for bribes,\nher priests teach for a price,\nand her prophets divine for silver.\nYet they lean on the LORD and say,\n“Is not the LORD among us? No disaster will reach us.”|Preserves all three corrupt roles and the claim of immunity as their speech.
3:12|So because of you, Zion will be plowed like a field,\nJerusalem will become heaps of rubble,\nand the temple mountain wooded heights.|Keeps direct responsibility and all three landscape reversals before chapter4's restoration.
4:1|In the days to come,\nthe mountain of the LORD’s house\nwill stand established above the mountains,\nraised higher than the hills.\nPeoples will stream toward it.|Preserves future mountain elevation and upward-streaming image.
4:2|Many nations will come and say,\n“Come, let us go up to the mountain of the LORD,\nto the house of Jacob’s God.\nHe will teach us his ways,\nand we will walk in his paths.”\nFor instruction will go out from Zion,\nand the word of the LORD from Jerusalem.|Keeps nations' active invitation, teaching/walking, and both divine-name occurrences.
4:3|He will judge between many peoples\nand settle disputes for powerful nations far away.\nThey will beat their swords into plowshares\nand their spears into pruning hooks.\nNation will not raise a sword against nation,\nand they will no longer learn war.|Preserves the range of nations and weapon transformations, with exact inverse relation to Joel3:10.
4:4|Each will sit beneath his own vine and fig tree,\nwith no one to frighten them,\nfor the mouth of the LORD of Armies has spoken.|Retains household agricultural security and divine mouth assurance.
4:5|All the peoples walk,\neach in the name of its god;\nbut we will walk in the name of the LORD our God\nforever and ever.|Keeps the plural nations' present conduct alongside communal resolve without doctrinal expansion.
4:6|“On that day,” declares the LORD,\n“I will gather the lame\nand assemble those driven away,\nthose whom I have afflicted.|Preserves marginalized groups and direct admission of divine affliction.
