1:1|The word of the LORD came to Hosea son of Beeri during the reigns of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah, and during the reign of Jeroboam son of Joash, king of Israel.|Retains both kingdoms and the full dated succession without collapsing the unequal reign lists.
1:2|When the LORD first spoke through Hosea, the LORD told him, “Go, take a wife of prostitution and children of prostitution, because the land has prostituted itself, turning away from the LORD.”|Keeps the troubling repeated sexual metaphor and the children within the command; leaves the woman's prior circumstances unspecified.
1:3|So he went and married Gomer daughter of Diblaim. She conceived and bore him a son.|Preserves the explicit “to him,” absent from the following births, without drawing a paternity inference.
1:4|The LORD told him, “Name him Jezreel. In a little while I will call the house of Jehu to account for the bloodshed at Jezreel, and I will put an end to the kingdom of the house of Israel.|Makes the bloodguilt concrete while keeping the dynasty and kingdom distinct.
1:5|On that day I will break Israel’s bow in the Valley of Jezreel.”|Retains the bow as an image of military strength and the repeated place-name.
1:6|She conceived again and bore a daughter. He told Hosea, “Name her Lo-ruhamah, because I will no longer show compassion to the house of Israel. I will certainly not forgive them.|Takes the difficult final bearing-away clause as refusal of pardon in the preceding negative scope; records its alternative in the note.
1:7|But I will show compassion to the house of Judah and save them by the LORD their God. I will not save them by bow or sword or battle, by horses or horsemen.”|Preserves the third-person divine name within God's speech and every rejected military means.
1:8|After she weaned Lo-ruhamah, she conceived and bore a son.|Keeps the birth sequence and weaning interval without supplying a father.
1:9|He said, “Name him Lo-ammi, because you are not my people, and I will not be yours.”|Preserves the open “I will not be for you” instead of adding “your God” to the verse.
1:10|Yet the people of Israel will be as numerous as the sand of the sea,\nwhich cannot be measured or counted.\nIn the place where they were told, “You are not my people,”\nthey will be called “children of the living God.”|Marks the abrupt reversal with yet; retains the place, sand, and children images across the Hebrew chapter boundary.
1:11|The people of Judah and Israel will gather together\nand appoint one leader over themselves.\nThey will come up from the land,\nfor great will be the day of Jezreel.|Keeps coming up from the land unresolved rather than importing a particular exile; retains the Jezreel reversal.
2:1|Call your brothers “My People,”\nand your sisters “Shown Compassion.”|Renders the reversed name meanings directly while preserving male and female kinship terms.
2:2|“Bring a case against your mother—bring a case!\nShe is not my wife,\nand I am not her husband.\nLet her remove the prostitution from her face\nand the adultery from between her breasts.|Keeps the repeated lawsuit imperative and bodily imagery rather than sanitizing the accusation.
