1:1|Paul, an apostle of Christ Jesus by God's will, and Timothy our brother, to God's church in Corinth, together with all the saints throughout Achaia:|Preserves the sender, calling, recipients, and regional scope.
1:2|Grace to you and peace from God our Father and the Lord Jesus Christ.|Retains the paired greeting and both sources.
1:3|Blessed be the God and Father of our Lord Jesus Christ, the Father of compassion and God of all comfort.|Keeps the blessing and repeated relational titles.
1:4|He comforts us in all our affliction so that we can comfort those in any affliction with the comfort we ourselves receive from God.|Preserves the repeated comfort language and its purpose.
1:5|For just as Christ's sufferings overflow to us, so through Christ our comfort also overflows.|Keeps the paired overflowing of suffering and comfort.
1:6|If we are afflicted, it is for your comfort and salvation; if we are comforted, it is for your comfort, which takes effect as you patiently endure the same sufferings we also suffer.|Preserves both conditions and endurance amid the same harms.
1:7|Our hope for you is firm, because we know that as you share in the sufferings, so you also share in the comfort.|Keeps shared suffering and comfort in parallel.
1:8|Brothers and sisters, we do not want you to be unaware of the affliction we experienced in Asia. We were burdened far beyond our strength, so much that we despaired even of living.|Names the actual severity and Asia without softening despair.
1:9|Indeed, we felt within ourselves that we had received a sentence of death. This happened so that we would not trust in ourselves but in God, who raises the dead.|Keeps the inward verdict, purpose, and resurrection ground.
1:10|He rescued us from such great danger of death and will rescue us. We have set our hope on him that he will rescue us again,|Preserves past, future, and continuing hope.
1:11|as you also help us by your prayer, so that many may give thanks on our behalf for the gracious gift given to us through the prayers of many.|Keeps the community's prayer and many-person thanksgiving.
1:12|For this is our reason for boasting: the testimony of our conscience that we conducted ourselves in the world—and especially toward you—with God's holiness and sincerity, not with fleshly wisdom but with God's grace.|Preserves conscience, conduct, contrast, and the marked focus on Corinth.
1:13|For we are not writing you anything other than what you can read and understand. I hope you will understand fully,|Keeps the wordplay between reading and recognizing in natural English.
1:14|just as you have understood us in part, that on the day of our Lord Jesus we are your reason for boasting, just as you are ours.|Retains partial recognition and reciprocal boasting at the day.
1:15|Because I was confident of this, I intended to come to you first, so that you might receive grace a second time.|Keeps Paul's plan and the second benefit.
1:16|I intended to travel through you to Macedonia, then come back to you from Macedonia and have you send me on my way to Judea.|Preserves the planned route and the Corinthians' support.
1:17|When I intended this, was I being fickle? Or do I make my plans according to the flesh, so that with me it is both “Yes, yes” and “No, no”?|Keeps the rhetorical questions and doubled yes/no.
1:18|But as God is faithful, our word to you is not both “Yes” and “No.”|Grounds the denial in God's faithfulness.
1:19|For the Son of God, Jesus Christ, whom we proclaimed among you—through me, Silvanus, and Timothy—did not become “Yes” and “No,” but in him it has become “Yes.”|Retains all preachers and the contrast centered in Christ.
1:20|For however many God's promises are, in him they are “Yes.” Therefore through him we also say the “Amen” to God for his glory.|Keeps the promise fulfillment and the community's response.
1:21|The one who establishes us with you in Christ and anointed us is God.|Preserves God's action on both workers and readers.
1:22|He also sealed us and gave the Spirit in our hearts as a down payment.|Keeps seal, Spirit, heart, and commercial image.
1:23|But I call God as witness against my own life: it was to spare you that I did not come again to Corinth.|Retains the solemn oath and stated motive.
1:24|Not that we rule over your faith; rather, we work with you for your joy, because you stand firm by faith.|Preserves the denial of domination and collaborative contrast.
2:1|So I decided this for myself: I would not come to you again in sorrow.|Keeps the personal decision and relational setting.
2:2|For if I cause you sorrow, who is left to make me glad except the one I have caused sorrow?|Preserves the pointed reciprocal question.
2:3|I wrote as I did so that when I came I would not be grieved by those who should have made me glad. I was confident about all of you, that my joy belongs to all of you.|Keeps the purpose and shared joy.
2:4|For I wrote to you through much affliction and anguish of heart, with many tears—not to cause you sorrow, but so that you might know the abundant love I have especially for you.|Retains distress, tears, denied aim, and love.
2:5|But if anyone has caused sorrow, he has not caused sorrow to me alone, but—to avoid overstating it—to some extent to all of you.|Keeps Paul's qualification rather than universalizing the harm.
2:6|The punishment imposed by the majority is enough for such a person.|Preserves the communal action and its sufficiency.
2:7|So now, instead, you should forgive and comfort him, so that he is not overwhelmed by excessive sorrow.|Keeps the reversal and danger of engulfing grief.
2:8|Therefore I urge you to reaffirm your love for him.|States the requested public confirmation.
2:9|This is also why I wrote: to learn by testing whether you are obedient in everything.|Preserves the stated test and its scope.
2:10|Anyone you forgive, I also forgive. Indeed, whatever I have forgiven—if I had anything to forgive—I have forgiven for your sake in the presence of Christ,|Keeps the conditional qualification and Christward setting.
2:11|so that Satan might not take advantage of us, for we are not unaware of his schemes.|Preserves purpose and awareness of designs.
2:12|When I came to Troas for the gospel of Christ and a door was opened for me in the Lord,|Keeps place, mission, and opened-door image.
2:13|I had no relief in my spirit because I did not find my brother Titus there. So I said goodbye to them and left for Macedonia.|Preserves inner unrest, kinship, farewell, and movement.
