1:1|Simeon Peter, a slave and apostle of Jesus Christ, to those who have received a faith equal in value to ours through the righteousness of our God and Savior Jesus Christ:|Follows the pinned Simeon form and keeps slave/apostle roles and dense divine title.
1:2|May grace and peace be multiplied to you through the knowledge of God and of Jesus our Lord.|Preserves increased blessing and two named objects of knowledge.
1:3|His divine power has given us everything needed for life and godliness through knowing the one who called us by his own glory and excellence.|Keeps divine provision, knowledge and the pinned own-glory reading.
1:4|Through these he has given us precious and very great promises, so that through them you may become partners in the divine nature, having escaped the corruption in the world caused by desire.|Retains elevated participation, promises and moral decay.
1:5|For this very reason, make every effort to supply goodness alongside your faith, and knowledge alongside goodness,|Keeps generous-supply verb and first links in the virtue chain.
1:6|self-control alongside knowledge, endurance alongside self-control, and godliness alongside endurance,|Preserves exact middle sequence.
1:7|family affection alongside godliness, and love alongside family affection.|Keeps distinct sibling affection and broader love.
1:8|For if these qualities are yours and increasing, they will keep you from being ineffective or unfruitful in knowing our Lord Jesus Christ.|Retains growth, work/fruit negatives and relational knowledge.
1:9|But anyone who lacks these is blind and shortsighted, having forgotten the cleansing of past sins.|Keeps paired vision defects and forgotten purification.
1:10|Therefore, brothers and sisters, make every effort to confirm your calling and election, for if you practice these things you will never stumble.|Preserves divine calling/election alongside active confirmation and emphatic result.
1:11|In this way, entrance into the eternal kingdom of our Lord and Savior Jesus Christ will be richly supplied to you.|Keeps lavish entrance and full title.
1:12|Therefore, I will always remind you about these things, although you know them and are established in the truth you now possess.|Retains reminder despite knowledge and present stability.
1:13|I think it is right, as long as I am in this tent, to stir you up by reminding you,|Keeps body-as-tent and awakening image.
1:14|because I know that I will soon put aside my tent, just as our Lord Jesus Christ made clear to me.|Preserves approaching death, tent removal and disclosed knowledge.
1:15|And I will make every effort so that after my departure you may always be able to remember these things.|Keeps death-as-exodus/departure and durable remembrance.
1:16|For we did not follow cleverly invented myths when we made known to you the power and coming of our Lord Jesus Christ; we were eyewitnesses of his majesty.|Preserves denial, future coming and claimed eyewitness status.
1:17|For he received honor and glory from God the Father when a voice like this was brought to him by the Majestic Glory: “This is my beloved Son, in whom I am well pleased.”|Keeps honor/glory, circumlocution and exact filial declaration.
1:18|We ourselves heard this voice brought from heaven when we were with him on the holy mountain.|Retains first-person witness and named sacred location.
1:19|We also have the prophetic word made more certain, and you do well to pay attention to it as to a lamp shining in a dark place, until day dawns and the morning star rises in your hearts.|Keeps comparison, lamp/dawn/star imagery and inward location.
1:20|Above all, know this: no prophecy of Scripture comes from one's own interpretation,|Preserves own-interpretation wording without deciding whether it describes origin or exposition.
1:21|for no prophecy was ever brought by human will; rather, people spoke from God as they were carried along by the Holy Spirit.|Keeps denied human initiative and Spirit-carried speech.
