1:1|The elder, to beloved Gaius, whom I love in truth.|Keeps the named recipient and the recurring love-in-truth expression.
1:2|Beloved, I pray that all may go well with you and that you may be in good health, just as all goes well with your soul.|Preserves a personal prayer or wish rather than turning it into a promise of health or prosperity.
1:3|I rejoiced greatly when brothers and sisters came and bore witness to your truth, just as you are walking in truth.|Keeps testimony and the repeated truth and walking language.
1:4|I have no greater joy than hearing that my children are walking in the truth.|Retains the family metaphor and the stated greatest joy.
1:5|Beloved, you act faithfully in whatever you do for the brothers and sisters, even though they are strangers.|Preserves the strangers' relationship to the recipient and the broad hospitality commendation.
1:6|They have borne witness to your love before the church. You will do well to send them on their way in a manner worthy of God,|Keeps public testimony and the God-worthy standard of practical assistance.
1:7|because they went out for the sake of the Name, accepting nothing from the Gentiles.|Retains the unnamed Name and the source's Gentiles distinction without adding an explanation in the text.
1:8|So we ought to support such people, so that we may become fellow workers for the truth.|Preserves the obligation and shared work's purpose.
1:9|I wrote something to the church, but Diotrephes, who loves to be first among them, does not accept us.|Keeps the prior writing reference, named person's ambition and us without inventing the letter's contents.
1:10|So if I come, I will call attention to what he is doing: talking malicious nonsense about us. Not content with that, he himself refuses to welcome the brothers and sisters, stops those who want to, and throws them out of the church.|Retains the conditional visit and each escalating exclusionary act.
1:11|Beloved, do not imitate what is evil, but what is good. Whoever does good is of God; whoever does evil has not seen God.|Preserves the ethical contrast and the strong final claim.
1:12|Everyone has borne witness to Demetrius, and so has the truth itself. We also bear witness, and you know that our testimony is true.|Keeps all three witnesses and the singular recipient's knowledge.
1:13|I had much to write to you, but I do not want to write it with ink and pen.|Renders the writing reed as pen while retaining both materials.
1:14|Instead, I hope to see you soon, and we will speak face to face.|Keeps the hope and timing and renders mouth to mouth naturally.
1:15|Peace to you. The friends greet you. Greet the friends by name.|Preserves the source's separate final verse, mutual greetings and individual by-name instruction.
