41:1|In the seventh month, Ishmael son of Nethaniah, son of Elishama, a man of royal descent and one of the king's officers, came to Gedaliah son of Ahikam at Mizpah with ten men. They shared a meal there at Mizpah.|Keeps royal ancestry, office, ten men, and the shared meal before the attack.
41:2|Ishmael son of Nethaniah and the ten men with him rose up and struck down Gedaliah son of Ahikam, son of Shaphan, with the sword. Ishmael killed the man the king of Babylon had appointed over the land.|Keeps the group's attack followed by Ishmael's singular killing of the appointed governor.
41:3|Ishmael also killed all the Judeans who were with Gedaliah at Mizpah, along with the Chaldean soldiers found there.|Distinguishes the Judeans from the occupying soldiers without supplying numbers.
41:4|The day after Gedaliah was killed, before anyone knew about it,|Lets the temporal introduction continue into the arriving pilgrims.
41:5|eighty men came from Shechem, Shiloh, and Samaria. Their beards were shaved, their clothes torn, and their bodies cut. They carried a grain offering and frankincense to bring to the house of the **LORD**.|Preserves all places, eighty men, mourning injuries, and offerings without explaining away the ruined sanctuary.
41:6|Ishmael son of Nethaniah went out from Mizpah to meet them, weeping as he walked. When he reached them, he said, “Come to Gedaliah son of Ahikam.”|Keeps Ishmael's tears as narrated without labeling his motive.
41:7|Once they were inside the town, Ishmael son of Nethaniah and the men with him slaughtered them and threw them into the cistern.|Makes the compressed slaughter-into-cistern construction intelligible without softening it.
41:8|But ten of them said to Ishmael, “Don't kill us! We have stores hidden in the fields: wheat, barley, oil, and honey.” So he held back and did not kill them with the others.|Retains all stored commodities and the ten men's escape from the massacre.
41:9|The cistern where Ishmael threw the bodies of the men he had killed alongside Gedaliah was the one King Asa had made because of Baasha king of Israel. Ishmael son of Nethaniah filled it with the slain.|Keeps the difficult association with Gedaliah and the cistern's history; note explains the uncertain phrase.
41:10|Ishmael took captive all the people left in Mizpah: the king's daughters and everyone else whom Nebuzaradan, captain of the guard, had entrusted to Gedaliah son of Ahikam. Ishmael son of Nethaniah took them captive and set out to cross over to the Ammonites.|Retains royal daughters and the repeated captivity verb as the situation worsens.
41:11|Johanan son of Kareah and all the army commanders with him heard about all the evil Ishmael son of Nethaniah had done.|Keeps the narrator's judgment and the commanders' response to news.
41:12|They gathered all their men and set out to fight Ishmael son of Nethaniah. They found him by the great pool at Gibeon.|Reads the many waters as a large pool, identifying the location without modern reconstruction.
41:13|When all the people with Ishmael saw Johanan son of Kareah and the army commanders with him, they were glad.|Preserves the captives' emotional response before their movement.
41:14|All those Ishmael had taken captive from Mizpah turned around and went back to Johanan son of Kareah.|Makes the change of allegiance and direction readable without adding combat.
41:15|But Ishmael son of Nethaniah escaped from Johanan with eight men and went to the Ammonites.|Retains eight survivors without inventing the fate of the other two.
41:16|Johanan son of Kareah and all the army commanders with him gathered the people he had recovered from Ishmael son of Nethaniah after the murder of Gedaliah son of Ahikam: the men of war, women, children, and eunuchs taken from Mizpah and brought back from Gibeon.|Unpacks the long recovery clause while preserving all groups and both places.
41:17|They went and stayed at Geruth-chimham near Bethlehem, intending to go on into Egypt,|Follows the read form Chimham and retains the stopping place as a name.
41:18|away from the Chaldeans. They were afraid of them because Ishmael son of Nethaniah had killed Gedaliah son of Ahikam, whom the king of Babylon had appointed over the land.|Keeps the reason for fear as the group's expectation, not a reported reprisal.
42:1|Then all the army commanders, Johanan son of Kareah, Jezaniah son of Hoshaiah, and all the people, from the least to the greatest, came forward.|Preserves Jezaniah here rather than harmonizing the name with 43:2.
42:2|They said to Jeremiah the prophet, “Please hear our plea. Pray to the **LORD** your God for us, for all this remnant. Once we were many; now only a few of us are left, as you can see.|Preserves your God and the contrast between former numbers and the remnant.
42:3|May the **LORD** your God show us the way to go and what we should do.”|Keeps the twofold request for direction and action.
42:4|Jeremiah the prophet answered, “I hear you. I will pray to the **LORD** your God as you ask. Everything the **LORD** tells me in answer to you, I will tell you. I will hold nothing back.”|Retains both divine names and Jeremiah's promise of a complete answer.
42:5|They said to Jeremiah, “May the **LORD** be a true and faithful witness against us if we fail to do everything the **LORD** your God sends you to tell us.|Maintains the self-binding witness formula rather than weakening it to good intentions.
42:6|Whether it is welcome or unwelcome, we will obey the **LORD** our God, to whom we are sending you. Then things will go well for us, because we obey the **LORD** our God.”|Renders good or bad as the hearers' reception and preserves the switch to our God.
42:7|Ten days later, the word of the **LORD** came to Jeremiah.|Retains the waiting interval without explanation.
42:8|He called Johanan son of Kareah, all the army commanders with him, and all the people, from the least to the greatest.|Repeats the full audience so the answer matches the request.
42:9|He told them, “This is what the **LORD**, the God of Israel, says—the one you sent me to with your plea:|Links the answer explicitly to their commission.
42:10|‘If you will stay in this land, I will build you up and not tear you down; I will plant you and not uproot you. For I have relented over the disaster I brought on you.|Preserves building and planting motifs and divine relenting without a doctrinal gloss.
42:11|Do not fear the king of Babylon, whom you now fear. Do not fear him, declares the **LORD**, for I am with you to save you and rescue you from his hand.|Keeps the repeated prohibition and the hand image.
42:12|I will grant you mercy, so that he will have mercy on you and restore you to your own ground.’|Retains the king as the second agent of mercy and the restoration wording.
42:13|“But if you say, ‘We will not stay in this land,’ and refuse to obey the **LORD** your God,|Keeps the condition running across verses.
42:14|if you say, ‘No! We will go to Egypt, where we will see no war, hear no trumpet, and go hungry for no bread. That is where we will live,’|Retains all three imagined freedoms as the people's speech.
42:15|then hear the word of the **LORD**, remnant of Judah. This is what the **LORD** of hosts, the God of Israel, says: ‘If you are determined to enter Egypt and settle there,|Expresses setting the face as determination while retaining the two divine names.
42:16|the sword you fear will catch up with you there in Egypt. The famine you dread will cling to you there in Egypt. There you will die.|Preserves the personified pursuit and repeated location.
42:17|Everyone determined to go and settle in Egypt will die by sword, famine, or plague. No survivor or fugitive will escape the disaster I am bringing on them.’|Retains the three threats and paired denial of escape.
42:18|“For this is what the **LORD** of hosts, the God of Israel, says: ‘As my anger and wrath were poured out on Jerusalem's inhabitants, so my wrath will be poured out on you when you enter Egypt. You will become an example invoked in oaths, an object of horror, a curse, and a disgrace. You will never see this place again.’|Keeps the poured wrath and four consequences, explaining the oath term in context.
42:19|“The **LORD** has spoken to you, remnant of Judah: ‘Do not go to Egypt.’ Be certain of this: I have warned you today.|Separates Jeremiah's warning from the quoted divine command.
42:20|You have made a fatal mistake. You yourselves sent me to the **LORD** your God, saying, ‘Pray for us to the **LORD** our God. Tell us everything the **LORD** our God says, and we will do it.’|Reads the erring as endangering their lives; preserves all three divine names in the recalled pledge.
42:21|I have told you today, but you have not obeyed the **LORD** your God in anything he sent me to tell you.|Retains the accusation that their response has already failed the pledge.
42:22|So be certain: you will die by sword, famine, and plague in the place where you want to go and settle.”|Closes with the repeated certainty and the place they desire.
43:1|Jeremiah finished telling all the people every word of the **LORD** their God—all these words the **LORD** their God had sent him to speak to them.|Preserves the repeated completeness of the message and two divine names.
43:2|Then Azariah son of Hoshaiah, Johanan son of Kareah, and all the arrogant men said to Jeremiah, “You are lying! The **LORD** our God did not send you to say, ‘Do not go to Egypt to settle there.’|Keeps Azariah distinct from 42:1 and the accusation directly in their speech.
43:3|Baruch son of Neriah is turning you against us, to hand us over to the Chaldeans so they can kill us or carry us into exile in Babylon.”|Preserves the allegation against Baruch without endorsing it as narration.
43:4|So Johanan son of Kareah, all the army commanders, and all the people refused to obey the **LORD**'s command to stay in the land of Judah.|Connects the narrator's judgment to the explicit command.
43:5|Johanan son of Kareah and all the army commanders took the whole remnant of Judah who had returned from all the nations where they had been scattered to settle in Judah:|Keeps the return from dispersion before the renewed displacement.
43:6|the men, women, children, and king's daughters—everyone Nebuzaradan, captain of the guard, had left with Gedaliah son of Ahikam, son of Shaphan. They also took Jeremiah the prophet and Baruch son of Neriah.|Preserves each group and Jeremiah and Baruch as people taken, not willing leaders.
43:7|They entered Egypt, refusing to obey the **LORD**, and reached Tahpanhes.|Keeps the journey and disobedience together.
43:8|In Tahpanhes, the word of the **LORD** came to Jeremiah:|Retains the new location of revelation.
43:9|“Take large stones and hide them in the mortar of the brickwork at the entrance to Pharaoh's palace in Tahpanhes, while the men of Judah watch.|Uses brickwork for the uncertain installation, with a note, and retains public witnesses.
43:10|Tell them, ‘This is what the **LORD** of hosts, the God of Israel, says: I am sending for my servant Nebuchadnezzar king of Babylon. I will place his throne over these stones I have hidden, and he will spread his canopy above them.|Keeps my servant and the divine first-person action, following the read form of canopy.
43:11|He will come and strike Egypt: those destined for death, to death; those for captivity, to captivity; those for the sword, to the sword.|Preserves the threefold destiny formula rather than paraphrasing it away.
43:12|I will set fire to the temples of Egypt's gods. He will burn them and carry them away. He will wrap himself in Egypt as a shepherd wraps himself in his garment, and leave there unharmed.|Retains shifts from I to he and the garment image; temples and gods remain linked in the pronouns.
