1:1|An oracle concerning Nineveh. The book of the vision of Nahum of Elkosh.|Preserves both oracle and written vision designations without locating uncertain Elkosh.
1:2|The LORD is a jealous and avenging God;\nthe LORD avenges and is full of wrath.\nThe LORD takes vengeance on his adversaries\nand reserves wrath for his enemies.|Retains three divine names and repeated vengeance rather than softening the opening.
1:3|The LORD is slow to anger and great in power,\nbut he will certainly not leave guilt unpunished.\nThe LORD’s way is in whirlwind and storm;\nclouds are the dust of his feet.|Keeps patience alongside accountability and ancient storm/feet imagery.
1:4|He rebukes the sea and dries it up;\nhe makes all the rivers run dry.\nBashan and Carmel wither;\nLebanon’s blossoms wither.|Retains all waters and three fertile regions with repeated withering.
1:5|Mountains quake before him,\nand hills melt away.\nThe earth heaves before him—\nthe world and everyone living in it.|Keeps geological disturbance and universal inhabitants rather than reducing to local tremor.
1:6|Who can stand before his indignation?\nWho can endure his burning anger?\nHis fury pours out like fire;\nrocks break apart before him.|Preserves paired questions and liquid fire/rock imagery.
1:7|The LORD is good,\na stronghold on the day of distress.\nHe knows those who take refuge in him.|Keeps relational knows and stronghold rather than flattening into general reassurance.
1:8|But with an overwhelming flood\nhe will make a complete end of her place;\ndarkness will pursue his enemies.|Retains feminine unnamed her place and darkness as the pursuing subject.
1:9|What are you plotting against the LORD?\nHe is making a complete end;\ndistress will not rise a second time.|Preserves complete end refrain and ambiguous second-time distress rather than a universal promise of no suffering.
1:10|Though entangled like thorns\nand drunk with their drink,\nthey will be consumed like fully dried stubble.|Keeps the difficult thorn/drunkenness comparison and complete dryness.
1:11|From you came one who plotted evil against the LORD,\na counselor of wickedness.|Leaves the male plotter unnamed and belial descriptive rather than a supernatural proper name.
1:12|This is what the LORD says:\n“Though they are at full strength and so numerous,\nthey will be cut down and pass away.\nThough I have afflicted you,\nI will afflict you no more.|Keeps enemies' strength and the shift to afflicted feminine addressee, explained in notes.
1:13|Now I will break his yoke from your neck\nand tear your bonds apart.”|Preserves male oppressor versus female captive pronouns and physical liberation images.
1:14|The LORD has commanded concerning you:\n“No more descendants will carry your name.\nFrom the house of your gods\nI will cut off carved and cast images.\nI will prepare your grave, for you are worthless.”|Marks switch to masculine enemy address and retains lineage, cult objects, and grave judgment.
1:15|Look, on the mountains,\nthe feet of one bringing good news, announcing peace!\nCelebrate your festivals, Judah; fulfill your vows.\nThe wicked one will never again pass through you;\nhe is utterly cut off.|Preserves messenger's feet and explicit Judah addressee, mapping source2:1 correctly.
2:1|A scatterer has come up against you.\nGuard the fortress! Watch the road!\nBrace your waist! Gather all your strength!|Keeps four urgent defensive commands and scatterer as unnamed attacker.
2:2|For the LORD is restoring Jacob’s splendor,\nlike Israel’s splendor,\nthough plunderers have plundered them\nand ruined their vine branches.|Preserves like rather than silently and, and repeated plunder plus vine image.
2:3|His warriors’ shields are red;\nhis soldiers are clothed in scarlet.\nThe chariots flash with fiery metal on the day he prepares them,\nand cypress spears are brandished.|Renders two rare equipment terms cautiously with uncertainty noted; retains color and preparation.
2:4|Chariots race wildly through the streets\nand rush about the squares.\nThey look like torches;\nthey dart like lightning.|Keeps both locations and two rapid light similes.
2:5|He summons his nobles;\nthey stumble as they go.\nThey hurry to her wall,\nand the protective screen is set in place.|Keeps unnamed commander, stumbling, and uncertain siege screen without fixing attacker/defender identification.
2:6|The river gates are opened;\nthe palace dissolves.|Retains terse water and dissolution imagery without inventing the engineering of Nineveh's fall.
2:7|It is decreed: she is exposed and led away.\nHer slave women moan like doves,\nbeating their breasts.|Chooses passive decree rather than proper name Huzzab; preserves female captives and mourning gesture.
2:8|Nineveh has been like a pool of water since her earliest days,\nbut now they are fleeing.\n“Stop! Stop!”\nNo one turns back.|Follows difficult since-her-days wording and repeated futile command.
2:9|Plunder silver! Plunder gold!\nThere is no end to the treasure,\na wealth of every precious object.|Retains doubled plunder imperative and abundant loot.
2:10|Empty, emptied, devastated!\nHearts melt, knees buckle;\nevery waist writhes,\nand every face loses its color.|Uses sound-linked English for three Hebrew devastation words and preserves all bodily reactions.
2:11|Where is the lions’ den,\nthe feeding ground of the young lions,\nwhere lion, lioness, and cub walked\nwith no one to frighten them?|Keeps the whole lion family and ironic lost security without overexplaining royal symbolism in text.
2:12|The lion tore enough prey for his cubs\nand strangled prey for his lionesses.\nHe filled his lairs with prey,\nhis dens with torn flesh.|Retains repeated prey and violent provision as the empire image.
2:13|“I am against you,” declares the LORD of Armies.\n“I will burn her chariots into smoke;\nthe sword will consume your young lions.\nI will cut off your prey from the earth,\nand your messengers’ voices will be heard no more.”|Preserves source her/your shift, lion-to-military linkage, and final silencing of messengers.
