1:1|The elder, to the chosen lady and her children, whom I love in truth—and not I alone, but also everyone who knows the truth—|Preserves the personal address and the possibility of a church personified as a lady.
1:2|because of the truth that remains in us and will be with us forever.|Keeps the reason and continuing presence of truth.
1:3|Grace, mercy and peace will be with us from God the Father and from Jesus Christ, the Father's Son, in truth and love.|Follows the future assurance and us reading without adding Lord.
1:4|I rejoiced greatly to find some of your children walking in truth, just as we received a command from the Father.|Keeps the partitive some and walking image without implying all the others are unfaithful.
1:5|And now I ask you, lady—not as though writing you a new command, but the one we have had from the beginning—that we love one another.|Preserves the address, old command and reciprocal love.
1:6|And this is love: that we walk according to his commands. This is the command, just as you heard from the beginning: that you walk in it.|Keeps command/commands and the repeated walk, leaving it tied to the preceding love and command.
1:7|For many deceivers have gone out into the world, those who do not confess Jesus Christ coming in the flesh. Such a person is the deceiver and the antichrist.|Retains the present coming participle rather than silently changing it to a past tense and preserves embodied confession.
1:8|Watch yourselves, so that you do not lose what we have worked for, but receive a full reward.|Follows the pinned you/we/you shifts without harmonizing them.
1:9|Everyone who goes ahead and does not remain in the teaching of Christ does not have God. Whoever remains in the teaching has both the Father and the Son.|Keeps goes ahead and leaves teaching of Christ open to teaching from or about him.
1:10|If anyone comes to you and does not bring this teaching, do not receive that person into your house or offer a greeting,|Preserves the concrete hospitality and greeting restrictions in their teaching context.
1:11|because whoever offers that person a greeting shares in their evil works.|Keeps the stated participation rationale and the force of evil.
1:12|I have much to write to you, but I do not want to do it with paper and ink. Instead, I hope to come to you and speak face to face, so that your joy may be complete.|Renders mouth to mouth naturally and follows the pinned your joy reading.
1:13|The children of your chosen sister greet you.|Preserves the sister/children address and ends without an added Amen.
