1:1|An oracle: the word of the LORD to Israel through Malachi.|Keeps the name while noting its literal my-messenger sense.
1:2|“I have loved you,” says the LORD. But you ask, “How have you loved us?” “Was not Esau Jacob’s brother?” declares the LORD. “Yet I loved Jacob,|Preserves the disputation and leads love into its contrasting next verse.
1:3|but Esau I hated. I made his mountains a wasteland and his inheritance a place for desert jackals.”|Retains hated rather than silently weakening it and keeps the territorial devastation.
1:4|Edom may say, “We are shattered, but we will return and rebuild the ruins.” Yet the LORD of Armies says, “They may build, but I will tear down. They will be called ‘Wicked Territory’ and ‘The People with Whom the LORD Is Angry Forever.’”|Keeps Edom’s resolve, divine response, and both judgment names.
1:5|You will see it with your own eyes and say, “Great is the LORD beyond Israel’s borders!”|Preserves eyewitness recognition and beyond-Israel scope.
1:6|“A son honors his father, and a slave his master. If I am a father, where is my honor? If I am a master, where is the fear of me?” says the LORD of Armies to you priests who despise my name. “But you ask, ‘How have we despised your name?’|Retains the father/master questions, slavery relation, and named priestly addressees.
1:7|By presenting polluted food on my altar. You ask, ‘How have we polluted you?’ By saying, ‘The LORD’s table deserves contempt.’|Keeps the you-object of pollution and the table/altar relation.
1:8|When you present blind animals for sacrifice, is that not wrong? When you present lame or sick animals, is that not wrong? Offer one to your governor! Would he be pleased with you or receive you favorably?” says the LORD of Armies.|Preserves the repeated accusation and pointed governor comparison.
1:9|“Now seek God’s favor, so he may be gracious to us. With this coming from your hands, will he receive any of you favorably?” says the LORD of Armies.|Retains the us shift and the challenge tied to their offerings.
1:10|“If only someone among you would shut the doors, so you would not kindle my altar for nothing! I take no pleasure in you,” says the LORD of Armies, “and I will accept no offering from your hands.|Keeps the wish to stop futile worship and explicit rejection.
1:11|For from sunrise to sunset my name is great among the nations. In every place incense and a pure offering are presented to my name, for my name is great among the nations,” says the LORD of Armies.|Preserves the present-form claim, repeated greatness, and worldwide offerings without imposing a future-only setting.
1:12|“But you profane it by saying, ‘The Lord’s table is polluted, and its food is contemptible.’|Preserves Lord rather than LORD here and the table-food insult.
1:13|You say, ‘What a burden!’ and sniff at it,” says the LORD of Armies. “You bring stolen, lame, and sick animals as your offering. Should I accept that from your hands?” says the LORD.|Keeps disgust, stolen animals, and both divine-name formulas.
1:14|“Cursed is the cheat who has a male in his flock and makes a vow but sacrifices a blemished animal to the Lord. For I am a great King,” says the LORD of Armies, “and my name is feared among the nations.|Retains the available male animal, deceitful substitution, and king title.
2:1|Now, priests, this command is for you.|Keeps the specific priestly address.
2:2|If you will not listen and will not take it to heart to honor my name,” says the LORD of Armies, “I will send the curse upon you and curse your blessings. Indeed, I have already cursed them, because you do not take it to heart.|Preserves both conditions, repeated taking-to-heart, and the already-accomplished curse.
2:3|I will rebuke your offspring and smear dung on your faces, dung from your festivals, and you will be carried away with it.|Follows seed as offspring, retains graphic dung and removal, and notes seed’s ambiguity.
2:4|Then you will know that I sent you this command so my covenant with Levi might continue,” says the LORD of Armies.|Retains the covenant’s intended continuation rather than cancellation.
2:5|“My covenant with him was life and peace. I gave these to him for reverence, and he revered me; he stood in awe of my name.|Keeps life, peace, and reverence distinct while easing the compressed syntax.
2:6|True instruction was in his mouth, and no injustice was found on his lips. He walked with me in peace and uprightness and turned many away from guilt.|Retains mouth/lips and walking images and the instruction’s effect.
2:7|For a priest’s lips should guard knowledge, and people should seek instruction from his mouth, because he is a messenger of the LORD of Armies.|Keeps the priest as messenger and embodied speech imagery.
2:8|But you have turned from the way. You have made many stumble through instruction. You have corrupted Levi’s covenant,” says the LORD of Armies.|Preserves three failures and the consequential misuse of instruction.
2:9|“So I have made you despised and low before all the people, because you do not keep my ways and show partiality in instruction.”|Keeps the public consequence and partiality accusation.
2:10|Do we not all have one father? Did not one God create us? Why do we betray one another, profaning our ancestors’ covenant?|Retains both questions and the communal us without deciding father’s identity beyond context.
2:11|Judah has betrayed, and an abomination has been committed in Israel and Jerusalem. Judah has profaned the LORD’s holy place, which he loves, and married the daughter of a foreign god.|Retains all locations and the foreign-god daughter image rather than turning it into a racial prohibition.
2:12|May the LORD cut off from Jacob’s tents anyone who does this—one who wakes and one who answers—even one who presents an offering to the LORD of Armies.|Preserves the obscure paired idiom with an explicit note, without claiming a certain class distinction.
2:13|And this is another thing you do: you cover the LORD’s altar with tears, weeping, and groaning, because he no longer regards the offering or accepts it favorably from your hands.|Retains tears and rejected offerings without assigning all tears to an unstated speaker.
2:14|You ask, “Why?” Because the LORD was witness between you and the wife of your youth, whom you have betrayed, though she is your companion and your wife by covenant.|Preserves the wife’s relational standing and the man’s betrayal.
2:15|Did not the one make them, with a remnant of spirit belonging to him? And what was the one seeking? Offspring for God. So guard your spirit, and let no one betray the wife of his youth.|Keeps the difficult one/spirit/offspring sequence in a qualified rendering, without pretending the syntax is settled.
2:16|“For the man who hates and divorces,” says the LORD, the God of Israel, “covers his garment with violence,” says the LORD of Armies. So guard your spirit, and do not betray.|Follows the third-person hates construction and preserves violence; the alternative I-hate-divorce rendering is noted without making the passage a blanket pastoral rule.
2:17|You have wearied the LORD with your words. Yet you ask, “How have we wearied him?” By saying, “Everyone who does evil is good in the LORD’s eyes, and he delights in them,” or, “Where is the God of justice?”|Retains the two complaints and their distinct claims.
3:1|“Look, I am sending my messenger to clear a way before me. Suddenly the Lord you seek will come to his temple—the messenger of the covenant in whom you delight. Look, he is coming,” says the LORD of Armies.|Keeps messenger, Lord, covenant messenger, and repeated coming without specifying their identities.
3:2|But who can endure the day of his coming? Who can stand when he appears? For he is like a refiner’s fire and launderers’ soap.|Preserves both questions and both refining/cleaning comparisons.
3:3|He will sit as a refiner and purifier of silver. He will purify Levi’s descendants and refine them like gold and silver, so they may present offerings to the LORD in righteousness.|Retains sitting refiner, both metals, and offerings as the result.
3:4|Then Judah’s and Jerusalem’s offerings will please the LORD, as in days long ago, in former years.|Keeps both communities and the temporal parallel.
3:5|“I will draw near to you for judgment and be a swift witness against sorcerers, adulterers, those who swear falsely, those who cheat hired workers of wages, oppress widows and the fatherless, and turn aside the resident foreigner, and who do not fear me,” says the LORD of Armies.|Preserves the entire list and makes wage exploitation explicit.
3:6|“For I, the LORD, have not changed, and you, Jacob’s descendants, have not come to an end.|Keeps the two contrasting unchanged/not-ended statements without overexplaining their causal relation.
3:7|Ever since your ancestors’ days you have turned away from my statutes and failed to keep them. Return to me, and I will return to you,” says the LORD of Armies. “But you ask, ‘How should we return?’|Retains the return/return reciprocity and question pattern.
3:8|Will a human rob God? Yet you are robbing me. You ask, ‘How have we robbed you?’ In tithes and contributions.|Keeps the charge, question, and specific withheld gifts.
3:9|You are under a curse, yet you rob me—the whole nation of you.|Preserves the collective accusation and curse rather than individualizing it.
3:10|Bring the whole tithe into the storehouse, so there may be food in my house. Test me in this,” says the LORD of Armies, “and see whether I will not open heaven’s windows for you and pour out blessing beyond measure.|Keeps storehouse food and heaven’s windows; does not turn the collective promise into a modern financial guarantee.
3:11|I will rebuke the devourer for you, so it will not destroy the ground’s produce, and your vine in the field will not lose its fruit,” says the LORD of Armies.|Preserves devourer and the vine’s fruit-loss image.
3:12|“All the nations will call you fortunate, for you will be a land of delight,” says the LORD of Armies.|Retains the land’s delight and nations’ recognition.
3:13|“Your words against me have been harsh,” says the LORD. “Yet you ask, ‘What have we said against you?’|Keeps the accusation and quoted objection.
3:14|You have said, ‘Serving God is useless. What profit is there in keeping his charge or walking in mourning before the LORD of Armies?|Preserves the complaint’s profit logic and mourning posture.
3:15|Now we call the arrogant fortunate. Those who do evil prosper; they even test God and escape.’”|Keeps the arrogant’s apparent success and testing language that echoes verse ten.
3:16|Then those who feared the LORD spoke with one another. The LORD paid attention and listened, and a book of remembrance was written before him for those who feared the LORD and honored his name.|Retains all three divine names, attentive hearing, and the remembrance book.
3:17|“They will be mine,” says the LORD of Armies, “my treasured possession on the day I act. I will spare them as a man spares his son who serves him.|Keeps treasured possession and the father/serving-son comparison.
3:18|Then you will again see the difference between the righteous and the wicked, between the one who serves God and the one who does not.|Retains both parallel distinctions and again.
4:1|“Look, the day is coming, blazing like an oven. All the arrogant and everyone who does evil will be stubble. The coming day will set them ablaze,” says the LORD of Armies, “leaving them neither root nor branch.|Preserves the oven/stubble imagery and complete root/branch loss.
4:2|But for you who fear my name, the sun of righteousness will rise with healing in its wings. You will go out and leap like calves released from the stall.|Retains sun, wings, and exuberant calf image without identifying a later referent.
4:3|You will tread down the wicked; they will be ashes beneath the soles of your feet on the day I act,” says the LORD of Armies.|Keeps the bodily trampling and ashes image.
4:4|“Remember the instruction of Moses my servant, the statutes and judgments I commanded him at Horeb for all Israel.|Retains servant, Horeb, all Israel, and the two instruction categories.
4:5|Look, I am sending you Elijah the prophet before the great and fearsome day of the LORD comes.|Keeps named Elijah and the coming-before relation.
