1:1|In the first year of Cyrus king of Persia, the LORD stirred Cyrus’s spirit to fulfill the word the LORD had spoken through Jeremiah. Cyrus issued a proclamation throughout his kingdom and also put it in writing:|Keeps the shared wording with Chronicles where the source repeats it, linking the books without disguising repetition.
1:2|“This is what Cyrus king of Persia says: ‘The LORD, the God of heaven, has given me all the kingdoms of the earth. He has appointed me to build him a house in Jerusalem, in Judah.|Preserves Cyrus’s sweeping claim and the house language carried over from Chronicles.
1:3|Whoever among you belongs to his people—may his God be with him! Let him go up to Jerusalem in Judah and rebuild the house of the LORD, the God of Israel. He is the God who is in Jerusalem.|Preserves the distinct divine wording and the possible attachment of the final Jerusalem phrase in a note.
1:4|Wherever any survivor is living, the people of that place are to support him with silver, gold, goods, and livestock, besides the voluntary offering for God’s house in Jerusalem.’”|Makes the neighbors’ responsibility clear while retaining the survivor and the separate voluntary offering.
1:5|Then the family heads of Judah and Benjamin, the priests, and the Levites prepared to go up and rebuild the LORD’s house in Jerusalem—everyone whose spirit God had stirred.|Keeps the repeated stirring of spirit and identifies the participants without making family heads the only returnees.
1:6|All their neighbors helped them with silver vessels, gold, goods, livestock, and valuable gifts, besides all the voluntary offerings.|Renders strengthening their hands as practical help while preserving the full inventory and additional gifts.
1:7|King Cyrus brought out the vessels of the LORD’s house that Nebuchadnezzar had taken from Jerusalem and placed in the house of his gods.|Retains the movement of sacred objects and the Hebrew divine designation, which can also be understood as his god.
1:8|Cyrus king of Persia had Mithredath the treasurer bring them out and count them over to Sheshbazzar, the leader of Judah.|Unfolds the agency through Mithredath and preserves Sheshbazzar’s title without identifying him with another person.
1:9|Here was the inventory: thirty gold dishes, a thousand silver dishes, twenty-nine knives,|Keeps every counted category while noting that the rare vessel terms are uncertain.
1:10|thirty gold bowls, four hundred ten silver bowls of a second kind, and a thousand other vessels.|Retains the difficult second designation and every number rather than adjusting the inventory to its total.
1:11|The gold and silver vessels totaled five thousand four hundred. Sheshbazzar brought them all up when the exiles were brought from Babylon to Jerusalem.|Preserves the stated total despite its difference from the listed amounts, and connects the objects’ return with the exiles’ return.
2:1|These are the people of the province who came up from captivity. Nebuchadnezzar king of Babylon had exiled them to Babylon; now they returned to Jerusalem and Judah, each to his own town.|Makes the exile and return sequence clear and retains the provincial setting.
2:2|They came with Zerubbabel, Jeshua, Nehemiah, Seraiah, Reelaiah, Mordecai, Bilshan, Mispar, Bigvai, Rehum, and Baanah. The men of the people of Israel were counted as follows:|Preserves all eleven names without equating them with later namesakes; introduces the male count explicitly.
2:3|The family of Parosh: 2,172.|Renders sons as a family grouping and preserves Parosh’s exact count.
2:4|The family of Shephatiah: 372.|Retains Shephatiah and its distinct count in the readable list pattern.
2:5|The family of Arah: 775.|Preserves Ezra’s Arah count without harmonizing the parallel list.
2:6|The family of Pahath-moab, from the families of Jeshua and Joab: 2,812.|Retains the nested family relationship and the combined count.
2:7|The family of Elam: 1,254.|Preserves the first Elam entry separately from the other Elam below.
2:8|The family of Zattu: 945.|Keeps Zattu’s name and all three numerical components.
2:9|The family of Zaccai: 760.|Preserves Zaccai and its count without embellishing the list.
2:10|The family of Bani: 642.|Retains Bani’s distinct family entry and exact count.
