6:1|David again gathered Israel’s chosen men, thirty thousand of them.|Retains renewed gathering and the full troop count.
6:2|He and everyone with him set out from Baale-judah to bring up the ark of God, which bears the Name—the name of the LORD of Armies, enthroned above the cherubim.|Preserves the doubled Name and difficult place expression.
6:3|They put the ark of God on a new cart and brought it from Abinadab’s house on the hill. His sons Uzzah and Ahio drove the new cart.|Keeps both sons, hill, and repeated new cart.
6:4|They brought it from Abinadab’s house on the hill with the ark of God, and Ahio walked ahead of the ark.|Retains the compressed repetition without reconstructing a missing clause.
6:5|David and the whole house of Israel celebrated before the LORD with all kinds of cypress-wood instruments, with lyres, harps, tambourines, rattles, and cymbals.|Retains pinned wood reference instead of importing with all their might.
6:6|When they reached Nacon’s threshing floor, Uzzah reached toward the ark of God and took hold of it, because the oxen stumbled.|Makes the immediate cause clear; stumbling remains a qualified lexical choice.
6:7|The LORD’s anger burned against Uzzah, and God struck him there for his irreverent act. He died there beside the ark of God.|Preserves divine agency; the rare offense term needs a note.
6:8|David was angry because the LORD had broken out against Uzzah. He named that place Perez-uzzah, and it has that name to this day.|Connects the outbreak with its place-name and David’s anger.
6:9|That day David was afraid of the LORD. “How can the LORD’s ark come to me?” he asked.|Keeps fear distinct from the preceding anger.
6:10|David would not bring the LORD’s ark into the City of David. Instead, he took it aside to the house of Obed-edom the Gittite.|Clarifies the change of destination and retains Gittite identity.
6:11|The LORD’s ark stayed in Obed-edom the Gittite’s house for three months, and the LORD blessed him and his whole household.|Retains the duration and household-wide blessing.
6:12|King David was told, “The LORD has blessed Obed-edom’s household and everything he has because of the ark of God.” So David went and brought the ark up from Obed-edom’s house to the City of David with joy.|Distinguishes reported blessing from David’s resulting action.
6:13|When those carrying the LORD’s ark had taken six steps, David sacrificed an ox and a fattened animal.|Does not turn the six steps into a repeated interval.
6:14|David danced with all his strength before the LORD, wearing a linen ephod.|Keeps bodily movement, strength, and named garment.
6:15|David and the whole house of Israel brought up the LORD’s ark with shouting and the sound of the ram’s horn.|Preserves communal participation and distinct sound sources.
6:16|As the LORD’s ark entered the City of David, Saul’s daughter Michal looked down through the window. She saw King David leaping and dancing before the LORD and despised him in her heart.|Retains Michal’s relationship to Saul and her interior response.
6:17|They brought the LORD’s ark into the tent David had pitched for it and set it in its place. David offered burnt offerings and well-being offerings before the LORD.|Keeps tent placement and the two offering categories.
